Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / Nombre
PREC;61480,0;0.84;101882982840,0;1657757,0;-520,0;62000,0;62980,0;61020,0;61458,33;PACIFIC EXPLOR AND PROD CORP
ECOPETROL;4660,0;0.22;67663968630,0;14387084,0;10,0;4690,0;4745,0;4660,0;4703,11;ECOPETROL
PFDAVVNDA;23240,0;0.35;12518672900,0;536289,0;80,0;23380,0;23500,0;23120,0;23343,15;BANCO DAVIVIENDA
CNEC;3270,0;0.46;12010824060,0;3646251,0;-15,0;3285,0;3330,0;3250,0;3294,02;CANACOL ENERGY LTD
CEMARGOS;12280,0;0.65;10183417080,0;837698,0;-80,0;12480,0;12480,0;11940,0;12156,43;CEMENTOS ARGOS
ETB;770,0;1.99;8040297037,0;10462722,0;15,0;756,0;777,0;756,0;768,47;ETB
PFBCOLOM;31400,0;1.49;7084997640,0;229316,0;460,0;30740,0;31400,0;30640,0;30896,22;BANCO BANCOLOMBIA
GRUPOSURA;41700,0;0.62;5783253080,0;138844,0;-260,0;41960,0;41960,0;41500,0;41652,88;GRUPO SURA
INVERARGOS;22440,0;0.27;5547196060,0;249087,0;-60,0;22500,0;22520,0;22000,0;22270,11;GRUPO ARGOS
ISA;14360,0;0.56;4780500240,0;334021,0;80,0;14160,0;14380,0;14160,0;14311,98;ISA INTERCONEXION ELECTRICA
EXITO;24400,0;0.89;4535052200,0;187210,0;-220,0;24620,0;24620,0;23800,0;24224,41;EXITO
ISAGEN;2620,0;0.38;3784672980,0;1449315,0;-10,0;2600,0;2630,0;2595,0;2611,35;ISAGEN
BCOLOMBIA;30240,0;0.0;3639452620,0;120736,0;0,0;30200,0;30240,0;29800,0;30143,89;BANCO BANCOLOMBIA
CHOCOLATES;26460,0;1.64;2831264820,0;105895,0;-440,0;26840,0;27000,0;26460,0;26736,53;GRUPO NUTRESA
MINEROS;7660,0;2.41;2593819860,0;337978,0;180,0;7560,0;7700,0;7560,0;7674,52;MINEROS
TABLEMAC;9,4;0.74;2038319159,5;218122625,0;-0,07;9,4;9,4;9,21;9,34;TABLEMAC
VILLAS;7200,0;1.98;2029204800,0;281834,0;140,0;7200,0;7200,0;7200,0;7200,0;BANCO AV VILLAS
PFHELMBANK;468,0;1.47;1973971346,0;4202330,0;-7,0;472,0;472,0;468,0;469,73;HELM BANK S.A.
SIE;14500,0;0.14;1937039580,0;133762,0;20,0;14480,0;14500,0;14460,0;14481,24;SOCIEDAD INVERSIONES ENERGIA
CORFICOLCF;34500,0;1.2;1438340100,0;41335,0;-420,0;34940,0;34940,0;34500,0;34797,15;CORFICOLOMBIANA
BOGOTA;54300,0;0.15;1365957900,0;25122,0;-80,0;54380,0;54400,0;54300,0;54372,98;BANCO DE BOGOTA
GRUPOAVAL;1500,0;1.32;1311383645,0;871116,0;-20,0;1510,0;1515,0;1500,0;1505,41;GRUPO AVAL ACCIONES Y VALORES
ENKA;14,1;2.08;1142842976,1;80661408,0;-0,3;14,3;14,6;14,1;14,17;ENKA DE COLOMBIA
FABRICATO;27,0;0.0;984887719,2;36364237,0;0,0;27,2;27,3;26,8;27,08;FABRICATO
BIOMAX;1500,0;1.35;967253220,0;645758,0;20,0;1480,0;1500,0;1480,0;1497,86;BIOMAX BIOCOMBUSTIBLES S.A.
COLINVERS;6400,0;0.0;904206290,0;141685,0;0,0;6350,0;6400,0;6300,0;6381,81;CELSIA
PFCORFICOL;34000,0;0.0;862669680,0;25375,0;0,0;34000,0;34000,0;33900,0;33996,83;CORFICOLOMBIANA
BVC;46,1;1.28;514484124,8;11033886,0;-0,6;46,7;46,9;46,1;46,63;BOLSA DE VALORES DE COLOMBIA
INTERBOLSA;2620,0;0.0;399044025,0;151703,0;0,0;2630,0;2640,0;2620,0;2630,43;INTERBOLSA S.A.
EEB;152480,0;0.78;377220740,0;2490,0;1180,0;151300,0;152480,0;151300,0;151494,27;GRUPO ENERGIA BOGOTA
PROTECCION;67000,0;0.0;359790000,0;5370,0;0,0;67000,0;67000,0;67000,0;67000,0;ADM DE FONDOS Y CES PROTECCION
OCCIDENTE;36280,0;0.5;151614120,0;4179,0;180,0;36280,0;36280,0;36280,0;36280,0;BANCO DE OCCIDENTE
VALOREM;434,0;0.46;133961671,0;308956,0;-2,0;434,0;434,0;434,0;433,59;VALOREM S.A.
ODINSA;7700,0;2.53;118525300,0;15304,0;-200,0;7800,0;7800,0;7700,0;7744,73;ODINSA
PROMIGAS;34040,0;2.41;86780000,0;2550,0;-840,0;34000,0;34040,0;34000,0;34031,37;PROMIGAS
PAZRIO;45,5;0.22;79306029,5;1740649,0;-0,1;45,5;45,5;45,5;45,56;ACER. PAZ DEL RIO
COLTEJER;0,9;2.17;61241013,02;67794054,0;-0,02;0,9;0,9;0,9;0,9;COLTEJER
SDPFCORF10;0,0;0.0;9642280,0;310,0;0,0;0,0;0,0;0,0;31104,13;CORFICOLOMBIANA
SDCORFIC10;0,0;0.0;8322880,0;244,0;0,0;0,0;0,0;0,0;34110,16;CORFICOLOMBIANA
BMC;0,0;0.0;2175000,0;1000,0;0,0;0,0;0,0;0,0;2175,0;BMC BOLSA MERCANTIL DE COL
BBVACOL;0,0;0.0;184500,0;615,0;0,0;0,0;0,0;0,0;300,0;BBVA COLOMBIA
