Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
ECOPETROL;2366,0;-0,29;10404568170;4416833;-7,00;2366,0;2380,0;2330,0;2355,66;ECOPETROL;EQTY
PFBCOLOM;29180,0;-2,70;10144200150;345395;-810,00;29750,0;29900,0;29180,0;29369,85;BANCO BANCOLOMBIA;EQTY
BCOLOMBIA;28750,0;-0,96;9494801220;330759;-280,00;29030,0;29150,0;28500,0;28706,1;BANCO BANCOLOMBIA;EQTY
ISA;22500,0;-2,00;4508558800;199414;-460,00;23000,0;23430,0;22500,0;22609,04;ISA INTERCONEXION ELECTRICA;EQTY
GRUPOSURA;21700,0;-0,60;3529537170;162671;-130,00;21900,0;21900,0;21610,0;21697,4;GRUPO SURA;EQTY
GEB;2690,0;0,75;2062560455;767135;20,00;2670,0;2695,0;2670,0;2688,65;GRUPO ENERGIA BOGOTA;EQTY
HCOLSEL;12330,0;0,63;1892952500;153500;77,00;12415,0;12415,0;12330,0;12331,94;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
GRUPOARGOS;11780,0;-0,59;1729276410;146807;-70,00;11650,0;11980,0;11610,0;11779,25;GRUPO ARGOS;EQTY
PFDAVVNDA;29850,0;-1,03;1473504930;49419;-310,00;29790,0;29900,0;29550,0;29816,57;BANCO DAVIVIENDA;EQTY
GRUBOLIVAR;65000,0;0,00;1173998480;18052;0,00;65000,0;65900,0;64990,0;65034,26;GRUPO BOLIVAR;EQTY
CEMARGOS;5150,0;0,98;1091242020;212444;50,00;5100,0;5170,0;5100,0;5136,61;CEMENTOS ARGOS;EQTY
CORFICOLCF;32730,0;0,28;622994630;19076;90,00;32310,0;32730,0;32300,0;32658,56;CORFICOLOMBIANA;EQTY
CNEC;10420,0;0,39;502989950;48112;40,00;10450,0;10500,0;10400,0;10454,56;CANACOL ENERGY LTD;EQTY
MINEROS;4430,0;2,93;407143435;93410;126,00;4305,0;4430,0;4305,0;4358,67;MINEROS;EQTY
PFGRUPSURA;18940,0;-0,37;268581840;14275;-70,00;19010,0;19130,0;18700,0;18814,84;GRUPO SURA;EQTY
PFAVAL;1144,0;-0,95;206911137;180184;-11,00;1157,0;1158,0;1144,0;1148,33;GRUPO AVAL ACCIONES Y VALORES;EQTY
BVC;12010,0;0,33;131102740;10957;40,00;11960,0;12010,0;11950,0;11965,2;BOLSA DE VALORES DE COLOMBIA;EQTY
PFGRUPOARG;9500,0;0,42;125447710;13290;40,00;9420,0;9500,0;9400,0;9439,26;GRUPO ARGOS;EQTY
PFCORFICOL;27000,0;1,50;114662000;4262;400,00;26600,0;27000,0;26600,0;26903,33;CORFICOLOMBIANA;EQTY
CELSIA;4651,0;-1,67;94793076;20348;-79,00;4651,0;4651,0;4651,0;4658,59;CELSIA;EQTY
PFCEMARGOS;4080,0;2,00;94123644;23309;80,00;4001,0;4080,0;4001,0;4038,08;CEMENTOS ARGOS;EQTY
NUTRESA;23170,0;-0,22;83340340;3594;-50,00;23260,0;23260,0;22910,0;23188,74;GRUPO NUTRESA;EQTY
BOGOTA;78000,0;-1,18;76555900;981;-930,00;78000,0;78000,0;78000,0;78038,63;BANCO DE BOGOTA;EQTY
ICOLCAP;13469,5;0,52;67822618,5;5029;69,50;13494,0;13494,0;13469,5;13486,3;FONDO BURSATIL ISHARES COLCAP;EQTY
ETB;221,0;-0,23;26960408,8;122080;-0,50;221,3;221,3;221,0;220,84;ETB;EQTY
CLH;4000,0;-0,12;22978700;5749;-5,00;4000,0;4000,0;4000,0;3996,99;CEMEX LATAM HOLDINGS;EQTY
CONCONCRET;475,0;0,00;17797170;37671;0,00;470,0;475,0;470,0;472,44;CONCONCRETO S.A;EQTY
TERPEL;7750,0;0,00;12661680;1630;0,00;7750,0;7750,0;7750,0;7767,9;ORGANIZACION TERPEL;EQTY
ELCONDOR;1048,0;1,55;11609600;11100;16,00;1048,0;1048,0;1048,0;1045,91;EL CONDOR;EQTY
PROMIGAS;7500,0;0,00;9000000;1200;0,00;7500,0;7500,0;7500,0;7500,0;PROMIGAS;EQTY
PFAVH;0,0;0,00;3200000;20000;0,00;0,0;0,0;0,0;160,0;AVIANCA HOLDINGS S.A.;EQTY
