Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
ECOPETROL;2671,0;4,75;65551466970;24689828;121,00;2560,0;2690,0;2560,0;2655,0;ECOPETROL;EQTY
PFBCOLOM;32580,0;4,96;46629276270;1452415;1540,00;31200,0;32710,0;31150,0;32104,65;BANCO BANCOLOMBIA;EQTY
PFAVAL;1120,0;1,54;16239709519;14540249;17,00;1100,0;1120,0;1100,0;1116,88;GRUPO AVAL ACCIONES Y VALORES;EQTY
BCOLOMBIA;32370,0;4,83;7945195780;248701;1490,00;31200,0;32370,0;31200,0;31946,78;BANCO BANCOLOMBIA;EQTY
NUTRESA;21540,0;0,33;6587431130;305024;70,00;21480,0;21780,0;21480,0;21596,44;GRUPO NUTRESA;EQTY
CORFICOLCF;28550,0;0,18;5517920030;192689;50,00;28800,0;28800,0;28540,0;28636,4;CORFICOLOMBIANA;EQTY
GRUPOSURA;20550,0;2,24;5485224390;267672;450,00;20100,0;20800,0;20100,0;20492,34;GRUPO SURA;EQTY
ICOLCAP;13625,0;2,98;5319336633;392419;394,00;13541,0;13638,0;13541,0;13555,25;FONDO BURSATIL ISHARES COLCAP;EQTY
PFDAVVNDA;32720,0;3,35;5101628480;158011;1060,00;31700,0;32960,0;31700,0;32286,54;BANCO DAVIVIENDA;EQTY
GEB;2800,0;1,45;3542614106;1270984;40,00;2765,0;2800,0;2761,0;2787,3;GRUPO ENERGIA BOGOTA;EQTY
ISA;22600,0;1,71;2556239420;113732;380,00;22620,0;22620,0;22210,0;22475,99;ISA INTERCONEXION ELECTRICA;EQTY
GRUPOARGOS;10870,0;2,74;2470250360;228578;290,00;10770,0;10900,0;10720,0;10807,03;GRUPO ARGOS;EQTY
CEMARGOS;5860,0;1,21;2169847830;372597;70,00;5760,0;5860,0;5760,0;5823,58;CEMENTOS ARGOS;EQTY
CNEC;10700,0;1,33;1689749750;156720;140,00;10680,0;10890,0;10520,0;10781,97;CANACOL ENERGY LTD;EQTY
PFGRUPSURA;18200,0;2,82;775496680;42906;500,00;18100,0;18200,0;18000,0;18074,32;GRUPO SURA;EQTY
BOGOTA;73300,0;0,00;745202010;10253;0,00;72490,0;73300,0;72360,0;72681,36;BANCO DE BOGOTA;EQTY
HCOLSEL;12654,0;1,47;642893747;51171;183,00;12557,0;12654,0;12557,0;12563,63;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
CELSIA;4259,0;1,65;340985061;80475;69,00;4293,0;4293,0;4221,0;4237,16;CELSIA;EQTY
PFGRUPOARG;8230,0;0,80;315580740;38445;65,00;8100,0;8250,0;8100,0;8208,63;GRUPO ARGOS;EQTY
CONCONCRET;338,0;-0,59;289745615,3;851549;-2,00;340,0;352,6;338,0;340,26;CONCONCRETO S.A;EQTY
ETB;197,8;-0,05;126590519,7;647283;-0,10;195,0;197,8;195,0;195,57;ETB;EQTY
MINEROS;3700,0;0,63;121957437;33182;23,00;3670,0;3700,0;3665,0;3675,41;MINEROS;EQTY
BVC;9610,0;-0,93;97902050;10078;-90,00;9720,0;9775,0;9610,0;9714,43;BOLSA DE VALORES DE COLOMBIA;EQTY
PFCEMARGOS;4070,0;-0,12;97535950;23960;-5,00;4072,0;4072,0;4060,0;4070,78;CEMENTOS ARGOS;EQTY
PROMIGAS;7140,0;-2,19;81380035;11379;-160,00;7250,0;7250,0;7140,0;7151,77;PROMIGAS;EQTY
ELCONDOR;880,0;0,00;69612250;79065;0,00;879,0;886,9;879,0;880,44;EL CONDOR;EQTY
TERPEL;7900,0;0,06;63506285;8025;5,00;7980,0;7980,0;7900,0;7913,56;ORGANIZACION TERPEL;EQTY
PFCORFICOL;22860,0;1,06;56708660;2481;240,00;22860,0;22900,0;22860,0;22857,18;CORFICOLOMBIANA;EQTY
EXITO;11800,0;0,08;27860000;2361;10,00;11800,0;11800,0;11800,0;11800,08;EXITO;EQTY
GRUBOLIVAR;68100,0;0,15;21374620;313;100,00;68600,0;68600,0;68100,0;68289,52;GRUPO BOLIVAR;EQTY
PFAVH;0,0;0,00;15124051;252181;0,00;0,0;0,0;0,0;59,97;AVIANCA HOLDINGS S.A.;EQTY
GRUPOAVAL;1095,0;-1,35;11559915;10557;-15,00;1095,0;1095,0;1095,0;1095,0;GRUPO AVAL ACCIONES Y VALORES;EQTY
CLH;0,0;0,00;4773400;1370;0,00;0,0;0,0;0,0;3484,23;CEMEX LATAM HOLDINGS;EQTY
FABRICATO;0,0;0,00;1560000;260000;0,00;0,0;0,0;0,0;6,0;FABRICATO;EQTY
OCCIDENTE;0,0;0,00;1161600;48;0,00;0,0;0,0;0,0;24200,0;BANCO DE OCCIDENTE;EQTY
