Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
PFBCOLOM;32480,0;-0,98;24864990530;763503;-320,00;32700,0;32860,0;32330,0;32566,98;BANCO BANCOLOMBIA;EQTY
ECOPETROL;2203,0;0,14;21039940389;9574735;3,00;2200,0;2211,0;2183,0;2197,44;ECOPETROL;EQTY
GEB;2620,0;-1,09;20902606468;8004826;-29,00;2649,0;2649,0;2591,0;2611,25;GRUPO ENERGIA BOGOTA;EQTY
BCOLOMBIA;31690,0;0,13;20465373570;646208;40,00;31650,0;31840,0;31600,0;31669,95;BANCO BANCOLOMBIA;EQTY
HCOLSEL;12934,0;0,07;12053238050;931655;9,00;12920,0;12978,0;12912,0;12937,45;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
ISA;23710,0;0,51;7225266590;304792;120,00;23750,0;23810,0;23620,0;23705,57;ISA INTERCONEXION ELECTRICA;EQTY
PFDAVVNDA;33750,0;1,81;6076182750;182677;600,00;33040,0;33780,0;32250,0;33261,89;BANCO DAVIVIENDA;EQTY
GRUPOSURA;23780,0;1,23;6017719440;255618;290,00;23430,0;23780,0;23310,0;23541,85;GRUPO SURA;EQTY
PFAVAL;1199,0;-0,42;5548769283;4615461;-5,00;1205,0;1209,0;1198,0;1202,21;GRUPO AVAL ACCIONES Y VALORES;EQTY
GRUPOARGOS;13280,0;-0,15;3525352920;263704;-20,00;13380,0;13610,0;13270,0;13368,6;GRUPO ARGOS;EQTY
NUTRESA;24500,0;-0,97;2815504950;114345;-240,00;24750,0;24790,0;24410,0;24622,9;GRUPO NUTRESA;EQTY
CORFICOLCF;32400,0;0,31;2655734100;82257;100,00;32490,0;32490,0;32130,0;32285,81;CORFICOLOMBIANA;EQTY
ICOLCAP;14021,0;-0,03;2052359524;146483;-4,00;13998,5;14040,0;13998,5;14010,91;FONDO BURSATIL ISHARES COLCAP;EQTY
CELSIA;4770,0;-1,02;1585261660;330295;-49,00;4815,0;4815,0;4755,0;4799,53;CELSIA;EQTY
CEMARGOS;5810,0;-1,02;1548410440;265727;-60,00;5870,0;5870,0;5810,0;5827,07;CEMENTOS ARGOS;EQTY
CNEC;10260,0;-1,82;835766420;80960;-190,00;10380,0;10410,0;10260,0;10323,2;CANACOL ENERGY LTD;EQTY
BOGOTA;81000,0;0,61;554350940;6856;490,00;80900,0;81000,0;80720,0;80856,32;BANCO DE BOGOTA;EQTY
PFGRUPSURA;20950,0;-0,71;530241920;25169;-150,00;21290,0;21290,0;20950,0;21067,26;GRUPO SURA;EQTY
MINEROS;4130,0;-0,96;388991000;93999;-40,00;4180,0;4180,0;4110,0;4138,25;MINEROS;EQTY
PFCEMARGOS;4411,0;-1,93;177036051;39959;-87,00;4480,0;4480,0;4401,0;4430,44;CEMENTOS ARGOS;EQTY
BVC;12230,0;-0,24;161195050;13155;-30,00;12280,0;12280,0;12230,0;12253,52;BOLSA DE VALORES DE COLOMBIA;EQTY
CLH;4250,0;-4,49;155149350;36383;-200,00;4400,0;4400,0;4150,0;4264,34;CEMEX LATAM HOLDINGS;EQTY
ETB;215,0;0,70;152884585,4;711717;1,50;214,5;215,0;214,5;214,81;ETB;EQTY
PFCORFICOL;26500,0;0,00;150426600;5675;0,00;26500,0;26500,0;26500,0;26506,89;CORFICOLOMBIANA;EQTY
PFGRUPOARG;10220,0;-0,58;122923020;12010;-60,00;10230,0;10250,0;10220,0;10235,06;GRUPO ARGOS;EQTY
CONCONCRET;484,0;-0,82;120005530;247500;-4,00;488,0;488,0;484,0;484,87;CONCONCRETO S.A;EQTY
BBVACOL;300,0;-0,83;114300000;381000;-2,50;300,0;300,0;300,0;300,0;BBVA COLOMBIA;EQTY
PROMIGAS;7900,0;-1,25;99100600;12508;-100,00;7950,0;7950,0;7900,0;7922,98;PROMIGAS;EQTY
TERPEL;8000,0;1,07;77907160;9768;85,00;7950,0;8000,0;7950,0;7975,75;ORGANIZACION TERPEL;EQTY
GRUPOAVAL;1190,0;-0,17;32882170;27763;-2,00;1190,0;1190,0;1190,0;1184,39;GRUPO AVAL ACCIONES Y VALORES;EQTY
FABRICATO;0,0;0,00;23336798,47;4719671;0,00;0,0;0,0;0,0;4,94;FABRICATO;EQTY
VILLAS;4660,0;-6,80;19388710;4122;-340,00;4660,0;4660,0;4660,0;4703,71;BANCO AV VILLAS;EQTY
GRUBOLIVAR;64600,0;-0,43;12144800;188;-280,00;64600,0;64600,0;64600,0;64600,0;GRUPO BOLIVAR;EQTY
ELCONDOR;1091,0;-4,88;12001000;11000;-56,00;1091,0;1091,0;1091,0;1091,0;EL CONDOR;EQTY
PFAVH;0,0;0,00;2002364;11002;0,00;0,0;0,0;0,0;182,0;AVIANCA HOLDINGS S.A.;EQTY
OCCIDENTE;0,0;0,00;1700000;50;0,00;0,0;0,0;0,0;34000,0;BANCO DE OCCIDENTE;EQTY
