Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
ECOPETROL;2598,0;-1,33;18562716014;7127962;-35,00;2633,0;2660,0;2570,0;2604,21;ECOPETROL;EQTY
PFBCOLOM;27800,0;0,00;6572525350;237078;0,00;27960,0;28000,0;27530,0;27723,05;BANCO BANCOLOMBIA;EQTY
PFDAVVNDA;28500,0;-0,70;5068129970;176933;-200,00;28700,0;28700,0;28160,0;28644,35;BANCO DAVIVIENDA;EQTY
NUTRESA;20450,0;-1,21;4002439760;195733;-250,00;20600,0;20600,0;20400,0;20448,47;GRUPO NUTRESA;EQTY
CORFICOLCF;28830,0;-1,54;3597688160;123603;-450,00;28650,0;29540,0;28650,0;29106,8;CORFICOLOMBIANA;EQTY
ISA;21980,0;0,73;3185030730;144689;160,00;22480,0;22480,0;21840,0;22012,94;ISA INTERCONEXION ELECTRICA;EQTY
HCOLSEL;11680,0;-0,99;3040309100;260300;-116,50;11680,0;11680,0;11680,0;11680,02;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
GRUPOSURA;17770,0;2,72;2771368480;158551;470,00;17310,0;17770,0;16900,0;17479,35;GRUPO SURA;EQTY
GEB;2530,0;0,04;2444808887;967667;1,00;2510,0;2580,0;2510,0;2526,5;GRUPO ENERGIA BOGOTA;EQTY
BCOLOMBIA;27700,0;2,21;1368589900;49728;600,00;27850,0;27850,0;27220,0;27521,52;BANCO BANCOLOMBIA;EQTY
PFAVAL;1025,0;0,10;1001368372;977439;1,00;1028,0;1028,0;1022,0;1024,48;GRUPO AVAL ACCIONES Y VALORES;EQTY
GRUPOARGOS;9905,0;-1,83;831825685;83241;-185,00;10000,0;10100,0;9905,0;9992,98;GRUPO ARGOS;EQTY
CEMARGOS;5465,0;-2,32;823991770;150069;-130,00;5525,0;5550,0;5430,0;5490,75;CEMENTOS ARGOS;EQTY
BOGOTA;68000,0;-0,42;721951140;10590;-290,00;68290,0;68290,0;68000,0;68172,91;BANCO DE BOGOTA;EQTY
TERPEL;6900,0;-0,58;390923480;56652;-40,00;6900,0;6900,0;6900,0;6900,44;ORGANIZACION TERPEL;EQTY
PROMIGAS;6700,0;-0,07;325155560;48472;-5,00;6705,0;6715,0;6700,0;6708,11;PROMIGAS;EQTY
MINEROS;3704,0;0,24;307833055;83502;9,00;3700,0;3704,0;3678,0;3686,54;MINEROS;EQTY
CELSIA;4110,0;1,68;264757320;64420;68,00;4110,0;4110,0;4110,0;4109,86;CELSIA;EQTY
PFGRUPSURA;16300,0;0,12;176304820;10796;20,00;16100,0;16870,0;15980,0;16330,57;GRUPO SURA;EQTY
CNEC;9820,0;-0,46;57550960;5861;-45,00;9820,0;9820,0;9820,0;9819,31;CANACOL ENERGY LTD;EQTY
ICOLCAP;12520,5;-0,53;57401696,5;4582;-67,00;12520,5;12520,5;12520,5;12527,65;FONDO BURSATIL ISHARES COLCAP;EQTY
BVC;10480,0;-0,19;54371780;5181;-20,00;10500,0;10500,0;10480,0;10494,46;BOLSA DE VALORES DE COLOMBIA;EQTY
PFCEMARGOS;3850,0;-1,13;42141714;10949;-44,00;3850,0;3850,0;3850,0;3848,91;CEMENTOS ARGOS;EQTY
FABRICATO;4,15;-5,90;19505000;4700000;-0,26;4,15;4,15;4,15;4,15;FABRICATO;EQTY
ENKA;14,1;0,71;12706550,1;901961;0,10;14,1;14,1;14,1;14,09;ENKA DE COLOMBIA;EQTY
CLH;3650,0;0,00;11732750;3216;0,00;3650,0;3650,0;3650,0;3648,24;CEMEX LATAM HOLDINGS;EQTY
BBVACOL;291,0;0,00;11464640;39416;0,00;291,0;291,0;291,0;290,86;BBVA COLOMBIA;EQTY
PFGRUPOARG;8050,0;0,00;9268180;1156;0,00;8050,0;8050,0;8050,0;8017,46;GRUPO ARGOS;EQTY
CONCONCRET;0,0;0,00;7497721,8;20806;0,00;0,0;0,0;0,0;360,36;CONCONCRETO S.A;EQTY
ELCONDOR;0,0;0,00;3514510;4342;0,00;0,0;0,0;0,0;809,42;EL CONDOR;EQTY
PFAVH;0,0;0,00;2879250;11517;0,00;0,0;0,0;0,0;250,0;AVIANCA HOLDINGS S.A.;EQTY
ETB;0,0;0,00;1294058;6904;0,00;0,0;0,0;0,0;187,44;ETB;EQTY
