Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
HCOLSEL;12845,0;-0,12;50680540508,5;4064239;-15,00;12894,5;12894,5;12270,0;12469,87;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
GRUPOSURA;21600,0;1,89;29647284850;1364105;400,00;21600,0;22280,0;21500,0;21733,87;GRUPO SURA;EQTY
PFBCOLOM;32200,0;-1,53;21462498570;662837;-500,00;33400,0;33400,0;32100,0;32379,75;BANCO BANCOLOMBIA;EQTY
ICOLCAP;13923,0;0,77;17771227702,5;1273373;106,00;13950,5;13982,0;13875,0;13956,03;FONDO BURSATIL ISHARES COLCAP;EQTY
ECOPETROL;2864,0;-0,56;12784618254;4441965;-16,00;2899,0;2909,0;2855,0;2878,14;ECOPETROL;EQTY
CEMARGOS;6255,0;1,38;5715319745;914448;85,00;6320,0;6330,0;6200,0;6250,02;CEMENTOS ARGOS;EQTY
PFAVAL;1119,0;0,27;4108188288;3671433;3,00;1123,0;1125,0;1108,0;1118,96;GRUPO AVAL ACCIONES Y VALORES;EQTY
BCOLOMBIA;32200,0;-0,03;4059106360;125731;-10,00;32790,0;32790,0;32130,0;32284,05;BANCO BANCOLOMBIA;EQTY
ISA;22550,0;0,31;2938477840;130713;70,00;22500,0;22600,0;22340,0;22480,38;ISA INTERCONEXION ELECTRICA;EQTY
GRUPOARGOS;11800,0;1,90;2823082420;236978;220,00;11800,0;12200,0;11750,0;11912,85;GRUPO ARGOS;EQTY
CORFICOLCF;29300,0;-0,27;2800126250;96660;-80,00;29100,0;29380,0;28500,0;28968,82;CORFICOLOMBIANA;EQTY
PFGRUPSURA;18610,0;1,69;1701649940;90118;310,00;18820,0;19200,0;18610,0;18882,46;GRUPO SURA;EQTY
CNEC;10370,0;-2,54;1042930230;100457;-270,00;10370,0;10500,0;10330,0;10381,86;CANACOL ENERGY LTD;EQTY
GEB;2668,0;0,19;741853177;276295;5,00;2655,0;2700,0;2650,0;2685,0;GRUPO ENERGIA BOGOTA;EQTY
PFDAVVNDA;33000,0;-0,87;702342600;21308;-290,00;33030,0;33200,0;32020,0;32961,45;BANCO DAVIVIENDA;EQTY
CELSIA;4245,0;-0,24;620056239;145038;-10,00;4260,0;4298,0;4245,0;4275,13;CELSIA;EQTY
PFGRUPOARG;8680,0;3,89;521295990;60338;325,00;8590,0;8680,0;8590,0;8639,6;GRUPO ARGOS;EQTY
MINEROS;3920,0;-0,20;256410153;64802;-8,00;3999,0;4000,0;3920,0;3956,82;MINEROS;EQTY
TERPEL;8670,0;2,00;205192995;23619;170,00;8600,0;8760,0;8600,0;8687,62;ORGANIZACION TERPEL;EQTY
PROMIGAS;7230,0;-2,03;143033535;19397;-150,00;7400,0;7420,0;7215,0;7374,0;PROMIGAS;EQTY
GRUBOLIVAR;68900,0;5,69;134420250;1951;3710,00;68900,0;68900,0;68900,0;68898,13;GRUPO BOLIVAR;EQTY
BVC;9650,0;-0,05;97196000;10057;-5,00;9650,0;9675,0;9650,0;9664,51;BOLSA DE VALORES DE COLOMBIA;EQTY
PFCEMARGOS;4300,0;1,90;84829246;19755;80,00;4300,0;4300,0;4298,0;4294,06;CEMENTOS ARGOS;EQTY
CLH;3420,0;1,18;64067239;18753;40,00;3419,0;3420,0;3419,0;3416,37;CEMEX LATAM HOLDINGS;EQTY
PFCORFICOL;23810,0;3,03;61445160;2604;700,00;23130,0;23810,0;23120,0;23596,45;CORFICOLOMBIANA;EQTY
ELCONDOR;889,7;0,30;48342373,5;56252;2,70;854,5;889,7;850,2;859,39;EL CONDOR;EQTY
FABRICATO;8,2;-4,21;47624600;5762000;-0,36;8,2;8,2;8,2;8,27;FABRICATO;EQTY
EXITO;11500,0;-0,35;45744240;3972;-40,00;11500,0;11500,0;11500,0;11516,68;EXITO;EQTY
ENKA;24,5;4,26;43648006;1780790;1,00;24,5;24,5;24,5;24,51;ENKA DE COLOMBIA;EQTY
BOGOTA;73000,0;-1,88;39943540;546;-1400,00;74400,0;74400,0;73000,0;73156,67;BANCO DE BOGOTA;EQTY
ETB;199,0;-1,00;10963717;55147;-2,00;199,0;199,0;199,0;198,81;ETB;EQTY
GRUPOAVAL;1110,0;-0,45;8974350;8085;-5,00;1110,0;1110,0;1110,0;1110,0;GRUPO AVAL ACCIONES Y VALORES;EQTY
CONCONCRET;0,0;0,00;3808371,4;13778;0,00;0,0;0,0;0,0;276,41;CONCONCRETO S.A;EQTY
POPULAR;0,0;0,00;1199600;4000;0,00;0,0;0,0;0,0;299,9;BANCO POPULAR;EQTY
