Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
ECOPETROL;2720,0;-1,09;14940799099;5483532;-30,00;2753,0;2757,0;2710,0;2724,67;ECOPETROL;EQTY
NUTRESA;21860,0;-0,59;6728504640;306915;-130,00;21990,0;22010,0;21860,0;21923,02;GRUPO NUTRESA;EQTY
PFBCOLOM;28700,0;-0,35;4427714140;154886;-100,00;28750,0;28880,0;28450,0;28586,92;BANCO BANCOLOMBIA;EQTY
ISA;23800,0;-0,04;3753060910;157188;-10,00;23870,0;24100,0;23750,0;23876,26;ISA INTERCONEXION ELECTRICA;EQTY
GRUPOSURA;19640,0;-0,66;3707238240;188204;-130,00;19880,0;19930,0;19360,0;19697,98;GRUPO SURA;EQTY
GRUPOARGOS;10450,0;-0,95;3206316750;304399;-100,00;10550,0;10550,0;10430,0;10533,27;GRUPO ARGOS;EQTY
BCOLOMBIA;28070,0;-0,39;1714401620;61072;-110,00;28390,0;28390,0;27860,0;28071,81;BANCO BANCOLOMBIA;EQTY
PFAVAL;1115,0;0,00;1333459044;1198462;0,00;1107,0;1118,0;1107,0;1112,64;GRUPO AVAL ACCIONES Y VALORES;EQTY
PFDAVVNDA;29900,0;0,17;1142222670;38272;50,00;29850,0;29900,0;29680,0;29844,86;BANCO DAVIVIENDA;EQTY
HCOLSEL;12330,0;-0,08;999779718;81085;-10,00;12330,0;12330,0;12330,0;12330,02;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
CEMARGOS;5620,0;0,00;954404010;169870;0,00;5670,0;5670,0;5605,0;5618,44;CEMENTOS ARGOS;EQTY
GEB;2520,0;0,04;919590854;365771;1,00;2502,0;2520,0;2500,0;2514,12;GRUPO ENERGIA BOGOTA;EQTY
ICOLCAP;13118,0;-0,03;657652043,5;50133;-4,00;13118,0;13118,0;13118,0;13118,15;FONDO BURSATIL ISHARES COLCAP;EQTY
BOGOTA;71490,0;0,69;421812890;5909;490,00;71000,0;71490,0;70900,0;71384,82;BANCO DE BOGOTA;EQTY
TERPEL;7200,0;0,00;287287750;39901;0,00;7200,0;7200,0;7200,0;7200,01;ORGANIZACION TERPEL;EQTY
MINEROS;3998,0;-0,42;182961355;45640;-17,00;4020,0;4035,0;3989,0;4008,79;MINEROS;EQTY
CORFICOLCF;30260,0;-0,62;149229570;4940;-190,00;30420,0;30420,0;30160,0;30208,41;CORFICOLOMBIANA;EQTY
PFAVH;300,0;-0,03;104585361;348919;-0,10;300,0;300,0;300,0;299,74;AVIANCA HOLDINGS S.A.;EQTY
GRUPOAVAL;1060,0;-2,75;54126353;50965;-30,00;1060,0;1060,0;1060,0;1062,03;GRUPO AVAL ACCIONES Y VALORES;EQTY
PFGRUPOARG;8350,0;-0,60;51975485;6215;-50,00;8360,0;8360,0;8350,0;8362,91;GRUPO ARGOS;EQTY
BVC;11270,0;0,63;51554570;4600;70,00;11200,0;11270,0;11200,0;11207,52;BOLSA DE VALORES DE COLOMBIA;EQTY
PFCORFICOL;23990,0;0,00;44971700;1874;0,00;24000,0;24000,0;23990,0;23997,71;CORFICOLOMBIANA;EQTY
PFGRUPSURA;17400,0;0,00;43025530;2479;0,00;17300,0;17400,0;17300,0;17356,0;GRUPO SURA;EQTY
PFCEMARGOS;3900,0;0,00;32602875;8337;0,00;3905,0;3905,0;3900,0;3910,62;CEMENTOS ARGOS;EQTY
EXITO;12370,0;-1,04;24768070;2011;-130,00;12370,0;12370,0;12370,0;12316,3;EXITO;EQTY
CONCONCRET;390,0;-1,27;23672970;60933;-5,00;390,0;390,0;390,0;388,51;CONCONCRETO S.A;EQTY
CELSIA;4202,0;0,00;14873322;3520;0,00;4202,0;4202,0;4202,0;4225,38;CELSIA;EQTY
ELCONDOR;0,0;0,00;11290380;12859;0,00;0,0;0,0;0,0;878,01;EL CONDOR;EQTY
ENKA;14,1;-3,42;9870000;700000;-0,50;14,1;14,1;14,1;14,1;ENKA DE COLOMBIA;EQTY
PROMIGAS;0,0;0,00;5119630;742;0,00;0,0;0,0;0,0;6899,77;PROMIGAS;EQTY
ETB;0,0;0,00;4956261,9;24654;0,00;0,0;0,0;0,0;201,03;ETB;EQTY
CLH;0,0;0,00;4927500;1350;0,00;0,0;0,0;0,0;3650,0;CEMEX LATAM HOLDINGS;EQTY
CNEC;0,0;0,00;725660;71;0,00;0,0;0,0;0,0;10220,56;CANACOL ENERGY LTD;EQTY
