Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / Nombre
ECOPETROL;3205,0;2.58;57823983025,0;17888339,0;-85,0;3280,0;3310,0;3185,0;3232,5;ECOPETROL
PFBCOLOM;33500,0;2.5;35810427160,0;1066998,0;-860,0;34000,0;34000,0;33360,0;33561,85;BANCO BANCOLOMBIA
BCOLOMBIA;33440,0;1.65;22254463340,0;664238,0;-560,0;33800,0;33800,0;33200,0;33503,75;BANCO BANCOLOMBIA
EXITO;15820,0;4.12;8335222700,0;522295,0;-680,0;16400,0;16400,0;15700,0;15958,84;EXITO
ISA;14080,0;2.63;5799850240,0;410911,0;-380,0;14460,0;14460,0;14000,0;14114,61;ISA INTERCONEXION ELECTRICA
ICOLCAP;15695,0;1.34;4986186605,5;317681,0;-213,5;15693,5;15920,0;15684,5;15695,58;FONDO BURSATIL ISHARES COLCAP
PFAVAL;1215,0;0.41;2626424465,0;2171381,0;-5,0;1205,0;1215,0;1195,0;1209,56;GRUPO AVAL ACCIONES Y VALORES
EEB;2060,0;0.24;2043240080,0;990311,0;-5,0;2065,0;2065,0;2060,0;2063,23;GRUPO ENERGIA BOGOTA
GRUPOSURA;37780,0;0.58;1975133100,0;52327,0;-220,0;37640,0;37900,0;37640,0;37745,96;GRUPO SURA
CEMARGOS;9500,0;0.11;1868479910,0;197432,0;-10,0;9510,0;9570,0;9400,0;9463,92;CEMENTOS ARGOS
CELSIA;4580,0;0.65;1709533445,0;372076,0;-30,0;4595,0;4605,0;4580,0;4594,58;CELSIA
PFDAVVNDA;32460,0;0.73;1606366260,0;49880,0;-240,0;32040,0;32460,0;32040,0;32204,62;BANCO DAVIVIENDA
CLH;8480,0;2.86;1421492230,0;168471,0;-250,0;8720,0;8720,0;8300,0;8437,61;CEMEX LATAM HOLDINGS
PFGRUPSURA;35000,0;2.23;1335826040,0;38052,0;-800,0;35280,0;35320,0;35000,0;35105,28;GRUPO SURA
GRUPOARGOS;19000,0;1.55;1082794180,0;56502,0;-300,0;19300,0;19300,0;19000,0;19163,82;GRUPO ARGOS
GASNATURAL;80000,0;2.44;480142740,0;5993,0;-2000,0;82020,0;82020,0;80000,0;80117,26;VANTI S.A. ESP
CORFICOLCF;23200,0;0.17;432067020,0;18676,0;-40,0;23120,0;23200,0;23000,0;23134,88;CORFICOLOMBIANA
PFAVH;2825,0;0.18;312240400,0;110390,0;5,0;2810,0;2855,0;2810,0;2828,52;AVIANCA HOLDINGS S.A.
NUTRESA;26480,0;0.3;292320180,0;11059,0;-80,0;26200,0;26500,0;26200,0;26432,79;GRUPO NUTRESA
PFCEMARGOS;8080,0;0.25;287483990,0;36404,0;-20,0;8190,0;8190,0;7700,0;7897,04;CEMENTOS ARGOS
BVC;11200,0;0.36;287396960,0;25664,0;40,0;11140,0;11200,0;11140,0;11198,45;BOLSA DE VALORES DE COLOMBIA
GRUPOAVAL;1190,0;0.0;219024330,0;182964,0;0,0;1195,0;1200,0;1190,0;1197,09;GRUPO AVAL ACCIONES Y VALORES
CNEC;9300,0;0.21;169962420,0;18294,0;-20,0;9300,0;9350,0;9260,0;9290,61;CANACOL ENERGY LTD
BOGOTA;69880,0;0.03;155762520,0;2229,0;-20,0;69880,0;69880,0;69880,0;69880,0;BANCO DE BOGOTA
CONCONCRET;869,0;3.34;144793108,0;172822,0;-30,0;823,0;869,0;820,0;837,82;CONCONCRETO S.A
ETB;385,0;1.53;96809198,0;250962,0;-6,0;385,0;386,0;385,0;385,75;ETB
ELCONDOR;1090,0;0.0;92026285,0;84821,0;0,0;1085,0;1090,0;1080,0;1084,95;EL CONDOR
PFGRUPOARG;16600,0;1.54;91810400,0;5530,0;-260,0;16600,0;16600,0;16600,0;16602,24;GRUPO ARGOS
PROMIGAS;7600,0;1.33;66812600,0;8801,0;100,0;7580,0;7600,0;7580,0;7591,48;PROMIGAS
PFCORFICOL;20100,0;0.0;60300000,0;3000,0;0,0;20100,0;20100,0;20100,0;20100,0;CORFICOLOMBIANA
ENKA;7,4;0.0;50970652,4;6887926,0;0,0;7,4;7,4;7,4;7,4;ENKA DE COLOMBIA
VALOREM;909,0;0.0;13605912,0;14968,0;0,0;909,0;909,0;909,0;909,0;VALOREM S.A.
MINEROS;2350,0;0.0;10180200,0;4332,0;0,0;2350,0;2350,0;2350,0;2350,0;MINEROS
CARTON;5800,0;0.0;8775400,0;1513,0;0,0;5800,0;5800,0;5800,0;5800,0;CARTON COLOMBIA
COLTEJER;0,0;0.0;595,0;1,0;0,0;0,0;0,0;0,0;595,0;COLTEJER
