Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
ECOPETROL;3140,0;2,11;25812708170;8308975;65,00;3090,0;3150,0;3045,0;3106,61;ECOPETROL;EQTY
PFBCOLOM;33300,0;-1,71;15412715340;457545;-580,00;33700,0;34000,0;33240,0;33685,68;BANCO BANCOLOMBIA;EQTY
GRUPOSURA;31720,0;-2,40;13945729320;432674;-780,00;32680,0;32680,0;31700,0;32231,49;GRUPO SURA;EQTY
BCOLOMBIA;33200,0;-0,60;8452615060;253821;-200,00;33400,0;33400,0;32800,0;33301,48;BANCO BANCOLOMBIA;EQTY
ISA;12900,0;-2,57;7847843960;606659;-340,00;13120,0;13120,0;12820,0;12936,17;ISA INTERCONEXION ELECTRICA;EQTY
PFAVAL;1035,0;-0,96;7237224485;7106079;-10,00;1040,0;1040,0;1010,0;1018,46;GRUPO AVAL ACCIONES Y VALORES;EQTY
CORFICOLCF;17340,0;-2,58;6986746740;406409;-460,00;17600,0;17600,0;16900,0;17191,42;CORFICOLOMBIANA;EQTY
ICOLCAP;13952,5;-0,48;6638903002,5;474176;-67,50;14019,0;14050,0;13952,5;14000,93;FONDO BURSATIL ISHARES COLCAP;EQTY
PFGRUPSURA;30600,0;-1,92;3697738520;120844;-600,00;31200,0;31200,0;30360,0;30599,27;GRUPO SURA;EQTY
PFDAVVNDA;32700,0;-2,39;3658840840;110997;-800,00;32880,0;33460,0;32700,0;32963,42;BANCO DAVIVIENDA;EQTY
CEMARGOS;7000,0;-0,71;3398144160;485206;-50,00;7130,0;7130,0;6920,0;7003,51;CEMENTOS ARGOS;EQTY
NUTRESA;23500,0;-0,84;2196465300;92845;-200,00;23700,0;23780,0;23500,0;23657,34;GRUPO NUTRESA;EQTY
GRUPOARGOS;16000,0;-0,99;2143140680;134008;-160,00;16340,0;16340,0;15900,0;15992,63;GRUPO ARGOS;EQTY
EXITO;13180,0;-3,65;1820747300;135542;-500,00;13500,0;13560,0;13180,0;13433,09;EXITO;EQTY
BVC;12920,0;-0,62;1571812820;121478;-80,00;12920,0;12940,0;12920,0;12939,07;BOLSA DE VALORES DE COLOMBIA;EQTY
CLH;4000,0;-0,50;1142497660;285569;-20,00;4020,0;4020,0;3990,0;4000,78;CEMEX LATAM HOLDINGS;EQTY
EEB;1850,0;1,09;681821575;370321;20,00;1835,0;1850,0;1835,0;1841,16;GRUPO ENERGIA BOGOTA;EQTY
CNEC;9800,0;-3,35;612149020;62644;-340,00;9960,0;9960,0;9580,0;9771,87;CANACOL ENERGY LTD;EQTY
CELSIA;3930,0;0,00;514558470;130437;0,00;3950,0;3950,0;3930,0;3944,88;CELSIA;EQTY
BOGOTA;59900,0;0,17;460485080;7686;100,00;59980,0;60000,0;59800,0;59912,19;BANCO DE BOGOTA;EQTY
PFGRUPOARG;13460,0;1,36;307361480;23049;180,00;13200,0;13460,0;13200,0;13335,13;GRUPO ARGOS;EQTY
PFCEMARGOS;5850,0;-3,15;256043850;43579;-190,00;6000,0;6000,0;5850,0;5875,4;CEMENTOS ARGOS;EQTY
PFAVH;1940,0;-2,51;242167475;124405;-50,00;1960,0;1960,0;1940,0;1946,61;AVIANCA HOLDINGS S.A.;EQTY
GRUPOAVAL;1030,0;-1,90;168389950;163843;-20,00;1030,0;1030,0;1000,0;1027,75;GRUPO AVAL ACCIONES Y VALORES;EQTY
ETB;266,0;0,00;100846232;373580;0,00;273,0;273,0;266,0;269,95;ETB;EQTY
CARTON;6510,0;0,15;78083360;12000;10,00;6500,0;6510,0;6500,0;6506,95;CARTON COLOMBIA;EQTY
MINEROS;1900,0;-5,94;56325150;28741;-120,00;2000,0;2020,0;1900,0;1959,75;MINEROS;EQTY
OCCIDENTE;39000,0;0,00;48360000;1240;0,00;39000,0;39000,0;39000,0;39000,0;BANCO DE OCCIDENTE;EQTY
CONCONCRET;0,0;0,00;6015438;20613;0,00;0,0;0,0;0,0;291,83;CONCONCRETO S.A;EQTY
FABRICATO;0,0;0,00;200024,05;36419;0,00;0,0;0,0;0,0;5,49;FABRICATO;EQTY
PAZRIO;0,0;0,00;2472;309;0,00;0,0;0,0;0,0;8,0;ACER. PAZ DEL RIO;EQTY
