Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / Nombre
PFGRUPSURA;37340,0;0.92;41917514200,0;1132404,0;340,0;37000,0;37340,0;37000,0;37016,4;GRUPO SURA
GRUPOSURA;37000,0;1.31;41774557580,0;1135491,0;480,0;36540,0;37000,0;36540,0;36789,86;GRUPO SURA
CEMARGOS;10660,0;0.37;30134479840,0;2853792,0;-40,0;10680,0;10680,0;10500,0;10559,45;CEMENTOS ARGOS
PFBCOLOM;27240,0;0.74;28640459280,0;1051405,0;200,0;27160,0;27320,0;27140,0;27240,18;BANCO BANCOLOMBIA
ECOPETROL;3500,0;1.45;22192388905,0;6355550,0;50,0;3450,0;3510,0;3450,0;3491,81;ECOPETROL
PFCEMARGOS;10380,0;2.08;21993215700,0;2085471,0;-220,0;10420,0;10580,0;10360,0;10545,92;CEMENTOS ARGOS
PREC;32000,0;1.78;10187178720,0;320293,0;560,0;31780,0;32300,0;31360,0;31805,81;PACIFIC EXPLOR AND PROD CORP
PFDAVVNDA;27700,0;2.59;8419885060,0;306728,0;700,0;27000,0;27700,0;27000,0;27450,66;BANCO DAVIVIENDA
GRUPOARGOS;21380,0;0.85;8169178960,0;384135,0;180,0;21300,0;21380,0;21200,0;21266,43;GRUPO ARGOS
PFAVAL;1315,0;0.77;5027938690,0;3800128,0;10,0;1305,0;1340,0;1305,0;1323,1;GRUPO AVAL ACCIONES Y VALORES
PFAVH;4010,0;1.6;4440482530,0;1097985,0;-65,0;4075,0;4075,0;4010,0;4044,21;AVIANCA HOLDINGS S.A.
CNEC;14740,0;5.44;2952591800,0;205227,0;760,0;14040,0;14740,0;14040,0;14386,96;CANACOL ENERGY LTD
ISA;8950,0;0.34;2639664700,0;294781,0;30,0;9000,0;9000,0;8950,0;8954,66;ISA INTERCONEXION ELECTRICA
NUTRESA;27020,0;0.45;2256358200,0;83100,0;120,0;27000,0;27340,0;27000,0;27152,32;GRUPO NUTRESA
CORFICOLCF;37660,0;0.11;2221342220,0;59010,0;-40,0;37700,0;37760,0;37360,0;37643,49;CORFICOLOMBIANA
ICOLCAP;16800,0;0.36;2121776052,5;125991,0;60,0;16827,5;16850,0;16800,0;16840,7;FONDO BURSATIL ISHARES COLCAP
BCOLOMBIA;26980,0;3.77;1793418220,0;66790,0;980,0;26460,0;26980,0;26360,0;26851,6;BANCO BANCOLOMBIA
EXITO;29180,0;0.07;1336028760,0;45918,0;-20,0;29220,0;29260,0;28860,0;29095,97;EXITO
PFGRUPOARG;21340,0;0.95;1042898560,0;49090,0;200,0;21220,0;21340,0;21200,0;21244,62;GRUPO ARGOS
CLH;17500,0;2.7;935442100,0;53436,0;460,0;17500,0;17580,0;17400,0;17505,84;CEMEX LATAM HOLDINGS
CELSIA;5970,0;1.16;881580930,0;147189,0;-70,0;6040,0;6040,0;5970,0;5989,45;CELSIA
ISAGEN;3130,0;0.81;772152875,0;246742,0;25,0;3105,0;3150,0;3105,0;3129,39;ISAGEN
GRUPOAVAL;1300,0;0.38;717091475,0;546414,0;-5,0;1290,0;1340,0;1290,0;1312,36;GRUPO AVAL ACCIONES Y VALORES
BVC;21,5;0.92;403851032,0;19027257,0;-0,2;21,4;21,5;21,0;21,22;BOLSA DE VALORES DE COLOMBIA
ELCONDOR;1345,0;8.91;308285915,0;236647,0;110,0;1295,0;1345,0;1295,0;1302,72;EL CONDOR
PFCORFICOL;34000,0;0.0;284923560,0;8382,0;0,0;34000,0;34000,0;34000,0;33992,31;CORFICOLOMBIANA
ODINSA;7800,0;1.3;248916000,0;32150,0;100,0;7700,0;7800,0;7700,0;7742,33;ODINSA
ENKA;10,7;0.0;213204854,4;20238172,0;0,0;10,2;10,7;10,2;10,53;ENKA DE COLOMBIA
FABRICATO;17,4;1.69;195920550,0;11263250,0;-0,3;17,4;17,4;17,4;17,39;FABRICATO
EEB;1570,0;1.95;185911900,0;119435,0;30,0;1540,0;1570,0;1540,0;1556,59;GRUPO ENERGIA BOGOTA
CONCONCRET;1400,0;0.72;184719630,0;132303,0;10,0;1390,0;1400,0;1390,0;1396,19;CONCONCRETO S.A
VALOREM;285,0;1.79;180554006,0;634076,0;5,0;285,0;285,0;285,0;284,75;VALOREM S.A.
MINEROS;2900,0;1.22;107548735,0;37210,0;35,0;2900,0;2900,0;2900,0;2890,32;MINEROS
ETB;443,0;1.84;73673253,0;169800,0;8,0;443,0;443,0;443,0;433,88;ETB
TABLEMAC;7,8;2.5;54600000,0;7000000,0;-0,2;7,8;7,8;7,8;7,8;TABLEMAC
POPULAR;535,0;1.9;53500000,0;100000,0;10,0;535,0;535,0;535,0;535,0;BANCO POPULAR
BOGOTA;69500,0;0.0;49136500,0;707,0;0,0;69500,0;69500,0;69500,0;69500,0;BANCO DE BOGOTA
PFCARPAK;2600,0;4.59;48367800,0;18603,0;-125,0;2600,0;2600,0;2600,0;2600,0;CARVAJAL EMPAQUES S.A.
SDCORFIC;36900,0;1.6;30933000,0;845,0;-600,0;36900,0;36900,0;36900,0;36607,1;CORFICOLOMBIANA
SOCBOLIVAR;40500,0;1.17;28147500,0;695,0;-480,0;40500,0;40500,0;40500,0;40500,0;GRUPO BOLIVAR
PAZRIO;0,0;0.0;715660,0;65060,0;0,0;0,0;0,0;0,0;11,0;ACER. PAZ DEL RIO
COLTEJER;0,0;0.0;246500,0;145,0;0,0;0,0;0,0;0,0;1700,0;COLTEJER
