Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / Nombre
ECOPETROL;3855,0;0.39;59920449625,0;15438131,0;15,0;3900,0;3930,0;3840,0;3881,23;ECOPETROL
PREC;60840,0;0.73;33629575940,0;547527,0;440,0;60980,0;61980,0;60620,0;61420,85;PACIFIC EXPLOR AND PROD CORP
CORFICOLCF;34840,0;1.86;16707024480,0;470672,0;-660,0;35500,0;35900,0;34840,0;35496,11;CORFICOLOMBIANA
BCOLOMBIA;29080,0;2.61;15068379980,0;520196,0;740,0;28360,0;29200,0;28360,0;28966,87;BANCO BANCOLOMBIA
PFBCOLOM;30320,0;2.78;9117943380,0;302448,0;820,0;29700,0;30500,0;29700,0;30147,28;BANCO BANCOLOMBIA
ISA;13540,0;0.3;8714296280,0;641909,0;40,0;13500,0;13660,0;13500,0;13575,48;ISA INTERCONEXION ELECTRICA
ISAGEN;2495,0;0.2;8549810890,0;3416836,0;5,0;2500,0;2535,0;2485,0;2502,26;ISAGEN
INVERARGOS;20240,0;1.61;7921064920,0;392217,0;320,0;20100,0;20300,0;20000,0;20195,62;GRUPO ARGOS
SIE;14000,0;5.58;7249344560,0;517924,0;740,0;13880,0;14100,0;13700,0;13996,93;SOCIEDAD INVERSIONES ENERGIA
MINEROS;7650,0;2.0;6712013170,0;877594,0;150,0;7590,0;7700,0;7590,0;7648,2;MINEROS
PFDAVVNDA;22500,0;0.45;6455366540,0;287020,0;100,0;22400,0;22580,0;22400,0;22491,28;BANCO DAVIVIENDA
EXITO;23460,0;1.43;6025140660,0;253816,0;-340,0;23800,0;23920,0;23000,0;23738,22;EXITO
CEMARGOS;11480,0;0.88;5828309140,0;506538,0;100,0;11380,0;11600,0;11380,0;11506,16;CEMENTOS ARGOS
GRUPOSURA;38760,0;1.2;4408330640,0;113715,0;460,0;38800,0;39020,0;38300,0;38766,48;GRUPO SURA
PROENERGIA;8610,0;3.73;3151653280,0;367070,0;310,0;8420,0;8610,0;8420,0;8585,97;PROENERGIA INTERNACIONAL S.A.
EEB;154000,0;2.67;2928155620,0;19096,0;4000,0;150000,0;154000,0;150000,0;153339,69;GRUPO ENERGIA BOGOTA
CNEC;3050,0;1.33;2901466965,0;940643,0;40,0;3020,0;3110,0;3020,0;3084,56;CANACOL ENERGY LTD
COLINVERS;5820,0;1.36;2463100190,0;421605,0;-80,0;6000,0;6000,0;5810,0;5842,09;CELSIA
TABLEMAC;8,95;0.11;2285199634,35;251635696,0;-0,01;9,1;9,2;8,95;9,08;TABLEMAC
GRUPOAVAL;1410,0;4.06;1490257930,0;1060403,0;55,0;1395,0;1415,0;1395,0;1405,37;GRUPO AVAL ACCIONES Y VALORES
BOGOTA;50520,0;1.52;1367822400,0;26939,0;-780,0;51300,0;51300,0;50500,0;50774,8;BANCO DE BOGOTA
CHOCOLATES;25400,0;0.4;1252645360,0;49324,0;100,0;25300,0;25420,0;25300,0;25396,26;GRUPO NUTRESA
BIOMAX;1520,0;1.67;629383935,0;412134,0;25,0;1500,0;1545,0;1500,0;1527,13;BIOMAX BIOCOMBUSTIBLES S.A.
ETB;670,0;1.52;497140809,0;739861,0;10,0;667,0;679,0;667,0;671,94;ETB
PFHELMBANK;427,0;0.7;484067390,0;1135395,0;-3,0;425,0;427,0;425,0;426,34;HELM BANK S.A.
PFCORFICOL;34280,0;3.88;412944000,0;12062,0;1280,0;34000,0;34300,0;34000,0;34235,12;CORFICOLOMBIANA
BVC;42,6;0.0;409143179,1;9580931,0;0,0;43,0;43,0;42,6;42,7;BOLSA DE VALORES DE COLOMBIA
BMC;2170,0;0.7;403036890,0;185763,0;15,0;2170,0;2170,0;2170,0;2169,63;BMC BOLSA MERCANTIL DE COL
INTERBOLSA;2800,0;2.78;382290600,0;135271,0;-80,0;2830,0;2850,0;2800,0;2826,11;INTERBOLSA S.A.
FABRICATO;26,9;1.47;368969511,4;13711506,0;-0,4;27,2;27,3;26,8;26,91;FABRICATO
ENKA;13,0;0.76;181744000,0;13950000,0;-0,1;13,2;13,2;13,0;13,03;ENKA DE COLOMBIA
SOCBOLIVAR;60160,0;1.97;163936000,0;2725,0;1160,0;60160,0;60160,0;60160,0;60160,0;GRUPO BOLIVAR
COLTEJER;0,82;0.0;112937513,75;138451743,0;0,0;0,82;0,82;0,82;0,82;COLTEJER
VALOREM;415,0;0.0;112028466,0;269935,0;0,0;415,0;415,0;415,0;415,02;VALOREM S.A.
OCCIDENTE;36600,0;1.67;49174000,0;1340,0;600,0;36860,0;36860,0;36600,0;36697,01;BANCO DE OCCIDENTE
ODINSA;7500,0;1.32;38470000,0;5156,0;-100,0;7400,0;7500,0;7400,0;7461,21;ODINSA
CARTON;7960,0;0.38;35111560,0;4411,0;30,0;7960,0;7960,0;7960,0;7960,0;CARTON COLOMBIA
SDCORFIC10;0,0;0.0;15800100,0;478,0;0,0;0,0;0,0;0,0;33054,6;CORFICOLOMBIANA
BBVACOL;0,0;0.0;12210000,0;40700,0;0,0;0,0;0,0;0,0;300,0;BBVA COLOMBIA
PAZRIO;0,0;0.0;9900000,0;220000,0;0,0;0,0;0,0;0,0;45,0;ACER. PAZ DEL RIO
