Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
PFBCOLOM;40200,0;-3,81;69929992460;1745118;-1560,00;40800,0;41200,0;40200,0;40559,22;BANCO BANCOLOMBIA;EQTY
ECOPETROL;3075,0;-0,65;27467860380;9011373;-20,00;3100,0;3135,0;3040,0;3089,58;ECOPETROL;EQTY
BCOLOMBIA;38300,0;-3,62;17543122400;455299;-1380,00;38420,0;40380,0;38300,0;39250,93;BANCO BANCOLOMBIA;EQTY
PFAVAL;1440,0;0,36;14726205785;10357580;5,00;1425,0;1450,0;1425,0;1433,65;GRUPO AVAL ACCIONES Y VALORES;EQTY
ISA;18700,0;-1,42;14471705820;780973;-260,00;18700,0;18880,0;18500,0;18704,79;ISA INTERCONEXION ELECTRICA;EQTY
ICOLCAP;15700,0;-2,15;12664758529;815874;-340,00;15753,0;15753,0;15700,0;15701,43;FONDO BURSATIL ISHARES COLCAP;EQTY
GEB;2495,0;1,84;11005404855;4406827;45,00;2460,0;2515,0;2460,0;2495,97;GRUPO ENERGIA BOGOTA;EQTY
GRUPOARGOS;15860,0;1,43;10967804960;703129;220,00;15520,0;16100,0;15440,0;15521,71;GRUPO ARGOS;EQTY
GRUPOSURA;29800,0;-0,81;10628929380;359522;-240,00;29740,0;30000,0;29700,0;29880,71;GRUPO SURA;EQTY
CORFICOLCF;32100,0;0,00;6278050380;195297;0,00;32500,0;32500,0;32100,0;32410,36;CORFICOLOMBIANA;EQTY
PFDAVVNDA;42080,0;-4,29;6027569540;147239;-1800,00;40900,0;43500,0;40900,0;42021,24;BANCO DAVIVIENDA;EQTY
CEMARGOS;5300,0;-7,17;5633282200;1096658;-380,00;5300,0;5420,0;5280,0;5328,11;CEMENTOS ARGOS;EQTY
PFGRUPSURA;26300,0;-1,15;3204005860;124207;-300,00;26660,0;26660,0;26300,0;26461,6;GRUPO SURA;EQTY
CNEC;11460,0;0,00;3162124380;278884;0,00;11180,0;11500,0;11180,0;11374,88;CANACOL ENERGY LTD;EQTY
BVC;10600,0;-1,13;2013523540;191681;-120,00;10600,0;10600,0;10500,0;10505,14;BOLSA DE VALORES DE COLOMBIA;EQTY
NUTRESA;24500,0;-4,49;1755496280;73965;-1100,00;24500,0;24500,0;24500,0;24463,97;GRUPO NUTRESA;EQTY
PFAVH;1580,0;-3,85;1448904475;925400;-60,00;1620,0;1640,0;1575,0;1595,47;AVIANCA HOLDINGS S.A.;EQTY
CELSIA;4560,0;-0,44;1277664250;279167;-20,00;4505,0;4595,0;4505,0;4550,9;CELSIA;EQTY
PFGRUPOARG;12420,0;-1,44;681512300;54683;-180,00;12500,0;12500,0;12420,0;12502,0;GRUPO ARGOS;EQTY
CLH;3640,0;-7,67;491759350;137270;-280,00;3610,0;3640,0;3610,0;3619,75;CEMEX LATAM HOLDINGS;EQTY
BOGOTA;87000,0;-0,57;409125540;4715;-500,00;87000,0;87000,0;87000,0;87017,05;BANCO DE BOGOTA;EQTY
EXITO;15900,0;-1,02;374679260;24012;-160,00;15900,0;15900,0;15900,0;15905,52;EXITO;EQTY
PFCEMARGOS;4500,0;-3,86;135074600;30366;-175,00;4500,0;4500,0;4500,0;4545,58;CEMENTOS ARGOS;EQTY
MINEROS;3415,0;1,76;128563060;37599;60,00;3400,0;3420,0;3400,0;3415,8;MINEROS;EQTY
ETB;0,0;-2,03;91946652;377972;-5,00;0,0;0,0;0,0;243,0;ETB;EQTY
GRUBOLIVAR;0,0;-0,95;73132800;879;-800,00;0,0;0,0;0,0;0,0;GRUPO BOLIVAR;EQTY
PROMIGAS;0,0;3,72;64521500;8050;290,00;0,0;0,0;0,0;0,0;PROMIGAS;EQTY
PFCORFICOL;0,0;0,00;57321400;2107;0,00;0,0;0,0;0,0;0,0;CORFICOLOMBIANA;EQTY
BBVACOL;405,0;-4,71;14088330;34786;-20,00;405,0;405,0;405,0;405,0;BBVA COLOMBIA;EQTY
GRUPOAVAL;0,0;0,00;6180850;4470;0,00;0,0;0,0;0,0;1380,57;GRUPO AVAL ACCIONES Y VALORES;EQTY
CONCONCRET;0,0;0,00;3212240;6713;0,00;0,0;0,0;0,0;478,51;CONCONCRETO S.A;EQTY
ELCONDOR;0,0;0,00;2150110;1693;0,00;0,0;0,0;0,0;0,0;EL CONDOR;EQTY
FABRICATO;0,0;0,00;1250000;250000;0,00;0,0;0,0;0,0;5,0;FABRICATO;EQTY
