Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
ECOPETROL;2220,0;1,83;19127984625;8701282;40,00;2185,0;2230,0;2155,0;2198,29;ECOPETROL;EQTY
PFBCOLOM;24460,0;-1,69;18866356900;771254;-420,00;24820,0;24820,0;24340,0;24461,92;BANCO BANCOLOMBIA;EQTY
ICOLCAP;11811,0;0,22;15903910120;1346800;26,00;11784,5;11825,0;11784,5;11808,67;FONDO BURSATIL ISHARES COLCAP;EQTY
PFAVAL;875,0;0,57;8771097292;10029883;5,00;870,0;879,0;870,0;874,5;GRUPO AVAL ACCIONES Y VALORES;EQTY
CORFICOLCF;26100,0;-0,31;3970500780;152787;-80,00;26100,0;26100,0;25800,0;25987,16;CORFICOLOMBIANA;EQTY
NUTRESA;20940,0;-0,29;3754751500;178846;-60,00;21000,0;21180,0;20900,0;20994,33;GRUPO NUTRESA;EQTY
ISA;19640,0;0,31;3539347380;180777;60,00;19400,0;19640,0;19400,0;19578,53;ISA INTERCONEXION ELECTRICA;EQTY
BCOLOMBIA;24440,0;0,49;2796745500;115118;120,00;24060,0;24440,0;24000,0;24294,6;BANCO BANCOLOMBIA;EQTY
GRUPOSURA;20500,0;0,10;2383332700;116381;20,00;20460,0;20500,0;20400,0;20478,71;GRUPO SURA;EQTY
PFDAVVNDA;27760,0;-2,12;2177182760;77667;-600,00;28080,0;28300,0;27760,0;28032,28;BANCO DAVIVIENDA;EQTY
GEB;2380,0;0,85;1512181740;637754;20,00;2360,0;2380,0;2360,0;2371,11;GRUPO ENERGIA BOGOTA;EQTY
CELSIA;4290,0;1,30;1398155605;328679;55,00;4225,0;4290,0;4225,0;4253,86;CELSIA;EQTY
GRUPOARGOS;10280,0;-0,39;1076920380;104525;-40,00;10300,0;10360,0;10220,0;10302,99;GRUPO ARGOS;EQTY
CEMARGOS;3760,0;0,40;738323650;197171;15,00;3730,0;3785,0;3700,0;3744,59;CEMENTOS ARGOS;EQTY
BOGOTA;66800,0;0,00;575099000;8614;0,00;66700,0;66800,0;66700,0;66763,29;BANCO DE BOGOTA;EQTY
CNEC;10180,0;-2,12;552657880;54215;-220,00;10200,0;10200,0;10180,0;10193,82;CANACOL ENERGY LTD;EQTY
PFGRUPOARG;8710,0;1,28;338360600;38912;110,00;8730,0;8730,0;8650,0;8695,53;GRUPO ARGOS;EQTY
PFGRUPSURA;16980,0;0,95;277015920;16375;160,00;16900,0;16980,0;16820,0;16917,0;GRUPO SURA;EQTY
PROMIGAS;6780,0;0,15;237677340;35100;10,00;6760,0;6780,0;6760,0;6771,43;PROMIGAS;EQTY
BVC;11100,0;2,02;232989900;21150;220,00;10920,0;11120,0;10920,0;11016,07;BOLSA DE VALORES DE COLOMBIA;EQTY
ETB;220,0;2,80;209381250;952245;6,00;220,0;220,0;220,0;219,88;ETB;EQTY
CLH;1685,0;2,12;157110245;93562;35,00;1675,0;1685,0;1675,0;1679,21;CEMEX LATAM HOLDINGS;EQTY
PFCEMARGOS;3390,0;2,26;152072130;44961;75,00;3365,0;3400,0;3365,0;3382,31;CEMENTOS ARGOS;EQTY
ELCONDOR;955,0;1,06;134332040;141049;10,00;960,0;960,0;950,0;952,38;EL CONDOR;EQTY
MINEROS;3535,0;-0,28;115214065;32613;-10,00;3540,0;3545,0;3520,0;3532,77;MINEROS;EQTY
EXITO;10080,0;0,60;62721080;6183;60,00;10200,0;10200,0;10080,0;10144,12;EXITO;EQTY
PFCORFICOL;21760,0;-1,09;55359000;2538;-240,00;22000,0;22000,0;21760,0;21812,06;CORFICOLOMBIANA;EQTY
PFAVH;211,0;0,00;46007938;217764;0,00;211,0;211,0;211,0;211,27;AVIANCA HOLDINGS S.A.;EQTY
TERPEL;7020,0;-1,96;30080700;4285;-140,00;7020,0;7020,0;7020,0;7020,0;ORGANIZACION TERPEL;EQTY
FABRICATO;0,0;0,00;13927923,63;3655623;0,00;0,0;0,0;0,0;3,81;FABRICATO;EQTY
GRUPOAVAL;0,0;0,00;6882475;7302;0,00;0,0;0,0;0,0;942,55;GRUPO AVAL ACCIONES Y VALORES;EQTY
CONCONCRET;0,0;0,00;3871826;9737;0,00;0,0;0,0;0,0;397,64;CONCONCRETO S.A;EQTY
