Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
NUTRESA;20600,0;-0,10;2584267820;125320;-20,00;20620,0;20820,0;20560,0;20621,35;GRUPO NUTRESA;EQTY
PFBCOLOM;25260,0;1,12;2559002880;101402;280,00;25100,0;25280,0;25100,0;25236,22;BANCO BANCOLOMBIA;EQTY
ICOLCAP;11477,0;0,85;1968581600;171400;97,00;11494,0;11494,0;11472,0;11485,31;FONDO BURSATIL ISHARES COLCAP;EQTY
PFCORFICOL;23380,0;-0,51;1391865660;59341;-120,00;23540,0;23580,0;23340,0;23455,38;CORFICOLOMBIANA;EQTY
GRUPOSURA;19500,0;2,09;1253018660;64429;400,00;19360,0;19500,0;19320,0;19448,05;GRUPO SURA;EQTY
ECOPETROL;2100,0;0,96;1092755225;521127;20,00;2075,0;2100,0;2075,0;2096,91;ECOPETROL;EQTY
ISA;18820,0;0,11;903400080;47844;20,00;18800,0;19140,0;18580,0;18882,2;ISA INTERCONEXION ELECTRICA;EQTY
CORFICOLCF;27700,0;-0,50;758538040;27295;-140,00;27900,0;27920,0;27700,0;27790,37;CORFICOLOMBIANA;EQTY
CNEC;10500,0;2,34;635229220;61041;240,00;10280,0;10500,0;10280,0;10406,6;CANACOL ENERGY LTD;EQTY
PFAVAL;835,0;0,97;602452969;721818;8,00;833,0;836,0;830,0;834,63;GRUPO AVAL ACCIONES Y VALORES;EQTY
PFGRUPSURA;16200,0;1,12;518914800;32240;180,00;16000,0;16200,0;16000,0;16095,37;GRUPO SURA;EQTY
GEB;2345,0;-1,26;478375090;202827;-30,00;2370,0;2370,0;2345,0;2358,54;GRUPO ENERGIA BOGOTA;EQTY
GRUPOARGOS;9740,0;-1,12;394374920;40360;-110,00;9710,0;9880,0;9710,0;9771,43;GRUPO ARGOS;EQTY
BCOLOMBIA;24960,0;1,13;333990000;13401;280,00;24940,0;24960,0;24900,0;24922,77;BANCO BANCOLOMBIA;EQTY
BOGOTA;62540,0;1,20;317371160;5078;740,00;61800,0;62660,0;61800,0;62499,24;BANCO DE BOGOTA;EQTY
MINEROS;3325,0;0,45;288144850;86638;15,00;3310,0;3330,0;3310,0;3325,85;MINEROS;EQTY
CEMARGOS;3435,0;0,73;246226280;71592;25,00;3475,0;3475,0;3415,0;3439,3;CEMENTOS ARGOS;EQTY
PFAVH;222,0;2,30;176643516;795908;5,00;220,0;223,0;220,0;221,94;AVIANCA HOLDINGS S.A.;EQTY
PFDAVVNDA;28060,0;0,65;126074460;4400;180,00;29000,0;29000,0;27880,0;28653,29;BANCO DAVIVIENDA;EQTY
CELSIA;4115,0;0,86;119966040;29123;35,00;4090,0;4130,0;4085,0;4119,29;CELSIA;EQTY
PFGRUPOARG;8040,0;1,64;91629250;11438;130,00;7960,0;8050,0;7960,0;8010,95;GRUPO ARGOS;EQTY
TERPEL;6520,0;-0,31;73163140;11464;-20,00;6360,0;6520,0;6350,0;6381,99;ORGANIZACION TERPEL;EQTY
EXITO;10200,0;-0,20;62755700;6139;-20,00;10200,0;10240,0;10200,0;10222,46;EXITO;EQTY
CLH;1530,0;0,33;57211710;37438;5,00;1525,0;1530,0;1525,0;1528,17;CEMEX LATAM HOLDINGS;EQTY
PROMIGAS;6700,0;0,00;43335600;6468;0,00;6700,0;6700,0;6700,0;6700,0;PROMIGAS;EQTY
PFCEMARGOS;3085,0;4,58;42671970;14280;135,00;2920,0;3085,0;2920,0;2988,23;CEMENTOS ARGOS;EQTY
BVC;10700,0;-0,19;23622700;2197;-20,00;10800,0;10800,0;10700,0;10752,25;BOLSA DE VALORES DE COLOMBIA;EQTY
CONCONCRET;370,0;0,00;17962590;48657;0,00;370,0;370,0;370,0;369,17;CONCONCRETO S.A;EQTY
ETB;0,0;0,00;2190000;10000;0,00;0,0;0,0;0,0;219,0;ETB;EQTY
