Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
ECOPETROL;2135,0;6,75;59276951626;28212249;135,00;2020,0;2135,0;2020,0;2101,11;ECOPETROL;EQTY
PFBCOLOM;26990,0;1,39;34090150320;1254365;370,00;26700,0;27500,0;26700,0;27177,22;BANCO BANCOLOMBIA;EQTY
PFDAVVNDA;27320,0;0,07;10772841480;391291;20,00;27440,0;28150,0;27200,0;27531,53;BANCO DAVIVIENDA;EQTY
PFAVAL;922,7;-0,68;10379827962,8;11183185;-6,30;929,4;934,8;922,7;928,16;GRUPO AVAL ACCIONES Y VALORES;EQTY
GRUPOSURA;21690,0;-0,18;10185946290;462154;-40,00;22000,0;22410,0;21580,0;22040,16;GRUPO SURA;EQTY
ISA;23000,0;2,13;7807039580;340612;480,00;23160,0;23160,0;22450,0;22920,62;ISA INTERCONEXION ELECTRICA;EQTY
BCOLOMBIA;26750,0;1,60;7380471320;274781;420,00;26700,0;27300,0;26550,0;26859,47;BANCO BANCOLOMBIA;EQTY
PFGRUPSURA;17090,0;0,53;4952979850;289195;90,00;17270,0;17460,0;16960,0;17126,78;GRUPO SURA;EQTY
NUTRESA;21490,0;-0,09;4467507580;206241;-20,00;21690,0;22000,0;21490,0;21661,59;GRUPO NUTRESA;EQTY
ETB;204,0;2,00;2391193296,3;11900908;4,00;202,0;204,0;200,0;200,93;ETB;EQTY
GRUPOARGOS;11800,0;2,97;1592938920;136508;340,00;11470,0;11800,0;11200,0;11669,2;GRUPO ARGOS;EQTY
ICOLCAP;12496,5;1,35;1327676880,5;106272;166,50;12474,0;12500,0;12467,0;12493,2;FONDO BURSATIL ISHARES COLCAP;EQTY
CLH;3222,0;0,09;1280047843;397657;3,00;3218,0;3222,0;3217,0;3218,97;CEMEX LATAM HOLDINGS;EQTY
GEB;2480,0;1,22;1109345848;448907;30,00;2450,0;2489,0;2450,0;2471,22;GRUPO ENERGIA BOGOTA;EQTY
CEMARGOS;4820,0;0,42;1001707751;208121;20,00;4800,0;4850,0;4786,0;4813,1;CEMENTOS ARGOS;EQTY
CORFICOLCF;27120,0;-0,55;681498740;24926;-150,00;27820,0;27820,0;27120,0;27340,88;CORFICOLOMBIANA;EQTY
BOGOTA;71260,0;2,53;618255110;8769;1760,00;70500,0;71260,0;69640,0;70504,63;BANCO DE BOGOTA;EQTY
CNEC;10700,0;0,47;552180440;51823;50,00;10690,0;10700,0;10600,0;10655,12;CANACOL ENERGY LTD;EQTY
EXITO;11240,0;2,18;510396520;45428;240,00;11240,0;11240,0;11240,0;11235,28;EXITO;EQTY
CELSIA;4380,0;0,69;471870307;108026;30,00;4379,0;4429,0;4330,0;4368,12;CELSIA;EQTY
TERPEL;8165,0;2,32;433365845;53096;185,00;7995,0;8300,0;7995,0;8161,93;ORGANIZACION TERPEL;EQTY
CONCONCRET;335,0;0,60;418106268,2;1239590;2,00;342,0;342,0;333,1;337,29;CONCONCRETO S.A;EQTY
MINEROS;3825,0;0,00;360069728;94218;0,00;3820,0;3840,0;3780,0;3821,67;MINEROS;EQTY
PFCORFICOL;22300,0;1,36;309674800;13827;300,00;22400,0;22400,0;22300,0;22396,38;CORFICOLOMBIANA;EQTY
PFCEMARGOS;3990,0;0,03;225727853;56991;1,00;3740,0;4050,0;3740,0;3960,76;CEMENTOS ARGOS;EQTY
PFGRUPOARG;9400,0;2,17;164246270;17714;200,00;9230,0;9400,0;9200,0;9272,12;GRUPO ARGOS;EQTY
GRUBOLIVAR;62000,0;0,81;110608000;1784;500,00;62000,0;62000,0;62000,0;62000,0;GRUPO BOLIVAR;EQTY
PROMIGAS;7390,0;0,00;50659050;6890;0,00;7390,0;7390,0;7390,0;7352,55;PROMIGAS;EQTY
GRUPOAVAL;929,5;-0,04;47141931;51663;-0,40;910,0;929,5;900,1;912,49;GRUPO AVAL ACCIONES Y VALORES;EQTY
BVC;10760,0;0,37;42382080;3942;40,00;10740,0;10760,0;10740,0;10751,42;BOLSA DE VALORES DE COLOMBIA;EQTY
PFAVH;157,0;12,14;25426438,8;163212;17,00;157,0;157,0;157,0;155,79;AVIANCA HOLDINGS S.A.;EQTY
ELCONDOR;0,0;0,00;8688320;8710;0,00;0,0;0,0;0,0;997,51;EL CONDOR;EQTY
FABRICATO;0,0;0,00;2400000;500000;0,00;0,0;0,0;0,0;4,8;FABRICATO;EQTY
