Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
PFBCOLOM;26400,0;2,72;32696769460;1242271;700,00;25900,0;26500,0;25700,0;26320,16;BANCO BANCOLOMBIA;EQTY
BCOLOMBIA;26700,0;4,79;9094981360;345470;1220,00;25680,0;26700,0;25680,0;26326,4;BANCO BANCOLOMBIA;EQTY
ECOPETROL;2245,0;1,13;9064177550;4069203;25,00;2200,0;2245,0;2200,0;2227,51;ECOPETROL;EQTY
ISA;19540,0;-1,31;5085501100;259951;-260,00;19780,0;19780,0;19500,0;19563,31;ISA INTERCONEXION ELECTRICA;EQTY
GRUPOSURA;19840,0;-1,68;2672688340;134037;-340,00;20080,0;20320,0;19840,0;19939,93;GRUPO SURA;EQTY
PFCORFICOL;22360,0;1,18;2434982820;109310;260,00;22300,0;22360,0;22100,0;22275,94;CORFICOLOMBIANA;EQTY
PFAVAL;890,0;0,68;2425164790;2730622;6,00;884,0;894,0;881,0;888,14;GRUPO AVAL ACCIONES Y VALORES;EQTY
CLH;1830,0;7,96;2315013750;1293078;135,00;1710,0;1835,0;1710,0;1790,31;CEMEX LATAM HOLDINGS;EQTY
MINEROS;3935,0;2,34;2178170690;554487;90,00;3850,0;4080,0;3850,0;3928,26;MINEROS;EQTY
PFDAVVNDA;28020,0;0,07;1924295380;68687;20,00;27860,0;29120,0;27860,0;28015,42;BANCO DAVIVIENDA;EQTY
GRUPOARGOS;10800,0;-2,00;1774060740;163459;-220,00;10520,0;11100,0;10400,0;10853,25;GRUPO ARGOS;EQTY
GEB;2380,0;0,85;1645094490;694844;20,00;2330,0;2380,0;2330,0;2367,57;GRUPO ENERGIA BOGOTA;EQTY
ICOLCAP;12052,5;0,06;1223712016;101495;7,50;12060,0;12060,0;12040,0;12056,87;FONDO BURSATIL ISHARES COLCAP;EQTY
CEMARGOS;4150,0;1,10;974773620;235667;45,00;4170,0;4170,0;4095,0;4136,23;CEMENTOS ARGOS;EQTY
CORFICOLCF;26000,0;0,85;894438400;34719;220,00;25600,0;26000,0;25600,0;25762,22;CORFICOLOMBIANA;EQTY
CNEC;10320,0;0,00;769491200;75554;0,00;10220,0;10320,0;10140,0;10184,65;CANACOL ENERGY LTD;EQTY
PFGRUPSURA;17100,0;-1,95;668099260;38984;-340,00;17500,0;17500,0;16660,0;17137,78;GRUPO SURA;EQTY
ETB;220,0;0,00;609139495;2777424;0,00;223,0;223,0;215,0;219,32;ETB;EQTY
BOGOTA;68060,0;-0,03;580776020;8532;-20,00;68000,0;68100,0;68000,0;68070,33;BANCO DE BOGOTA;EQTY
NUTRESA;21060,0;-0,47;542519840;25673;-100,00;21360,0;21360,0;21060,0;21131,92;GRUPO NUTRESA;EQTY
PFCEMARGOS;3480,0;-0,71;437281640;123561;-25,00;3550,0;3550,0;3480,0;3538,99;CEMENTOS ARGOS;EQTY
CELSIA;4325,0;0,35;394600740;91374;15,00;4315,0;4325,0;4315,0;4318,52;CELSIA;EQTY
PFGRUPOARG;8540,0;-1,84;355018970;41480;-160,00;8600,0;8620,0;8500,0;8558,8;GRUPO ARGOS;EQTY
ELCONDOR;990,0;3,88;349259744;358334;37,00;978,0;990,0;960,0;974,68;EL CONDOR;EQTY
EXITO;10200,0;-0,58;287150700;27992;-60,00;10400,0;10400,0;10200,0;10258,31;EXITO;EQTY
GRUBOLIVAR;66800,0;0,00;153600100;2378;0,00;64280,0;66800,0;64200,0;64592,14;GRUPO BOLIVAR;EQTY
TERPEL;7100,0;0,71;144760600;20533;50,00;7000,0;7100,0;7000,0;7050,14;ORGANIZACION TERPEL;EQTY
PFAVH;0,0;0,00;71561782;338191;0,00;0,0;0,0;0,0;211,6;AVIANCA HOLDINGS S.A.;EQTY
PROMIGAS;7370,0;10,00;56346480;7671;670,00;7370,0;7370,0;7370,0;7345,39;PROMIGAS;EQTY
BVC;11000,0;0,00;34838600;3188;0,00;10900,0;11000,0;10900,0;10928,04;BOLSA DE VALORES DE COLOMBIA;EQTY
FABRICATO;0,0;0,00;15157496;3646874;0,00;0,0;0,0;0,0;4,16;FABRICATO;EQTY
VALSIMESA;0,0;0,00;2778750;585;0,00;0,0;0,0;0,0;4750,0;VALORES SIMESA;EQTY
POPULAR;0,0;0,00;2162586;7257;0,00;0,0;0,0;0,0;298,0;BANCO POPULAR;EQTY
GRUPOAVAL;0,0;0,00;1031563;1087;0,00;0,0;0,0;0,0;949,0;GRUPO AVAL ACCIONES Y VALORES;EQTY
