Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
PFBCOLOM;34900,0;1,28;35074684620;1003548;440,0;34580,0;35100,0;34580,0;34950,68;BANCO BANCOLOMBIA;EQTY
ISA;18760,0;0,0;13676892480;729299;0,0;18760,0;18920,0;18500,0;18753,48;ISA INTERCONEXION ELECTRICA;EQTY
ECOPETROL;2320,0;0,87;11822222610;5087485;20,0;2280,0;2330,0;2280,0;2323,79;ECOPETROL;EQTY
PFDAVVNDA;22360,0;2,19;8785950840;395679;480,0;22000,0;22380,0;22000,0;22204,74;BANCO DAVIVIENDA;EQTY
ICOLCAP;14150,0;0,54;6462628968,5;456400;76,0;14120,0;14181,5;14120,0;14160,01;FONDO BURSATIL ISHARES COLCAP;EQTY
CORFICOLCF;15900,0;2,58;6420632200;409120;400,0;15500,0;15900,0;15500,0;15693,76;CORFICOLOMBIANA;EQTY
PFGRUPSURA;26780,0;3,0;5588700820;212493;780,0;26740,0;26780,0;26200,0;26300,63;GRUPO SURA;EQTY
BCOLOMBIA;36400,0;2,25;4675067200;129147;800,0;35660,0;36400,0;35660,0;36199,58;BANCO BANCOLOMBIA;EQTY
GRUPOARGOS;16280,0;-0,25;4410487920;270237;-40,0;16300,0;16380,0;16280,0;16320,81;GRUPO ARGOS;EQTY
GEB;2600,0;0,78;3143882490;1215416;20,0;2555,0;2600,0;2535,0;2586,67;GRUPO ENERGIA BOGOTA;EQTY
CEMARGOS;8400,0;-0,59;2413668000;288753;-50,0;8400,0;8410,0;8310,0;8358,94;CEMENTOS ARGOS;EQTY
TERPEL;10180,0;8,53;1286978120;129621;800,0;9380,0;10280,0;9380,0;9928,78;ORGANIZACION TERPEL;EQTY
CELSIA;4350,0;-0,46;1278405440;294376;-20,0;4350,0;4375,0;4310,0;4342,76;CELSIA;EQTY
EXITO;2270,0;0,67;479531665;211775;15,0;2270,0;2285,0;2270,0;2264,35;EXITO;EQTY
BOGOTA;28300,0;-;467043320;16504;0,0;28300,0;28300,0;28300,0;28298,8;BANCO DE BOGOTA;EQTY
PFAVAL;467,0;-0,64;338438328;719398;-3,0;466,0;472,0;466,0;470,45;GRUPO AVAL ACCIONES Y VALORES;EQTY
PFGRUPOARG;12080,0;0,0;313654780;26094;0,0;12020,0;12080,0;11960,0;12020,19;GRUPO ARGOS;EQTY
CNEC;14200,0;-0,28;288148080;20369;-40,0;14100,0;14200,0;14100,0;14146,4;CANACOL ENERGY LTD;EQTY
BHI;256,0;-1,54;261358421;1012470;-4,0;260,0;260,0;256,0;258,14;BAC HOLDING INTERNATIONAL CORP;EQTY
MINEROS;3275,0;1,24;247895965;75607;40,0;3235,0;3295,0;3235,0;3278,74;MINEROS;EQTY
PFCORFICOL;15180,0;1,88;226212580;14898;280,0;15000,0;15300,0;15000,0;15184,09;CORFICOLOMBIANA;EQTY
GRUPOSURA;40500,0;-2,88;211100560;5207;-1200,0;40560,0;40560,0;40500,0;40541,69;GRUPO SURA;EQTY
HCOLSEL;15120,0;1,14;153051960;10122;170,0;15120,0;15120,0;15120,0;15120,72;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
PEI;66680,0;0,73;147888640;2231;480,0;66440,0;66680,0;66020,0;66288,05;PEI;EQTY
PROMIGAS;7000,0;0,14;119267710;17127;10,0;6950,0;7000,0;6950,0;6963,72;PROMIGAS;EQTY
GRUBOLIVAR;66520,0;1,62;109668960;1674;1060,0;64080,0;66520,0;64080,0;65513,12;GRUPO BOLIVAR;EQTY
CONCONCRET;300,0;1,01;78645639;262297;3,0;298,0;300,0;298,0;299,83;CONCONCRETO S.A;EQTY
NUTRESA;35960,0;5,21;50338400;1404;1780,0;35960,0;35960,0;35960,0;35853,56;GRUPO NUTRESA;EQTY
ENKA;17,9;-0,56;45215367;2534921;-0,1;17,7;17,9;17,7;17,84;ENKA DE COLOMBIA;EQTY
BVC;-;-;37345620;3608;-;-;-;-;10350,78;BOLSA DE VALORES DE COLOMBIA;EQTY
ETB;-;-;25434213;256923;-;-;-;-;99,0;ETB;EQTY
GRUPOAVAL;-;-;18844236;40477;-;-;-;-;465,55;GRUPO AVAL ACCIONES Y VALORES;EQTY
FABRICATO;-;-;8184298,08;2585324;-;-;-;-;3,17;FABRICATO;EQTY
ELCONDOR;-;-;5992025;11635;-;-;-;-;515,0;EL CONDOR;EQTY
PFCEMARGOS;-;-;3574330;488;-;-;-;-;7324,45;CEMENTOS ARGOS;EQTY
PORT;-;-;2487450;309;-;-;-;-;8050,0;Sociedad Portafolio S.A.;EQTY
GXTESCOL;-;-;150000;3;-;-;-;-;50000,0;FONDO BURSATIL GLOBAL X TES COLOMBIA COP GBI-EM ID ETF;EQTY
