Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
ECOPETROL;2340,0;-1,06;17296157350;7357052;-25,0;2375,0;2380,0;2340,0;2350,96;ECOPETROL;EQTY
PFBCOLOM;31000,0;-1,77;9722445320;313380;-560,0;31400,0;31400,0;30920,0;31024,46;BANCO BANCOLOMBIA;EQTY
HCOLSEL;13335,0;0,62;9632537554,5;722189;82,0;13338,0;13338,0;13335,0;13337,97;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
ICOLCAP;12662,0;-0,14;9471566112;748029;-18,0;12662,0;12662,0;12662,0;12662,03;FONDO BURSATIL ISHARES COLCAP;EQTY
ISA;16300,0;-2,74;4469280400;269162;-460,0;16760,0;16760,0;16300,0;16604,43;ISA INTERCONEXION ELECTRICA;EQTY
CEMARGOS;6130,0;-4,22;2455437490;390836;-270,0;6400,0;6400,0;6130,0;6282,53;CEMENTOS ARGOS;EQTY
BCOLOMBIA;33040,0;-1,61;2015335820;60594;-540,0;33700,0;33700,0;33040,0;33259,66;BANCO BANCOLOMBIA;EQTY
PFAVAL;499,0;-0,4;1310149400;2616495;-2,0;507,0;507,0;497,0;500,73;GRUPO AVAL ACCIONES Y VALORES;EQTY
GRUPOARGOS;13200,0;-0,75;1222695780;92437;-100,0;13200,0;13400,0;13140,0;13227,34;GRUPO ARGOS;EQTY
PFGRUPSURA;16560,0;-1,78;1211332280;72339;-300,0;16840,0;17080,0;16560,0;16745,22;GRUPO SURA;EQTY
PFDAVVNDA;19760,0;-1,59;1123402000;55833;-320,0;20020,0;20500,0;19760,0;20120,75;BANCO DAVIVIENDA;EQTY
PORT;7000,0;2,94;925069040;135736;200,0;6800,0;7000,0;6800,0;6815,21;Sociedad Portafolio S.A.;EQTY
PFGRUPOARG;9670,0;-3,3;889249080;91809;-330,0;9710,0;9840,0;9100,0;9685,86;GRUPO ARGOS;EQTY
GRUPOSURA;32000,0;4,23;715827260;22969;1300,0;30700,0;32000,0;30700,0;31164,93;GRUPO SURA;EQTY
EXITO;2635,0;-3,48;601218375;226537;-95,0;2700,0;2700,0;2630,0;2653,95;EXITO;EQTY
CORFICOLCF;16000,0;-1,23;473905020;29149;-200,0;16640,0;16640,0;16000,0;16258,02;CORFICOLOMBIANA;EQTY
GEB;2185,0;-2,02;427317850;193793;-45,0;2245,0;2245,0;2185,0;2205,02;GRUPO ENERGIA BOGOTA;EQTY
ENKA;16,0;-;358283744;22392734;0,0;16,0;16,0;16,0;16,0;ENKA DE COLOMBIA;EQTY
PFCEMARGOS;5350,0;-3,78;355200170;65061;-210,0;5530,0;5530,0;5350,0;5459,49;CEMENTOS ARGOS;EQTY
BHI;251,0;-1,95;302902084;1202546;-5,0;254,0;254,0;250,0;251,88;BAC HOLDING INTERNATIONAL CORP;EQTY
CELSIA;3250,0;0,0;297535115;91690;0,0;3250,0;3250,0;3230,0;3245,01;CELSIA;EQTY
CNEC;17440,0;-0,34;264032080;15055;-60,0;17600,0;17600,0;17440,0;17537,83;CANACOL ENERGY LTD;EQTY
BOGOTA;32760,0;3,15;203144840;6343;1000,0;31980,0;32760,0;31980,0;32026,62;BANCO DE BOGOTA;EQTY
PEI;70000,0;-0,03;174570400;2495;-20,0;70020,0;70020,0;69500,0;69968,1;PEI;EQTY
GRUBOLIVAR;62940,0;3,08;111576200;1777;1880,0;62500,0;62960,0;62500,0;62789,08;GRUPO BOLIVAR;EQTY
PROMIGAS;5120,0;1,99;106517010;20759;100,0;5100,0;5190,0;5100,0;5131,12;PROMIGAS;EQTY
CONCONCRET;312,0;1,63;97264166;311654;5,0;312,0;312,0;312,0;312,09;CONCONCRETO S.A;EQTY
PFCORFICOL;12900,0;-0,77;81366580;6286;-100,0;12900,0;12900,0;12900,0;12944,09;CORFICOLOMBIANA;EQTY
TERPEL;7800,0;-0,51;50856700;6489;-40,0;7800,0;7800,0;7800,0;7837,37;ORGANIZACION TERPEL;EQTY
NUTRESA;-;-;40711880;870;-;-;-;-;46795,26;GRUPO NUTRESA;EQTY
MINEROS;-;-;16257350;8547;-;-;-;-;1902,11;MINEROS;EQTY
ETB;-;-;7786446;80118;-;-;-;-;97,19;ETB;EQTY
FABRICATO;-;-;4448000;1112000;-;-;-;-;4,0;FABRICATO;EQTY
BVC;-;-;1388920;138;-;-;-;-;10064,64;BOLSA DE VALORES DE COLOMBIA;EQTY
GRUPOAVAL;-;-;1376272;2741;-;-;-;-;502,11;GRUPO AVAL ACCIONES Y VALORES;EQTY
VILLAS;-;-;54120;22;-;-;-;-;2460,0;BANCO AV VILLAS;EQTY
