Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
PFBCOLOM;34200,0;-0,52;15803626910;461552;-180,00;34300,0;34740,0;34030,0;34240,19;BANCO BANCOLOMBIA;EQTY
PFAVAL;1113,0;-0,18;14209813452;12763528;-2,00;1115,0;1120,0;1108,0;1113,31;GRUPO AVAL ACCIONES Y VALORES;EQTY
ECOPETROL;2905,0;0,48;12081409511;4163245;14,00;2916,0;2938,0;2880,0;2901,92;ECOPETROL;EQTY
GEB;2650,0;0,00;5381463446;2019938;0,00;2665,0;2667,0;2650,0;2664,17;GRUPO ENERGIA BOGOTA;EQTY
CEMARGOS;6325,0;-0,16;4583186235;724664;-10,00;6400,0;6400,0;6300,0;6324,57;CEMENTOS ARGOS;EQTY
PFGRUPSURA;27880,0;0,98;4543552330;164054;270,00;27500,0;27890,0;27500,0;27695,47;GRUPO SURA;EQTY
ICOLCAP;15365,0;-0,15;3623630355;235977;-22,50;15429,0;15429,0;15325,5;15355,86;FONDO BURSATIL ISHARES COLCAP;EQTY
CNEC;10000,0;0,91;3541014700;354311;90,00;9955,0;10050,0;9900,0;9994,09;CANACOL ENERGY LTD;EQTY
PFDAVVNDA;32310,0;-0,28;3463805690;107069;-90,00;32020,0;32600,0;32020,0;32351,15;BANCO DAVIVIENDA;EQTY
BCOLOMBIA;39100,0;0,26;2952294980;75387;100,00;39500,0;39500,0;38900,0;39161,86;BANCO BANCOLOMBIA;EQTY
GRUPOARGOS;15640,0;0,32;2746275160;176103;50,00;15700,0;15830,0;15410,0;15594,71;GRUPO ARGOS;EQTY
HCOLSEL;14279,5;0,72;2367388317,5;165043;102,00;14284,5;15284,0;14279,5;14344,07;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
CORFICOLCF;29800,0;-0,67;2132722330;71187;-200,00;30000,0;30000,0;29800,0;29959,44;CORFICOLOMBIANA;EQTY
ISA;23640,0;-0,71;1797748110;75783;-170,00;23980,0;23980,0;23640,0;23722,31;ISA INTERCONEXION ELECTRICA;EQTY
PROMIGAS;7500,0;-1,32;1522894340;200985;-100,00;7550,0;7640,0;7460,0;7577,15;PROMIGAS;EQTY
CELSIA;4322,0;-1,01;914308738;209877;-44,00;4469,0;4469,0;4322,0;4356,4;CELSIA;EQTY
CONCONCRET;315,0;0,00;653423262,7;2083834;0,00;318,0;320,0;307,1;313,57;CONCONCRETO S.A;EQTY
OCCIDENTE;28200,0;-1,05;633294000;22224;-300,00;28500,0;28500,0;28200,0;28495,95;BANCO DE OCCIDENTE;EQTY
TERPEL;11200,0;0,90;294095490;26434;100,00;11150,0;11200,0;11000,0;11125,65;ORGANIZACION TERPEL;EQTY
MINEROS;3790,0;0,40;247279438;65503;15,00;3750,0;3790,0;3750,0;3775,09;MINEROS;EQTY
PFCORFICOL;24680,0;0,12;246428510;10086;30,00;24430,0;24750,0;24000,0;24432,73;CORFICOLOMBIANA;EQTY
PFGRUPOARG;11810,0;-1,17;173735300;14563;-140,00;12150,0;12150,0;11810,0;11929,91;GRUPO ARGOS;EQTY
BVC;11000,0;0,36;162089340;14756;40,00;10980,0;11000,0;10900,0;10984,64;BOLSA DE VALORES DE COLOMBIA;EQTY
PFCEMARGOS;4620,0;-1,32;154568513;33148;-62,00;4690,0;4700,0;4620,0;4662,98;CEMENTOS ARGOS;EQTY
BOGOTA;75500,0;0,63;148437140;1968;470,00;75100,0;75500,0;75100,0;75425,38;BANCO DE BOGOTA;EQTY
FABRICATO;9,16;-2,45;98093483,56;10571341;-0,23;9,3;9,3;9,16;9,28;FABRICATO;EQTY
ETB;189,9;1,55;55463581,5;293862;2,90;186,0;189,9;186,0;188,74;ETB;EQTY
EXITO;11720,0;-0,68;51521560;4375;-80,00;11950,0;11950,0;11720,0;11776,36;EXITO;EQTY
CLH;3250,0;1,56;27687080;8452;50,00;3290,0;3290,0;3250,0;3275,8;CEMEX LATAM HOLDINGS;EQTY
GRUBOLIVAR;0,0;0,00;19348600;220;0,00;0,0;0,0;0,0;87948,18;GRUPO BOLIVAR;EQTY
ENKA;27,24;0,15;17864114,88;658712;0,04;27,24;27,24;27,24;27,12;ENKA DE COLOMBIA;EQTY
GRUPOAVAL;0,0;0,00;13509456;12146;0,00;0,0;0,0;0,0;1112,26;GRUPO AVAL ACCIONES Y VALORES;EQTY
ELCONDOR;825,1;-1,77;8550487,6;10350;-14,90;825,1;825,1;825,1;826,13;EL CONDOR;EQTY
PAZRIO;0,0;0,00;1050000;150000;0,00;0,0;0,0;0,0;7,0;ACER. PAZ DEL RIO;EQTY
