Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
ECOPETROL;2240,0;-0,44;26656712153;11886847;-10,0;2236,0;2284,0;2200,0;2242,54;ECOPETROL;EQTY
PFBCOLOM;31100,0;-2,26;9103721080;289962;-720,0;31800,0;31950,0;31100,0;31396,26;BANCO BANCOLOMBIA;EQTY
ISA;19200,0;3,23;5610246870;294381;600,0;18960,0;19200,0;18900,0;19057,78;ISA INTERCONEXION ELECTRICA;EQTY
BCOLOMBIA;39200,0;-2,39;5196298220;131715;-960,0;40440,0;40440,0;39200,0;39451,07;BANCO BANCOLOMBIA;EQTY
PEI;35140,0;0,0;1194749110;34023;0,0;35000,0;35140,0;35000,0;35115,92;PEI;EQTY
CEMARGOS;3667,0;-2,08;1145035568;314018;-78,0;3670,0;3737,0;3621,0;3646,4;CEMENTOS ARGOS;EQTY
PFAVAL;548,0;1,48;1059563247,6;1935371;8,0;545,0;560,0;540,0;547,47;GRUPO AVAL ACCIONES Y VALORES;EQTY
GRUPOARGOS;9750,0;-1,12;924769930;94300;-110,0;9900,0;9900,0;9700,0;9806,68;GRUPO ARGOS;EQTY
CNEC;7000,0;0,57;646687195;92329;40,0;7000,0;7030,0;6970,0;7004,16;CANACOL ENERGY LTD;EQTY
BHI;287,5;0,88;596583590,1;2076613;2,5;288,2;288,2;286,2;287,29;BAC HOLDING INTERNATIONAL CORP;EQTY
PFDAVVNDA;26020,0;0,0;400192860;15339;0,0;26020,0;26490,0;26020,0;26089,89;BANCO DAVIVIENDA;EQTY
NUTRESA;46460,0;1,89;398121530;8694;860,0;45900,0;46460,0;44290,0;45792,68;GRUPO NUTRESA;EQTY
GRUPOSURA;40780,0;0,0;291602710;7180;0,0;40000,0;40780,0;40000,0;40613,19;GRUPO SURA;EQTY
GEB;1810,0;-1,58;225778107;124013;-29,0;1849,0;1850,0;1810,0;1820,6;GRUPO ENERGIA BOGOTA;EQTY
ICOLCAP;12336,0;0,66;190719349;15466;81,0;12330,0;12336,0;12330,0;12331,52;FONDO BURSATIL ISHARES COLCAP;EQTY
CELSIA;2801,0;-1,82;189714705;66550;-52,0;2850,0;2870,0;2801,0;2850,71;CELSIA;EQTY
PFGRUPSURA;12700,0;-0,78;139443640;10983;-100,0;12520,0;12800,0;12520,0;12696,32;GRUPO SURA;EQTY
CORFICOLCF;15910,0;0,7;139018780;8758;110,0;15890,0;15910,0;15890,0;15873,35;CORFICOLOMBIANA;EQTY
MINEROS;1838,0;2,11;133450748;72625;38,0;1838,0;1838,0;1838,0;1837,53;MINEROS;EQTY
CLH;5775,0;1,76;85134190;14788;100,0;5670,0;5775,0;5670,0;5756,98;CEMEX LATAM HOLDINGS;EQTY
SDGEB;1719,0;1,06;67660179;39543;18,0;1701,0;1720,0;1701,0;1711,05;GRUPO ENERGIA BOGOTA;EQTY
PFGRUPOARG;5805,0;-3,25;66733325;11376;-195,0;5910,0;5910,0;5805,0;5866,15;GRUPO ARGOS;EQTY
CONCONCRET;235,0;-2,08;66512802;280497;-5,0;235,0;235,0;235,0;237,12;CONCONCRETO S.A;EQTY
TERPEL;7750,0;-0,39;55678080;7124;-30,0;7750,0;7750,0;7750,0;7815,56;ORGANIZACION TERPEL;EQTY
ENKA;30,0;0,0;51856314,2;1823137;0,0;28,1;30,0;28,1;28,44;ENKA DE COLOMBIA;EQTY
BOGOTA;34000,0;0,29;40076950;1188;100,0;34000,0;34000,0;34000,0;33734,81;BANCO DE BOGOTA;EQTY
GRUPOAVAL;532,9;-1,33;33891467,8;63978;-7,2;530,0;532,9;530,0;529,74;GRUPO AVAL ACCIONES Y VALORES;EQTY
EXITO;3545,0;1,29;28377700;8171;45,0;3545,0;3545,0;3545,0;3472,98;EXITO;EQTY
ELCONDOR;1400,0;-9,68;24738200;17668;-150,0;1400,0;1400,0;1400,0;1400,17;EL CONDOR;EQTY
GRUBOLIVAR;62100,0;2,56;23411160;381;1550,0;62100,0;62100,0;62100,0;61446,61;GRUPO BOLIVAR;EQTY
BVC;7735,0;-0,32;19321120;2501;-25,0;7735,0;7735,0;7735,0;7725,36;BOLSA DE VALORES DE COLOMBIA;EQTY
PFCORFICOL;12540,0;1,13;15377930;1210;140,0;12540,0;12540,0;12540,0;12709,03;CORFICOLOMBIANA;EQTY
PROMIGAS;-;-;4746376;1003;-;-;-;-;4732,18;PROMIGAS;EQTY
ETB;-;-;4403140;36925;-;-;-;-;119,25;ETB;EQTY
PFBBVACOL;-;-;2803500;9345;-;-;-;-;300,0;BBVA COLOMBIA;EQTY
VILLAS;-;-;1348080;411;-;-;-;-;3280,0;BANCO AV VILLAS;EQTY
PAZRIO;-;-;1106000;140000;-;-;-;-;7,9;ACER. PAZ DEL RIO;EQTY
FABRICATO;-;-;1048500;150000;-;-;-;-;6,99;FABRICATO;EQTY
BBVACOL;-;-;590800;1688;-;-;-;-;350,0;BBVA COLOMBIA;EQTY
PFCEMARGOS;-;-;417279;155;-;-;-;-;2692,12;CEMENTOS ARGOS;EQTY
HCOLSEL;-;-;59072,5;5;-;-;-;-;11814,5;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
