Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
ECOPETROL;2685,0;-2,01;9522908560;3520665;-55,0;2714,0;2759,0;2674,0;2704,86;ECOPETROL;EQTY
PFBCOLOM;31400,0;-0,25;8282232280;262592;-80,0;31630,0;31750,0;31400,0;31540,31;BANCO BANCOLOMBIA;EQTY
BCOLOMBIA;38680,0;2,06;6003020950;155386;780,0;37900,0;38950,0;37900,0;38632,96;BANCO BANCOLOMBIA;EQTY
GRUPOARGOS;9700,0;-0,1;5586392220;576893;-10,0;9700,0;9730,0;9625,0;9683,58;GRUPO ARGOS;EQTY
ISA;18280,0;0,16;4555550380;244753;30,0;18430,0;18900,0;18280,0;18612,85;ISA INTERCONEXION ELECTRICA;EQTY
ICOLCAP;12400,0;1,39;2242411464;180785;170,0;12397,0;12407,0;12397,0;12403,75;FONDO BURSATIL ISHARES COLCAP;EQTY
NUTRESA;56700,0;7,39;1745555640;31585;3900,0;53000,0;56700,0;50750,0;55265,34;GRUPO NUTRESA;EQTY
GRUPOSURA;33000,0;-7,3;1454979470;43472;-2600,0;33510,0;34990,0;33000,0;33469,35;GRUPO SURA;EQTY
CORFICOLCF;11330,0;-1,39;1361908110;119437;-160,0;11750,0;11750,0;11330,0;11402,73;CORFICOLOMBIANA;EQTY
PFAVAL;570,0;-1,72;959375360;1692401;-10,0;580,0;580,0;558,0;566,87;GRUPO AVAL ACCIONES Y VALORES;EQTY
PFGRUPSURA;11810,0;-0,08;902225030;76071;-10,0;11980,0;11980,0;11760,0;11860,3;GRUPO SURA;EQTY
PEI;25000,0;-1,19;727066080;28833;-300,0;25500,0;25500,0;24880,0;25216,46;PEI;EQTY
GEB;1575,0;0,77;511440405;326382;12,0;1563,0;1575,0;1563,0;1567,0;GRUPO ENERGIA BOGOTA;EQTY
CELSIA;2680,0;-0,3;510627270;189079;-8,0;2692,0;2712,0;2675,0;2700,6;CELSIA;EQTY
BHI;224,0;4,33;497040273,6;2219264;9,3;223,9;227,5;223,0;223,97;BAC HOLDING INTERNATIONAL CORP;EQTY
CEMARGOS;2895,0;-1,53;474595230;163197;-45,0;2930,0;2930,0;2870,0;2908,11;CEMENTOS ARGOS;EQTY
PFDAVVNDA;24490,0;-1,92;474285580;19347;-480,0;24970,0;24970,0;24380,0;24514,68;BANCO DAVIVIENDA;EQTY
PFGRUPOARG;6175,0;2,75;286520470;47141;165,0;6020,0;6175,0;6010,0;6077,95;GRUPO ARGOS;EQTY
BOGOTA;25700,0;0,0;264551060;10295;0,0;25700,0;25700,0;25690,0;25697,04;BANCO DE BOGOTA;EQTY
CNEC;39470,0;-0,2;166709980;4238;-80,0;39470,0;39470,0;39270,0;39336,95;CANACOL ENERGY LTD;EQTY
PFCEMARGOS;2300,0;0,0;136678574;59209;0,0;2310,0;2349,0;2300,0;2308,41;CEMENTOS ARGOS;EQTY
GRUBOLIVAR;58000,0;0,02;121141300;2094;10,0;58000,0;58000,0;58000,0;57851,62;GRUPO BOLIVAR;EQTY
TERPEL;8490,0;3,28;93531230;11005;270,0;8490,0;8490,0;8490,0;8498,98;ORGANIZACION TERPEL;EQTY
HCOLSEL;11495,0;0,01;59155811,5;5124;1,5;11595,0;11595,0;11495,0;11544,85;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
PFCORFICOL;10800,0;1,98;47467030;4398;210,0;10700,0;10800,0;10700,0;10792,87;CORFICOLOMBIANA;EQTY
ETB;111,1;-6,64;47321464,6;433507;-7,9;107,1;111,1;107,1;109,16;ETB;EQTY
CONCONCRET;187,0;10,0;31064253;166119;17,0;187,0;187,0;187,0;187,0;CONCONCRETO S.A;EQTY
PROMIGAS;4100,0;-2,84;27817230;6646;-120,0;4100,0;4100,0;4100,0;4185,56;PROMIGAS;EQTY
MINEROS;-;-;20128213;9674;-;-;-;-;2080,65;MINEROS;EQTY
ENKA;21,5;1,9;13245158,71;612072;0,4;21,5;21,5;21,5;21,64;ENKA DE COLOMBIA;EQTY
EXITO;-;-;12583945;3158;-;-;-;-;3984,78;EXITO;EQTY
BBVACOL;-;-;12129000;40430;-;-;-;-;300,0;BBVA COLOMBIA;EQTY
GRUPOAVAL;-;-;9480470;17502;-;-;-;-;541,68;GRUPO AVAL ACCIONES Y VALORES;EQTY
OCCIDENTE;15000,0;-;7530000;502;0,0;15000,0;15000,0;15000,0;15000,0;BANCO DE OCCIDENTE;EQTY
FABRICATO;-;-;5811513;1001985;-;-;-;-;5,8;FABRICATO;EQTY
BVC;-;-;4881925;658;-;-;-;-;7419,34;BOLSA DE VALORES DE COLOMBIA;EQTY
CLH;-;-;347066;92;-;-;-;-;3772,46;CEMEX LATAM HOLDINGS;EQTY
