Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
PFBCOLOM;28600,0;-0,35;8473559380;295534;-100,0;28840,0;29020,0;28520,0;28672,03;BANCO BANCOLOMBIA;EQTY
ICOLCAP;11860,0;-0,04;7904745343;665560;-5,0;11880,0;11880,5;11860,0;11876,83;FONDO BURSATIL ISHARES COLCAP;EQTY
ECOPETROL;2340,0;-1,06;5238934100;2216390;-25,0;2400,0;2400,0;2340,0;2363,72;ECOPETROL;EQTY
GRUPOARGOS;12320,0;0,98;4095298760;333420;120,0;12200,0;12400,0;12100,0;12282,7;GRUPO ARGOS;EQTY
EXITO;3495,0;-0,43;3753128915;1072432;-15,0;3500,0;3500,0;3495,0;3499,64;EXITO;EQTY
CEMARGOS;6250,0;1,13;3700825650;589276;70,0;6250,0;6410,0;6180,0;6280,29;CEMENTOS ARGOS;EQTY
BCOLOMBIA;32500,0;2,2;2552669620;79504;700,0;31780,0;32500,0;31780,0;32107,44;BANCO BANCOLOMBIA;EQTY
ISA;15160,0;0,0;1916509620;126705;0,0;15280,0;15300,0;15000,0;15125,76;ISA INTERCONEXION ELECTRICA;EQTY
PFGRUPSURA;13400,0;3,72;1527787120;115551;480,0;13000,0;13400,0;13000,0;13221,76;GRUPO SURA;EQTY
NUTRESA;46980,0;7,26;1112351560;25229;3180,0;43920,0;46980,0;43920,0;44090,2;GRUPO NUTRESA;EQTY
GEB;1800,0;0,0;925138485;516670;0,0;1820,0;1840,0;1770,0;1790,58;GRUPO ENERGIA BOGOTA;EQTY
CELSIA;2720,0;-0,55;733909395;270199;-15,0;2740,0;2745,0;2680,0;2716,18;CELSIA;EQTY
PFDAVVNDA;16980,0;1,19;727550280;43342;200,0;16520,0;17000,0;16500,0;16786,26;BANCO DAVIVIENDA;EQTY
PFGRUPOARG;8240,0;1,73;660566610;80558;140,0;8200,0;8240,0;8150,0;8199,89;GRUPO ARGOS;EQTY
PFAVAL;437,0;-5,0;369802175;838138;-23,0;442,0;443,0;437,0;441,22;GRUPO AVAL ACCIONES Y VALORES;EQTY
CORFICOLCF;11980,0;0,0;364552340;30484;0,0;11980,0;11980,0;11900,0;11958,81;CORFICOLOMBIANA;EQTY
PFCEMARGOS;4445,0;0,34;221737265;50358;15,0;4445,0;4450,0;4360,0;4403,22;CEMENTOS ARGOS;EQTY
CNEC;18940,0;-1,04;150577420;7914;-200,0;19140,0;19140,0;18940,0;19026,71;CANACOL ENERGY LTD;EQTY
GRUBOLIVAR;59000,0;-1,54;134367840;2319;-920,0;57060,0;59000,0;57040,0;57942,15;GRUPO BOLIVAR;EQTY
BHI;209,0;0,97;108644763;520709;2,0;209,0;209,0;209,0;208,65;BAC HOLDING INTERNATIONAL CORP;EQTY
PEI;61940,0;-0,19;95060320;1533;-120,0;62060,0;62060,0;61940,0;62009,34;PEI;EQTY
TERPEL;7190,0;2,57;85695090;11991;180,0;7130,0;7190,0;7130,0;7146,62;ORGANIZACION TERPEL;EQTY
PFCORFICOL;10460,0;-0,38;82407340;7848;-40,0;10500,0;10500,0;10460,0;10500,43;CORFICOLOMBIANA;EQTY
MINEROS;1730,0;0,29;71473875;41269;5,0;1730,0;1730,0;1730,0;1731,9;MINEROS;EQTY
GRUPOAVAL;466,0;1,75;55333770;118817;8,0;466,0;466,0;466,0;465,71;GRUPO AVAL ACCIONES Y VALORES;EQTY
GRUPOSURA;29220,0;-1,22;53287700;1818;-360,0;29220,0;29220,0;29220,0;29311,17;GRUPO SURA;EQTY
CONCONCRET;231,0;-1,7;43759889;186846;-4,0;240,0;240,0;231,0;234,2;CONCONCRETO S.A;EQTY
BOGOTA;-;-;14511660;584;-;-;-;-;24848,73;BANCO DE BOGOTA;EQTY
PROMIGAS;-;-;10166045;2386;-;-;-;-;4260,71;PROMIGAS;EQTY
ENKA;-;-;5196536,3;289721;-;-;-;-;17,94;ENKA DE COLOMBIA;EQTY
COLTEJER;-;-;4987800;5542;-;-;-;-;900,0;COLTEJER;EQTY
ETB;-;-;2732923,5;39047;-;-;-;-;69,99;ETB;EQTY
GRUPOIMSA;-;-;670800;20;-;-;-;-;33540,0;GRUPO IMSA S.A.;EQTY
BVC;-;-;230000;20;-;-;-;-;11500,0;BOLSA DE VALORES DE COLOMBIA;EQTY
HCOLSEL;-;-;23800;2;-;-;-;-;11900,0;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
