Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / Nombre
PFBCOLOM;26200,0;0.76;27879334380,0;1052088,0;-200,0;26400,0;26760,0;26000,0;26499,05;BANCO BANCOLOMBIA
ECOPETROL;3490,0;0.71;26255799325,0;7489736,0;-25,0;3515,0;3540,0;3485,0;3505,57;ECOPETROL
BCOLOMBIA;25260,0;0.71;21643764920,0;844475,0;-180,0;25400,0;25800,0;25260,0;25629,85;BANCO BANCOLOMBIA
PREC;35700,0;0.51;19906774100,0;561472,0;180,0;35500,0;35700,0;35200,0;35454,62;PACIFIC EXPLOR AND PROD CORP
PFAVH;3705,0;0.14;16939512305,0;4566329,0;5,0;3730,0;3745,0;3665,0;3709,66;AVIANCA HOLDINGS S.A.
PFAVAL;1310,0;0.76;8047470910,0;6109275,0;-10,0;1310,0;1325,0;1310,0;1317,25;GRUPO AVAL ACCIONES Y VALORES
GRUPOSURA;38180,0;0.53;7820455960,0;204943,0;200,0;38000,0;38240,0;38000,0;38159,18;GRUPO SURA
GRUPOARGOS;21880,0;1.48;7433857540,0;344083,0;320,0;21760,0;21880,0;21420,0;21604,84;GRUPO ARGOS
CEMARGOS;10960,0;0.18;6901921120,0;626312,0;20,0;11080,0;11100,0;10960,0;11019,94;CEMENTOS ARGOS
PFDAVVNDA;28300,0;0.07;6410211060,0;227556,0;20,0;28160,0;28300,0;28120,0;28169,82;BANCO DAVIVIENDA
EXITO;31000,0;1.51;5355546520,0;174010,0;460,0;30440,0;31020,0;30000,0;30777,23;EXITO
PFCEMARGOS;10600,0;0.57;4680934380,0;435946,0;60,0;10540,0;10800,0;10540,0;10737,42;CEMENTOS ARGOS
PFGRUPSURA;38360,0;0.63;4139700200,0;107928,0;240,0;38180,0;38460,0;38180,0;38356,13;GRUPO SURA
PFGRUPOARG;21800,0;1.4;3869128960,0;179307,0;300,0;21700,0;21800,0;21500,0;21578,24;GRUPO ARGOS
ISA;9360,0;0.95;3189213390,0;337022,0;-90,0;9450,0;9530,0;9360,0;9462,92;ISA INTERCONEXION ELECTRICA
CELSIA;5910,0;1.17;2913479260,0;489999,0;-70,0;5970,0;5970,0;5910,0;5945,89;CELSIA
CORFICOLCF;37760,0;0.37;2886205220,0;76370,0;-140,0;37700,0;37800,0;37700,0;37792,4;CORFICOLOMBIANA
BVC;20,5;0.0;2705418599,5;131971639,0;0,0;20,5;20,5;20,5;20,5;BOLSA DE VALORES DE COLOMBIA
ISAGEN;2875,0;2.04;2583343095,0;892302,0;-60,0;2950,0;2960,0;2870,0;2895,14;ISAGEN
NUTRESA;27460,0;0.51;1987236080,0;72133,0;-140,0;27580,0;27600,0;27400,0;27549,61;GRUPO NUTRESA
ELCONDOR;1375,0;4.96;1793989005,0;1312000,0;65,0;1310,0;1375,0;1300,0;1367,37;EL CONDOR
ICOLCAP;16750,0;0.14;1541372969,0;91888,0;24,0;16740,0;16800,0;16740,0;16774,48;FONDO BURSATIL ISHARES COLCAP
CNEC;13300,0;0.6;1516478480,0;113183,0;-80,0;13240,0;13600,0;13220,0;13398,47;CANACOL ENERGY LTD
CLH;17120,0;1.3;1118931620,0;65584,0;220,0;16800,0;17120,0;16800,0;17061,05;CEMEX LATAM HOLDINGS
PFCORFICOL;33960,0;0.12;658344000,0;19400,0;-40,0;33900,0;33960,0;33900,0;33935,26;CORFICOLOMBIANA
BOGOTA;68720,0;1.09;631796200,0;9192,0;-760,0;69000,0;69000,0;68700,0;68733,27;BANCO DE BOGOTA
EEB;1560,0;0.65;523413690,0;337470,0;10,0;1550,0;1560,0;1550,0;1550,99;GRUPO ENERGIA BOGOTA
MINEROS;2780,0;0.71;475036485,0;170593,0;-20,0;2795,0;2800,0;2780,0;2784,62;MINEROS
ENKA;10,1;0.98;224529015,0;21999050,0;-0,1;10,3;10,3;10,1;10,21;ENKA DE COLOMBIA
SOCBOLIVAR;39700,0;0.0;158800000,0;4000,0;0,0;39700,0;39700,0;39700,0;39700,0;GRUPO BOLIVAR
ETB;434,0;1.36;129856118,0;301055,0;-6,0;430,0;434,0;430,0;431,34;ETB
PROMIGAS;4800,0;0.0;48000000,0;10000,0;0,0;4800,0;4800,0;4800,0;4800,0;PROMIGAS
OCCIDENTE;40000,0;0.0;30640000,0;766,0;0,0;40000,0;40000,0;40000,0;40000,0;BANCO DE OCCIDENTE
VALOREM;310,0;1.31;24324300,0;78530,0;4,0;310,0;310,0;310,0;309,75;VALOREM S.A.
CONCONCRET;1410,0;1.4;22657760,0;16036,0;-20,0;1410,0;1410,0;1410,0;1412,93;CONCONCRETO S.A
GRUPOAVAL;0,0;0.0;10904165,0;8380,0;0,0;0,0;0,0;0,0;1301,21;GRUPO AVAL ACCIONES Y VALORES
BIOMAX;0,0;28.66;5000000,0;4000,0;378,67;0,0;0,0;0,0;1250,0;BIOMAX BIOCOMBUSTIBLES S.A.
CARTON;0,0;0.0;4500000,0;1000,0;0,0;0,0;0,0;0,0;4500,0;CARTON COLOMBIA
FABRICATO;0,0;0.0;4235500,0;287000,0;0,0;0,0;0,0;0,0;14,76;FABRICATO
COLTEJER;0,0;0.0;2410000,0;1205,0;0,0;0,0;0,0;0,0;2000,0;COLTEJER
BMC;0,0;0.0;1946169,0;2141,0;0,0;0,0;0,0;0,0;909,0;BMC BOLSA MERCANTIL DE COL
BBVACOL;0,0;0.0;788696,0;2536,0;0,0;0,0;0,0;0,0;311,0;BBVA COLOMBIA
SDCORFIC;0,0;0.0;434640,0;12,0;0,0;0,0;0,0;0,0;36220,0;CORFICOLOMBIANA
