Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
PFBCOLOM;27830,0;-0,93;9586820460;343493;-260,0;28110,0;28110,0;27800,0;27909,8;BANCO BANCOLOMBIA;EQTY
ISA;17600,0;-1,12;3558746500;201962;-200,0;17800,0;17800,0;17500,0;17620,87;ISA INTERCONEXION ELECTRICA;EQTY
ECOPETROL;2079,0;-0,38;3394024614;1632876;-8,0;2100,0;2100,0;2065,0;2078,56;ECOPETROL;EQTY
CORFICOLCF;13460,0;3,3;3057823000;230003;430,0;13260,0;13480,0;13200,0;13294,71;CORFICOLOMBIANA;EQTY
BCOLOMBIA;34370,0;-0,66;1870755720;54391;-230,0;34650,0;34650,0;34370,0;34394,58;BANCO BANCOLOMBIA;EQTY
GRUPOARGOS;9170,0;5,4;1711206515;190231;470,0;8750,0;9170,0;8750,0;8995,41;GRUPO ARGOS;EQTY
BHI;230,0;0,0;1428687195,8;6460621;0,0;228,0;230,0;220,0;221,14;BAC HOLDING INTERNATIONAL CORP;EQTY
ICOLCAP;11741,0;-0,29;1280441298,5;109057;-34,0;11741,0;11741,0;11741,0;11741,03;FONDO BURSATIL ISHARES COLCAP;EQTY
PFGRUPOARG;5500,0;3,68;1133837470;210543;195,0;5390,0;5500,0;5380,0;5385,3;GRUPO ARGOS;EQTY
GEB;1749,0;1,04;567134064;326441;18,0;1720,0;1749,0;1710,0;1737,32;GRUPO ENERGIA BOGOTA;EQTY
PEI;33890,0;2,32;478704100;14454;770,0;33060,0;33890,0;33000,0;33119,14;PEI;EQTY
CNEC;35180,0;1,03;456037250;13111;360,0;35000,0;35180,0;34600,0;34782,8;CANACOL ENERGY LTD;EQTY
PFGRUPSURA;11400,0;-0,09;412455280;35907;-10,0;11500,0;11500,0;11400,0;11486,77;GRUPO SURA;EQTY
BOGOTA;36120,0;1,01;375435200;10453;360,0;35760,0;36120,0;35760,0;35916,5;BANCO DE BOGOTA;EQTY
PFAVAL;566,8;1,2;282766268,4;507405;6,7;561,0;568,2;550,0;557,28;GRUPO AVAL ACCIONES Y VALORES;EQTY
CEMARGOS;3060,0;0,33;212502058;69408;10,0;3065,0;3074,0;3060,0;3061,64;CEMENTOS ARGOS;EQTY
CONCONCRET;250,0;-2,65;139880540,8;557228;-6,8;250,0;250,0;250,0;251,03;CONCONCRETO S.A;EQTY
NUTRESA;62180,0;-0,51;112561520;1824;-320,0;61500,0;62180,0;61500,0;61711,36;GRUPO NUTRESA;EQTY
PFDAVVNDA;19870,0;0,35;98288850;4935;70,0;19950,0;19950,0;19870,0;19916,69;BANCO DAVIVIENDA;EQTY
PFCEMARGOS;2226,0;-0,62;47467299;21301;-14,0;2227,0;2227,0;2226,0;2228,41;CEMENTOS ARGOS;EQTY
GRUPOAVAL;515,0;-8,04;32620135;63011;-45,0;515,0;515,0;515,0;517,69;GRUPO AVAL ACCIONES Y VALORES;EQTY
GRUBOLIVAR;64010,0;-;23939740;374;0,0;64010,0;64010,0;64010,0;64010,0;GRUPO BOLIVAR;EQTY
PROMIGAS;4150,0;0,48;21993322;5292;20,0;4150,0;4150,0;4150,0;4155,96;PROMIGAS;EQTY
BVC;10250,0;-;21414650;2093;0,0;10250,0;10250,0;10250,0;10231,56;BOLSA DE VALORES DE COLOMBIA;EQTY
FABRICATO;5,0;-0,4;19349500;3869900;-0,02;5,0;5,0;5,0;5,0;FABRICATO;EQTY
GRUPOSURA;45500,0;2,02;11116140;245;900,0;45500,0;45500,0;45500,0;45372,0;GRUPO SURA;EQTY
CELSIA;-;-;6202826;2261;-;-;-;-;2743,4;CELSIA;EQTY
TERPEL;-;-;5545570;780;-;-;-;-;7109,71;ORGANIZACION TERPEL;EQTY
PFCORFICOL;-;-;3887500;332;-;-;-;-;11709,34;CORFICOLOMBIANA;EQTY
OCCIDENTE;-;-;2028000;150;-;-;-;-;13520,0;BANCO DE OCCIDENTE;EQTY
MINEROS;-;-;856527;398;-;-;-;-;2152,08;MINEROS;EQTY
ETB;-;-;181672,8;1724;-;-;-;-;105,38;ETB;EQTY
HCOLSEL;-;-;169845;15;-;-;-;-;11323,0;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
ENKA;-;-;169619,85;7775;-;-;-;-;21,82;ENKA DE COLOMBIA;EQTY
EXITO;-;-;86632;22;-;-;-;-;3937,82;EXITO;EQTY
