Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
PFBCOLOM;25900,0;-4,99;22096850340;842266;-1360,0;27000,0;27000,0;25900,0;26235,0;BANCO BANCOLOMBIA;EQTY
ECOPETROL;2416,0;1,94;8526709472;3513747;46,0;2400,0;2443,0;2400,0;2426,67;ECOPETROL;EQTY
ISA;14010,0;-9,03;6013286920;409157;-1390,0;15120,0;15390,0;14010,0;14696,77;ISA INTERCONEXION ELECTRICA;EQTY
BCOLOMBIA;27240,0;-4,42;1820410950;65835;-1260,0;28600,0;28600,0;27240,0;27651,11;BANCO BANCOLOMBIA;EQTY
GRUPOARGOS;7750,0;-0,39;1410366485;180583;-30,0;7800,0;7880,0;7750,0;7810,07;GRUPO ARGOS;EQTY
PEI;43990,0;1,36;1349726810;30895;590,0;43450,0;44000,0;43100,0;43687,55;PEI;EQTY
ICOLCAP;10700,0;-0,23;1157297269,5;108089;-25,0;10715,0;10720,0;10670,0;10706,89;FONDO BURSATIL ISHARES COLCAP;EQTY
EXITO;2800,0;-6,48;1107132016;387546;-194,0;2910,0;2910,0;2800,0;2856,78;EXITO;EQTY
GRUPOSURA;30980,0;-1,34;681144980;21829;-420,0;28300,0;31500,0;28300,0;31203,67;GRUPO SURA;EQTY
CEMARGOS;3003,0;-0,27;664787238;220487;-8,0;3000,0;3033,0;3000,0;3015,09;CEMENTOS ARGOS;EQTY
GEB;1617,0;-0,86;364807800;224864;-14,0;1635,0;1635,0;1615,0;1622,35;GRUPO ENERGIA BOGOTA;EQTY
CELSIA;2370,0;1,63;250950517;104813;38,0;2360,0;2445,0;2360,0;2394,27;CELSIA;EQTY
PFDAVVNDA;17800,0;-2,36;206061050;11482;-430,0;18200,0;18200,0;17800,0;17946,44;BANCO DAVIVIENDA;EQTY
CORFICOLCF;11500,0;-1,71;188603350;16381;-200,0;11500,0;11560,0;11500,0;11513,54;CORFICOLOMBIANA;EQTY
PFGRUPOARG;5325,0;-3,18;156504145;28947;-175,0;5500,0;5500,0;5325,0;5406,58;GRUPO ARGOS;EQTY
BOGOTA;25710,0;-4,1;152666610;5896;-1100,0;26780,0;26780,0;25710,0;25893,25;BANCO DE BOGOTA;EQTY
NUTRESA;51430,0;-0,04;148164410;2895;-20,0;49640,0;51450,0;49640,0;51179,42;GRUPO NUTRESA;EQTY
PFGRUPSURA;11600,0;-2,52;134960980;11459;-300,0;11900,0;11900,0;11600,0;11777,73;GRUPO SURA;EQTY
BHI;212,8;-0,33;57234046;267690;-0,7;214,0;214,0;212,8;213,81;BAC HOLDING INTERNATIONAL CORP;EQTY
PFAVAL;-;-;53415490,5;114228;-;-;-;-;467,62;GRUPO AVAL ACCIONES Y VALORES;EQTY
GRUBOLIVAR;57090,0;-3,38;52106070;912;-2000,0;57090,0;57090,0;57090,0;57133,85;GRUPO BOLIVAR;EQTY
PROMIGAS;4300,0;-4,42;49180398;11203;-199,0;4409,0;4449,0;4300,0;4389,93;PROMIGAS;EQTY
PFCEMARGOS;-;-;34227310;17233;-;-;-;-;1986,15;CEMENTOS ARGOS;EQTY
PFCORFICOL;10800,0;-3,14;28944550;2763;-350,0;10140,0;10800,0;10140,0;10475,77;CORFICOLOMBIANA;EQTY
MINEROS;1848,0;-1,23;28176993;15691;-23,0;1770,0;1848,0;1770,0;1795,74;MINEROS;EQTY
CONCONCRET;211,0;-6,22;23135221;107893;-14,0;211,0;211,0;211,0;214,43;CONCONCRETO S.A;EQTY
TERPEL;6900,0;-;15978170;2307;0,0;6900,0;6900,0;6900,0;6925,95;ORGANIZACION TERPEL;EQTY
CNEC;34090,0;-0,03;13160950;385;-10,0;34090,0;34090,0;34090,0;34184,29;CANACOL ENERGY LTD;EQTY
HCOLSEL;-;-;3824158;365;-;-;-;-;10477,15;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
GRUPOAVAL;-;-;1546646,8;3424;-;-;-;-;451,71;GRUPO AVAL ACCIONES Y VALORES;EQTY
BBVACOL;-;-;1079600;4000;-;-;-;-;269,9;BBVA COLOMBIA;EQTY
VILLAS;-;-;1028657;343;-;-;-;-;2999,0;BANCO AV VILLAS;EQTY
ETB;-;-;231040;2888;-;-;-;-;80,0;ETB;EQTY
BVC;-;-;159320;18;-;-;-;-;8851,11;BOLSA DE VALORES DE COLOMBIA;EQTY
