Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
BCOLOMBIA;32900,0;3,39;23125943370;721794;1080,0;31700,0;32900,0;31660,0;32039,53;BANCO BANCOLOMBIA;EQTY
ECOPETROL;2513,0;0,96;19286574246;7651789;24,0;2485,0;2539,0;2485,0;2520,53;ECOPETROL;EQTY
PFBCOLOM;27310,0;-1,34;6429365850;233912;-370,0;27750,0;28050,0;27260,0;27486,26;BANCO BANCOLOMBIA;EQTY
PEI;48460,0;0,96;5421938170;112479;460,0;48290,0;48460,0;48040,0;48204,0;PEI;EQTY
ICOLCAP;11103,0;0,75;3473706262;312603;83,0;11125,0;11150,0;11103,0;11112,2;FONDO BURSATIL ISHARES COLCAP;EQTY
PFDAVVNDA;16400,0;-1,8;2989561210;180193;-300,0;16830,0;16830,0;16400,0;16590,88;BANCO DAVIVIENDA;EQTY
GRUPOARGOS;8600,0;0,35;2984180980;342877;30,0;8680,0;8760,0;8560,0;8703,36;GRUPO ARGOS;EQTY
PFAVAL;500,2;-1,92;2929891640,4;5806646;-9,8;500,1;505,8;500,0;504,58;GRUPO AVAL ACCIONES Y VALORES;EQTY
PFGRUPSURA;11000,0;0,55;2836481840;258705;60,0;10940,0;11050,0;10940,0;10964,16;GRUPO SURA;EQTY
ISA;15230,0;0,2;2255990960;148699;30,0;15000,0;15300,0;15000,0;15171,53;ISA INTERCONEXION ELECTRICA;EQTY
EXITO;2788,0;-0,78;1326850231;479430;-22,0;2796,0;2796,0;2750,0;2767,56;EXITO;EQTY
CEMARGOS;3910,0;0,28;695461683;177721;11,0;3899,0;3945,0;3899,0;3913,22;CEMENTOS ARGOS;EQTY
GRUPOSURA;30000,0;-0,99;500939390;16745;-300,0;29500,0;30000,0;29500,0;29915,76;GRUPO SURA;EQTY
CORFICOLCF;13120,0;2,9;325614710;24900;370,0;13280,0;13480,0;12510,0;13076,9;CORFICOLOMBIANA;EQTY
CELSIA;2355,0;-0,63;280373983;117554;-15,0;2369,0;2399,0;2355,0;2385,07;CELSIA;EQTY
GEB;1620,0;-0,61;214043235;130826;-10,0;1649,0;1649,0;1620,0;1636,09;GRUPO ENERGIA BOGOTA;EQTY
BOGOTA;25000,0;1,01;107515890;4263;250,0;25490,0;25490,0;25000,0;25220,71;BANCO DE BOGOTA;EQTY
PFGRUPOARG;5750,0;4,55;104321460;18150;250,0;5835,0;5835,0;5735,0;5747,74;GRUPO ARGOS;EQTY
CNEC;33040,0;1,91;59556190;1803;620,0;33040,0;33040,0;33040,0;33031,72;CANACOL ENERGY LTD;EQTY
PROMIGAS;4090,0;-0,99;52650680;12860;-41,0;4100,0;4100,0;4090,0;4094,14;PROMIGAS;EQTY
PFCEMARGOS;2531,0;1,24;46792431;18477;31,0;2531,0;2531,0;2531,0;2532,47;CEMENTOS ARGOS;EQTY
TERPEL;6660,0;0,83;28069650;4217;55,0;6660,0;6660,0;6660,0;6656,31;ORGANIZACION TERPEL;EQTY
NUTRESA;48200,0;0,21;25349210;524;100,0;48200,0;48200,0;48200,0;48376,35;GRUPO NUTRESA;EQTY
CONCONCRET;230,0;-0,86;22232426;96153;-2,0;230,0;230,0;230,0;231,22;CONCONCRETO S.A;EQTY
MINEROS;1830,0;-3,63;21330462;11756;-69,0;1800,0;1830,0;1800,0;1814,43;MINEROS;EQTY
GRUBOLIVAR;-;-;2754750;55;-;-;-;-;50086,36;GRUPO BOLIVAR;EQTY
BHI;-;-;2398814,2;11813;-;-;-;-;203,07;BAC HOLDING INTERNATIONAL CORP;EQTY
HCOLSEL;-;-;511680;48;-;-;-;-;10660,0;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
GRUPOAVAL;-;-;509190,5;1097;-;-;-;-;464,17;GRUPO AVAL ACCIONES Y VALORES;EQTY
BVC;-;-;215520;25;-;-;-;-;8620,8;BOLSA DE VALORES DE COLOMBIA;EQTY
PFCORFICOL;-;-;132000;12;-;-;-;-;11000,0;CORFICOLOMBIANA;EQTY
ETB;-;-;14880;186;-;-;-;-;80,0;ETB;EQTY
