Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
CEMARGOS;2980,0;1,12;14136829485;4743855;33,0;2950,0;3000,0;2950,0;2980,03;CEMENTOS ARGOS;EQTY
PFBCOLOM;28620,0;1,85;11086339710;387705;520,0;28300,0;28820,0;28300,0;28594,78;BANCO BANCOLOMBIA;EQTY
ECOPETROL;2421,0;1,64;7421479482;3071543;39,0;2403,0;2432,0;2387,0;2416,21;ECOPETROL;EQTY
ICOLCAP;11527,0;2,46;6771601356,5;588008;276,5;11462,5;11527,0;11462,5;11516,17;FONDO BURSATIL ISHARES COLCAP;EQTY
PFAVAL;550,0;1,29;4609863579;8381789;7,0;547,0;555,0;547,0;549,99;GRUPO AVAL ACCIONES Y VALORES;EQTY
ISA;15500,0;4,73;3918767930;257571;700,0;14990,0;15500,0;14990,0;15214,32;ISA INTERCONEXION ELECTRICA;EQTY
GEB;1566,0;4,75;2777199982;1848562;71,0;1496,0;1566,0;1495,0;1502,36;GRUPO ENERGIA BOGOTA;EQTY
BCOLOMBIA;33700,0;2,74;1189832350;35311;900,0;33870,0;33870,0;33520,0;33695,8;BANCO BANCOLOMBIA;EQTY
CORFICOLCF;11310,0;-0,96;1123410330;99116;-110,0;11440,0;11440,0;11260,0;11334,3;CORFICOLOMBIANA;EQTY
GRUPOARGOS;8900,0;5,95;1089128700;124012;500,0;8500,0;9200,0;8400,0;8782,45;GRUPO ARGOS;EQTY
GRUPOSURA;40000,0;3,12;1069106020;26835;1210,0;39990,0;40000,0;39100,0;39839,99;GRUPO SURA;EQTY
PFGRUPSURA;11170,0;3,43;684724770;62599;370,0;10890,0;11170,0;10870,0;10938,27;GRUPO SURA;EQTY
PEI;22250,0;1,14;501765350;22736;250,0;22000,0;22290,0;22000,0;22069,2;PEI;EQTY
CELSIA;2859,0;0,32;399173676;140681;9,0;2840,0;2865,0;2811,0;2837,44;CELSIA;EQTY
PFDAVVNDA;24100,0;0,84;331320600;13805;200,0;23880,0;24200,0;23880,0;24000,04;BANCO DAVIVIENDA;EQTY
NUTRESA;50000,0;2,46;322538000;6457;1200,0;49870,0;50500,0;49500,0;49951,68;GRUPO NUTRESA;EQTY
PFGRUPOARG;5795,0;2,66;167246895;29792;150,0;5625,0;5795,0;5625,0;5613,82;GRUPO ARGOS;EQTY
CNEC;39160,0;-0,86;132082280;3377;-340,0;39100,0;39200,0;39000,0;39112,31;CANACOL ENERGY LTD;EQTY
MINEROS;2002,0;0,1;120301812;59356;2,0;2000,0;2002,0;2000,0;2026,78;MINEROS;EQTY
BOGOTA;32420,0;2,21;114702230;3672;700,0;30530,0;32420,0;30530,0;31236,99;BANCO DE BOGOTA;EQTY
TERPEL;7680,0;0,46;104305765;13634;35,0;7640,0;7680,0;7640,0;7650,42;ORGANIZACION TERPEL;EQTY
PFCEMARGOS;2350,0;0,64;80332635;34371;15,0;2325,0;2350,0;2325,0;2337,22;CEMENTOS ARGOS;EQTY
GRUBOLIVAR;61000,0;0,03;78718430;1293;20,0;60980,0;61000,0;60980,0;60880,46;GRUPO BOLIVAR;EQTY
BHI;215,5;-0,23;77092724;357145;-0,5;216,0;216,0;215,5;215,86;BAC HOLDING INTERNATIONAL CORP;EQTY
CONCONCRET;190,8;-0,1;76358107;397698;-0,2;190,0;199,9;190,0;192,0;CONCONCRETO S.A;EQTY
ETB;114,0;-1,72;58261520,3;512348;-2,0;114,0;114,0;114,0;113,71;ETB;EQTY
PROMIGAS;4200,0;-;46890901;11178;0,0;4200,0;4200,0;4200,0;4194,93;PROMIGAS;EQTY
GRUPOAVAL;525,0;2,94;42270900;82363;15,0;510,0;525,0;510,0;513,23;GRUPO AVAL ACCIONES Y VALORES;EQTY
CLH;4179,0;9,97;32086529;7980;379,0;4179,0;4179,0;4179,0;4020,87;CEMEX LATAM HOLDINGS;EQTY
PFCORFICOL;-;-;25320140;2461;-;-;-;-;10288,56;CORFICOLOMBIANA;EQTY
BBVACOL;267,1;-7,9;22623749,4;81989;-22,9;267,1;267,1;267,1;275,94;BBVA COLOMBIA;EQTY
BVC;-;-;21262935;2155;-;-;-;-;9866,79;BOLSA DE VALORES DE COLOMBIA;EQTY
FABRICATO;-;-;8892000;1560000;-;-;-;-;5,7;FABRICATO;EQTY
ENKA;-;-;4912206,15;212099;-;-;-;-;23,16;ENKA DE COLOMBIA;EQTY
EXITO;-;-;4834223;1250;-;-;-;-;3867,38;EXITO;EQTY
HCOLSEL;-;-;302482;28;-;-;-;-;10802,93;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
