Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / Nombre
ECOPETROL;1325,0;0.0;21167407190,0;15889850,0;0,0;1330,0;1345,0;1320,0;1332,13;ECOPETROL
NUTRESA;25800,0;0.77;19427560140,0;750980,0;-200,0;25360,0;25900,0;25360,0;25869,61;GRUPO NUTRESA
CEMARGOS;11400,0;0.35;14399853800,0;1265810,0;-40,0;11440,0;11480,0;11300,0;11376,0;CEMENTOS ARGOS
BCOLOMBIA;30680,0;3.16;13927249500,0;451718,0;-1000,0;31380,0;31380,0;30400,0;30831,73;BANCO BANCOLOMBIA
GRUPOSURA;38780,0;0.41;13319432140,0;343441,0;160,0;38620,0;38900,0;38580,0;38782,3;GRUPO SURA
PFBCOLOM;33000,0;3.73;12305565680,0;367435,0;-1280,0;33260,0;34280,0;32780,0;33490,46;BANCO BANCOLOMBIA
GRUPOARGOS;21000,0;0.29;7005297260,0;337386,0;60,0;20820,0;21000,0;20520,0;20763,45;GRUPO ARGOS
CORFICOLCF;26700,0;0.38;4595478200,0;173467,0;100,0;26600,0;26980,0;26240,0;26491,94;CORFICOLOMBIANA
ISA;13400,0;1.47;4022095780,0;300362,0;-200,0;13440,0;13560,0;13280,0;13390,83;ISA INTERCONEXION ELECTRICA
PFAVAL;1220,0;0.41;3976114560,0;3265492,0;-5,0;1215,0;1225,0;1210,0;1217,62;GRUPO AVAL ACCIONES Y VALORES
PFGRUPSURA;37860,0;0.42;3856743860,0;101681,0;-160,0;37860,0;38160,0;37840,0;37929,84;GRUPO SURA
PFDAVVNDA;32440,0;1.4;3704399720,0;114143,0;-460,0;32620,0;32680,0;32420,0;32454,02;BANCO DAVIVIENDA
EXITO;15400,0;0.79;3267907640,0;213783,0;120,0;15280,0;15400,0;15240,0;15286,1;EXITO
PFGRUPOARG;19880,0;1.33;3039951600,0;155461,0;260,0;19600,0;19880,0;19500,0;19554,43;GRUPO ARGOS
EEB;1970,0;0.76;1286973310,0;650398,0;-15,0;1980,0;1980,0;1970,0;1978,75;GRUPO ENERGIA BOGOTA
BVC;25,2;0.0;1120163436,0;44450930,0;0,0;25,2;25,2;25,2;25,2;BOLSA DE VALORES DE COLOMBIA
PROMIGAS;5200,0;0.0;1040000000,0;200000,0;0,0;5200,0;5200,0;5200,0;5200,0;PROMIGAS
CNEC;9340,0;0.64;1031105730,0;110916,0;-60,0;9390,0;9390,0;9100,0;9296,28;CANACOL ENERGY LTD
CLH;11600,0;0.0;609726620,0;52303,0;0,0;11680,0;11760,0;11580,0;11657,58;CEMEX LATAM HOLDINGS
BOGOTA;63300,0;1.28;563821600,0;8970,0;800,0;62520,0;63300,0;62500,0;62856,37;BANCO DE BOGOTA
GRUBOLIVAR;53000,0;0.0;531000000,0;10000,0;0,0;53500,0;53500,0;53000,0;53100,0;GRUPO BOLIVAR
BBVACOL;265,0;0.0;513646055,0;1938287,0;0,0;265,0;265,0;265,0;265,0;BBVA COLOMBIA
ETB;605,0;0.82;464048716,0;761243,0;-5,0;610,0;610,0;605,0;609,59;ETB
PFCEMARGOS;10260,0;3.21;450023700,0;43599,0;-340,0;10500,0;10500,0;10100,0;10321,88;CEMENTOS ARGOS
PFAVH;2500,0;0.6;393017650,0;156492,0;-15,0;2480,0;2520,0;2480,0;2511,42;AVIANCA HOLDINGS S.A.
MINEROS;2685,0;0.56;312274980,0;117576,0;-15,0;2645,0;2685,0;2625,0;2655,94;MINEROS
ICOLCAP;14505,0;1.43;215436547,5;14827,0;-210,0;14641,5;14641,5;14505,0;14530,02;FONDO BURSATIL ISHARES COLCAP
CONCONCRET;967,0;0.1;99536406,0;102960,0;-1,0;967,0;967,0;966,0;966,75;CONCONCRETO S.A
CELSIA;4570,0;0.66;76080390,0;16745,0;30,0;4540,0;4570,0;4505,0;4543,47;CELSIA
GRUPOAVAL;1215,0;0.0;52949700,0;43580,0;0,0;1215,0;1215,0;1215,0;1215,0;GRUPO AVAL ACCIONES Y VALORES
OCCIDENTE;36100,0;6.23;25250000,0;669,0;-2400,0;39000,0;39000,0;36100,0;37742,9;BANCO DE OCCIDENTE
VALOREM;0,0;0.0;986816,0;2566,0;0,0;0,0;0,0;0,0;384,57;VALOREM S.A.
VILLAS;0,0;0.0;448800,0;80,0;0,0;0,0;0,0;0,0;5610,0;BANCO AV VILLAS
COLTEJER;0,0;0.0;2700,0;2,0;0,0;0,0;0,0;0,0;1350,0;COLTEJER
