Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
ECOPETROL;3035,0;-1,14;24411761645;7984092;-35,00;3065,0;3080,0;3030,0;3057,55;ECOPETROL;EQTY
PFBCOLOM;41440,0;0,83;20781768440;501296;340,00;41180,0;41600,0;41180,0;41456,08;BANCO BANCOLOMBIA;EQTY
ISA;19700,0;-1,30;18378206240;932195;-260,00;20000,0;20000,0;19640,0;19714,98;ISA INTERCONEXION ELECTRICA;EQTY
PROMIGAS;6810,0;-2,71;16502489130;2423273;-190,00;6810,0;6810,0;6810,0;6810,0;PROMIGAS;EQTY
EXITO;17000,0;1,19;14961676080;885748;200,00;16620,0;17140,0;16620,0;16891,57;EXITO;EQTY
BCOLOMBIA;39400,0;0,00;12994380180;329929;0,00;39000,0;39460,0;39000,0;39385,38;BANCO BANCOLOMBIA;EQTY
GRUPOSURA;35140,0;-0,62;9946115060;282920;-220,00;35200,0;35380,0;35040,0;35155,22;GRUPO SURA;EQTY
PFAVAL;1300,0;0,78;5609057110;4327324;10,00;1280,0;1300,0;1280,0;1296,2;GRUPO AVAL ACCIONES Y VALORES;EQTY
CEMARGOS;7860,0;0,90;4938343460;630049;70,00;7820,0;7890,0;7810,0;7838,03;CEMENTOS ARGOS;EQTY
CORFICOLCF;26700,0;0,83;3829806220;143673;220,00;26480,0;26700,0;26480,0;26656,41;CORFICOLOMBIANA;EQTY
PFAVH;1720,0;1,18;3751468955;2181730;20,00;1670,0;1735,0;1670,0;1719,49;AVIANCA HOLDINGS S.A.;EQTY
GRUPOARGOS;17640,0;0,00;2764740100;156642;0,00;17640,0;17760,0;17640,0;17650,06;GRUPO ARGOS;EQTY
PFGRUPSURA;33420,0;0,18;2433601080;72853;60,00;33120,0;33420,0;33100,0;33404,27;GRUPO SURA;EQTY
PFDAVVNDA;42000,0;1,45;2114133620;50688;600,00;41400,0;42000,0;41400,0;41708,76;BANCO DAVIVIENDA;EQTY
PFGRUPOARG;14900,0;0,00;1370567700;93127;0,00;14700,0;14900,0;14700,0;14717,19;GRUPO ARGOS;EQTY
ICOLCAP;16294,0;-0,09;1163554766;71409;-15,00;16333,0;16333,0;16294,0;16294,23;FONDO BURSATIL ISHARES COLCAP;EQTY
PFCEMARGOS;6880,0;1,18;1068170700;156437;80,00;6550,0;6880,0;6550,0;6828,12;CEMENTOS ARGOS;EQTY
OCCIDENTE;37960,0;2,59;931790000;24560;960,00;37000,0;38000,0;37000,0;37939,33;BANCO DE OCCIDENTE;EQTY
GEB;2120,0;0,71;930988600;439963;15,00;2100,0;2120,0;2100,0;2116,06;GRUPO ENERGIA BOGOTA;EQTY
GRUBOLIVAR;62000,0;3,33;612403000;10200;2000,00;60020,0;62000,0;60000,0;60039,51;GRUPO BOLIVAR;EQTY
NUTRESA;25620,0;-0,62;593505840;23106;-160,00;25700,0;25960,0;25620,0;25686,22;GRUPO NUTRESA;EQTY
CONCONCRET;553,0;1,47;342571205;620236;8,00;553,0;555,0;550,0;552,32;CONCONCRETO S.A;EQTY
BOGOTA;70800,0;0,00;317184000;4480;0,00;70800,0;70800,0;70800,0;70800,0;BANCO DE BOGOTA;EQTY
ESTRA;118,0;-15,11;290620902;2462889;-21,00;118,0;118,0;118,0;118,0;INDUSTRIAS ESTRA;EQTY
CNEC;10960,0;-0,72;283398700;25681;-80,00;11040,0;11060,0;10960,0;11035,35;CANACOL ENERGY LTD;EQTY
CELSIA;4560,0;0,00;228972010;50372;0,00;4500,0;4560,0;4490,0;4545,62;CELSIA;EQTY
CLH;4535,0;1,00;191448025;42524;45,00;4490,0;4535,0;4460,0;4502,12;CEMEX LATAM HOLDINGS;EQTY
MINEROS;3125,0;2,80;138303800;44800;85,00;3095,0;3125,0;3060,0;3087,14;MINEROS;EQTY
ETB;245,0;-2,00;77612049;316606;-5,00;246,0;246,0;244,0;245,14;ETB;EQTY
HCOLSEL;14813,0;0,37;74065000;5000;55,00;14813,0;14813,0;14813,0;14813,0;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
GRUPOAVAL;1285,0;-1,15;28005970;21762;-15,00;1285,0;1285,0;1285,0;1286,92;GRUPO AVAL ACCIONES Y VALORES;EQTY
ELCONDOR;1290,0;0,00;21905490;16981;0,00;1290,0;1290,0;1290,0;1290,0;EL CONDOR;EQTY
BBVACOL;316,0;1,94;13042268;41273;6,00;316,0;316,0;316,0;316,0;BBVA COLOMBIA;EQTY
BVC;0,0;0,00;3159040;256;0,00;0,0;0,0;0,0;12340,0;BOLSA DE VALORES DE COLOMBIA;EQTY
