Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
PFBCOLOM;45200,0;-0,22;21211672260;469708;-100,00;45500,0;45500,0;44880,0;45159,27;BANCO BANCOLOMBIA;EQTY
PFGRUPSURA;28080,0;-2,36;17196416900;610595;-680,00;28760,0;28760,0;27800,0;28163,38;GRUPO SURA;EQTY
GRUPOSURA;32200,0;-1,53;12724373700;395199;-500,00;32640,0;32700,0;31940,0;32197,38;GRUPO SURA;EQTY
ECOPETROL;3275,0;-1,80;12717363890;3888307;-60,00;3330,0;3330,0;3240,0;3270,67;ECOPETROL;EQTY
PFAVAL;1425,0;0,00;8487163800;5990176;0,00;1425,0;1425,0;1410,0;1416,85;GRUPO AVAL ACCIONES Y VALORES;EQTY
PFDAVVNDA;44000,0;1,06;7104712360;162305;460,00;44000,0;44100,0;43620,0;43773,84;BANCO DAVIVIENDA;EQTY
BCOLOMBIA;43300,0;0,79;5277236140;122669;340,00;42960,0;43300,0;42500,0;43020,13;BANCO BANCOLOMBIA;EQTY
ISA;18760,0;-0,21;4779764100;256309;-40,00;18800,0;18800,0;18320,0;18648,44;ISA INTERCONEXION ELECTRICA;EQTY
CEMARGOS;6800,0;0,44;3638869740;540325;30,00;6750,0;6800,0;6660,0;6734,59;CEMENTOS ARGOS;EQTY
GRUPOARGOS;18020,0;-0,22;3554935780;197582;-40,00;18060,0;18100,0;17720,0;17992,2;GRUPO ARGOS;EQTY
NUTRESA;25000,0;-0,08;3149529120;125984;-20,00;25040,0;25080,0;24900,0;24999,44;GRUPO NUTRESA;EQTY
ICOLCAP;16370,0;-0,93;3112325084;190504;-154,00;16390,0;16390,0;16309,0;16337,32;FONDO BURSATIL ISHARES COLCAP;EQTY
GEB;2185,0;0,00;2491277165;1141716;0,00;2185,0;2185,0;2175,0;2182,05;GRUPO ENERGIA BOGOTA;EQTY
CORFICOLCF;30000,0;0,00;1373138060;45925;0,00;29860,0;30000,0;29820,0;29899,58;CORFICOLOMBIANA;EQTY
PFAVH;1845,0;-0,27;524772050;279802;-5,00;1835,0;1910,0;1835,0;1875,51;AVIANCA HOLDINGS S.A.;EQTY
CNEC;11720,0;1,21;455657260;39045;140,00;11720,0;11740,0;11620,0;11670,05;CANACOL ENERGY LTD;EQTY
EXITO;14000,0;-0,99;427134080;30496;-140,00;14000,0;14000,0;14000,0;14006,23;EXITO;EQTY
GRUPOAVAL;1405,0;0,00;325095925;231385;0,00;1405,0;1405,0;1405,0;1405,0;GRUPO AVAL ACCIONES Y VALORES;EQTY
ETB;248,0;-0,80;324401091;1306922;-2,00;247,0;253,0;247,0;248,22;ETB;EQTY
MINEROS;3190,0;0,00;285262140;89399;0,00;3190,0;3200,0;3190,0;3190,89;MINEROS;EQTY
PFGRUPOARG;12740,0;-0,78;201111100;15728;-100,00;12800,0;12800,0;12740,0;12786,82;GRUPO ARGOS;EQTY
BVC;11920,0;3,47;190392140;15895;400,00;12060,0;12060,0;11920,0;11978,12;BOLSA DE VALORES DE COLOMBIA;EQTY
CELSIA;4425,0;-0,11;169462025;38434;-5,00;4420,0;4425,0;4400,0;4409,17;CELSIA;EQTY
BOGOTA;87000,0;0,02;152941000;1759;20,00;86900,0;87000,0;86900,0;86947,7;BANCO DE BOGOTA;EQTY
CLH;4400,0;1,85;145093945;32994;80,00;4410,0;4410,0;4400,0;4397,59;CEMEX LATAM HOLDINGS;EQTY
PFCEMARGOS;5200,0;-0,95;126828820;24367;-50,00;5200,0;5290,0;5200,0;5204,94;CEMENTOS ARGOS;EQTY
TERPEL;10000,0;0,50;47737000;4782;50,00;9950,0;10000,0;9950,0;9982,64;ORGANIZACION TERPEL;EQTY
ELCONDOR;1230,0;0,00;39075480;32075;0,00;1225,0;1230,0;1225,0;1218,25;EL CONDOR;EQTY
PFCORFICOL;24000,0;-2,12;23218000;970;-520,00;24000,0;24000,0;24000,0;23936,08;CORFICOLOMBIANA;EQTY
CONCONCRET;456,0;2,24;7042296;15476;10,00;456,0;456,0;456,0;455,05;CONCONCRETO S.A;EQTY
BBVACOL;0,0;0,00;5403095;14803;0,00;0,0;0,0;0,0;365,0;BBVA COLOMBIA;EQTY
