Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
PFBCOLOM;40780,0;0,74;16384997700;402867;300,00;40640,0;40840,0;40600,0;40670,98;BANCO BANCOLOMBIA;EQTY
BCOLOMBIA;38500,0;-0,57;15592612580;404649;-220,00;38600,0;38700,0;38500,0;38533,67;BANCO BANCOLOMBIA;EQTY
ISA;18260,0;-5,68;13997131360;746589;-1100,00;19360,0;19620,0;18200,0;18748,11;ISA INTERCONEXION ELECTRICA;EQTY
ECOPETROL;2985,0;0,00;10828444085;3607123;0,00;3020,0;3030,0;2985,0;3001,96;ECOPETROL;EQTY
EXITO;14520,0;0,55;8159973220;562468;80,00;14440,0;14520,0;14380,0;14507,44;EXITO;EQTY
ICOLCAP;15772,0;-0,39;5894321710;372359;-61,00;15851,0;15851,0;15772,0;15829,67;FONDO BURSATIL ISHARES COLCAP;EQTY
GRUPOSURA;34360,0;0,00;4827183960;140683;0,00;34180,0;34460,0;34120,0;34312,49;GRUPO SURA;EQTY
CEMARGOS;7400,0;-2,12;3130042200;420080;-160,00;7520,0;7530,0;7320,0;7451,06;CEMENTOS ARGOS;EQTY
PFAVAL;1270,0;0,00;2245762655;1765060;0,00;1265,0;1280,0;1265,0;1272,34;GRUPO AVAL ACCIONES Y VALORES;EQTY
GRUPOARGOS;17160,0;-1,94;2090515240;120766;-340,00;17260,0;17600,0;17140,0;17310,46;GRUPO ARGOS;EQTY
PFDAVVNDA;39820,0;0,40;2066701900;51994;160,00;39660,0;40000,0;39540,0;39748,85;BANCO DAVIVIENDA;EQTY
CLH;4500,0;0,00;1865782115;414471;0,00;4500,0;4600,0;4470,0;4501,6;CEMEX LATAM HOLDINGS;EQTY
MINEROS;2610,0;-2,97;1415765250;541950;-80,00;2650,0;2650,0;2610,0;2612,35;MINEROS;EQTY
GEB;2130,0;0,24;1195216215;562397;5,00;2120,0;2130,0;2120,0;2125,22;GRUPO ENERGIA BOGOTA;EQTY
NUTRESA;25060,0;-0,56;1058626140;42106;-140,00;25360,0;25360,0;25060,0;25141,93;GRUPO NUTRESA;EQTY
PFAVH;1550,0;3,68;468320985;308029;55,00;1495,0;1550,0;1490,0;1520,38;AVIANCA HOLDINGS S.A.;EQTY
PFGRUPSURA;32000,0;-0,50;384071360;11969;-160,00;32160,0;32160,0;32000,0;32088,84;GRUPO SURA;EQTY
CELSIA;4275,0;0,47;346113940;80938;20,00;4255,0;4300,0;4255,0;4276,28;CELSIA;EQTY
CORFICOLCF;24900,0;-0,24;296152380;11926;-60,00;24300,0;25040,0;24300,0;24832,5;CORFICOLOMBIANA;EQTY
PFCEMARGOS;6350,0;-0,63;189484100;29858;-40,00;6300,0;6390,0;6300,0;6346,18;CEMENTOS ARGOS;EQTY
PFGRUPOARG;14320,0;0,28;182996520;12805;40,00;13980,0;14360,0;13980,0;14291,02;GRUPO ARGOS;EQTY
CNEC;10700,0;0,19;175997520;16483;20,00;10640,0;10700,0;10600,0;10677,52;CANACOL ENERGY LTD;EQTY
CONCONCRET;500,0;3,09;155706567;314803;15,00;489,0;500,0;489,0;494,62;CONCONCRETO S.A;EQTY
HCOLSEL;14305,0;-0,48;143050000;10000;-69,00;14305,0;14305,0;14305,0;14305,0;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
PROMIGAS;6000,0;0,00;135484000;22391;0,00;6100,0;6100,0;6000,0;6050,82;PROMIGAS;EQTY
ETB;259,0;3,60;101464346;399881;9,00;251,0;259,0;250,0;253,74;ETB;EQTY
BOGOTA;68480,0;2,06;83384880;1218;1380,00;68480,0;68480,0;68480,0;68460,49;BANCO DE BOGOTA;EQTY
GRUBOLIVAR;52700,0;-0,49;62974300;1190;-260,00;52960,0;52960,0;52700,0;52919,58;GRUPO BOLIVAR;EQTY
GRUPOAVAL;1260,0;0,00;47437950;37695;0,00;1260,0;1260,0;1260,0;1258,47;GRUPO AVAL ACCIONES Y VALORES;EQTY
OCCIDENTE;36000,0;0,56;39780000;1105;200,00;36000,0;36000,0;36000,0;36000,0;BANCO DE OCCIDENTE;EQTY
ELCONDOR;1260,0;-0,40;30871465;24838;-5,00;1235,0;1260,0;1235,0;1242,91;EL CONDOR;EQTY
BVC;12400,0;-0,48;27033200;2177;-60,00;12400,0;12400,0;12400,0;12417,64;BOLSA DE VALORES DE COLOMBIA;EQTY
FABRICATO;6,0;0,00;11256846;1940232;0,00;6,0;6,0;6,0;5,8;FABRICATO;EQTY
