Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
PFAVAL;1420,0;0,71;24229784475;17127156;10,00;1410,0;1420,0;1410,0;1414,7;GRUPO AVAL ACCIONES Y VALORES;EQTY
ECOPETROL;3270,0;0,31;19736177795;6058568;10,00;3260,0;3275,0;3245,0;3257,56;ECOPETROL;EQTY
PFBCOLOM;43760,0;0,32;11537850340;264129;140,00;43480,0;43800,0;43440,0;43682,63;BANCO BANCOLOMBIA;EQTY
HCOLSEL;14886,0;-0,25;9522470000;640000;-37,00;14865,0;14886,0;14865,0;14878,86;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
PFGRUPSURA;28180,0;0,21;8199625400;292062;60,00;28120,0;28200,0;28020,0;28074,95;GRUPO SURA;EQTY
CEMARGOS;6500,0;2,36;7168179140;1115153;150,00;6350,0;6500,0;6350,0;6427,98;CEMENTOS ARGOS;EQTY
GRUPOSURA;32700,0;-0,24;4996876860;152983;-80,00;32800,0;32800,0;32560,0;32662,96;GRUPO SURA;EQTY
PFDAVVNDA;42500,0;-0,79;3569912220;83989;-340,00;42520,0;42900,0;42300,0;42504,52;BANCO DAVIVIENDA;EQTY
GEB;2185,0;0,23;3049677000;1397040;5,00;2185,0;2185,0;2175,0;2182,96;GRUPO ENERGIA BOGOTA;EQTY
ISA;18240,0;-2,15;2317538960;125393;-400,00;18600,0;18660,0;18240,0;18482,2;ISA INTERCONEXION ELECTRICA;EQTY
ICOLCAP;16259,0;0,51;1483794875;91410;82,50;16216,0;16259,0;16216,0;16232,3;FONDO BURSATIL ISHARES COLCAP;EQTY
PFAVH;1845,0;-2,89;1048788830;556123;-55,00;1900,0;1910,0;1835,0;1885,89;AVIANCA HOLDINGS S.A.;EQTY
BCOLOMBIA;41700,0;0,97;981927380;23614;400,00;41320,0;41700,0;41300,0;41582,42;BANCO BANCOLOMBIA;EQTY
GRUPOARGOS;17680,0;1,61;925282200;52287;280,00;17300,0;17800,0;17300,0;17696,22;GRUPO ARGOS;EQTY
NUTRESA;25340,0;-0,47;923651200;36404;-120,00;25460,0;25480,0;25200,0;25372,24;GRUPO NUTRESA;EQTY
CORFICOLCF;29440,0;0,41;464906000;15814;120,00;29320,0;29440,0;29240,0;29398,38;CORFICOLOMBIANA;EQTY
BOGOTA;85980,0;0,00;369950460;4302;0,00;86000,0;86000,0;85980,0;85994,99;BANCO DE BOGOTA;EQTY
CELSIA;4415,0;0,11;319879695;72445;5,00;4415,0;4420,0;4405,0;4415,48;CELSIA;EQTY
BVC;12440,0;0,32;294235020;23683;40,00;12400,0;12440,0;12400,0;12423,89;BOLSA DE VALORES DE COLOMBIA;EQTY
CNEC;11480,0;-1,88;244261160;21186;-220,00;11540,0;11560,0;11480,0;11529,37;CANACOL ENERGY LTD;EQTY
MINEROS;3120,0;-1,58;159060280;50875;-50,00;3145,0;3145,0;3115,0;3126,49;MINEROS;EQTY
CLH;4460,0;-0,78;143433930;32095;-35,00;4450,0;4495,0;4450,0;4469,04;CEMEX LATAM HOLDINGS;EQTY
EXITO;13580,0;4,30;137421980;10141;560,00;13100,0;13580,0;13100,0;13551,13;EXITO;EQTY
PFGRUPOARG;12920,0;-0,46;87096660;6733;-60,00;13000,0;13000,0;12900,0;12935,79;GRUPO ARGOS;EQTY
ETB;245,0;-2,00;76816212;308059;-5,00;250,0;250,0;245,0;249,36;ETB;EQTY
GRUBOLIVAR;71000,0;2,16;70872000;1000;1500,00;70000,0;71000,0;70000,0;70872,0;GRUPO BOLIVAR;EQTY
GRUPOAVAL;1410,0;1,81;61297560;43609;25,00;1405,0;1410,0;1405,0;1405,62;GRUPO AVAL ACCIONES Y VALORES;EQTY
PFCEMARGOS;5140,0;-1,15;58733740;11368;-60,00;5220,0;5220,0;5140,0;5166,59;CEMENTOS ARGOS;EQTY
VILLAS;5800,0;-5,23;39208000;6760;-320,00;5800,0;5800,0;5800,0;5800,0;BANCO AV VILLAS;EQTY
CONCONCRET;450,0;1,81;24757200;55016;8,00;450,0;450,0;450,0;450,0;CONCONCRETO S.A;EQTY
PROMIGAS;7960,0;3,24;21173600;2660;250,00;7960,0;7960,0;7960,0;7960,0;PROMIGAS;EQTY
ELCONDOR;0,0;0,00;13851150;11045;0,00;0,0;0,0;0,0;1254,07;EL CONDOR;EQTY
BBVACOL;366,0;-0,54;11709565;31997;-2,00;366,0;366,0;366,0;365,96;BBVA COLOMBIA;EQTY
