Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
ECOPETROL;2935,0;0,51;25509839565;8739212;15,00;2920,0;2935,0;2895,0;2919,01;ECOPETROL;EQTY
PFBCOLOM;34800,0;1,28;15678104000;451402;440,00;34420,0;34860,0;34420,0;34732,02;BANCO BANCOLOMBIA;EQTY
BCOLOMBIA;34200,0;2,58;9447691680;278291;860,00;33500,0;34200,0;33500,0;33948,97;BANCO BANCOLOMBIA;EQTY
GRUPOARGOS;18600,0;0,22;6262505420;338013;40,00;18540,0;18660,0;18420,0;18527,41;GRUPO ARGOS;EQTY
ICOLCAP;14720,0;0,14;6139873652;419414;20,00;14638,0;14720,0;14636,0;14639,17;FONDO BURSATIL ISHARES COLCAP;EQTY
GRUPOSURA;34620,0;0,41;4861854800;140645;140,00;34500,0;34660,0;34480,0;34568,27;GRUPO SURA;EQTY
NUTRESA;26520,0;-0,08;3481811520;130941;-20,00;26600,0;26680,0;26500,0;26590,69;GRUPO NUTRESA;EQTY
HCOLSEL;13470,0;0,19;3476950000;260000;26,00;13369,0;13470,0;13369,0;13372,88;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
PFAVAL;1080,0;0,93;3375604535;3146839;10,00;1070,0;1080,0;1060,0;1072,7;GRUPO AVAL ACCIONES Y VALORES;EQTY
CEMARGOS;8360,0;3,47;3326458590;404646;280,00;8080,0;8360,0;8040,0;8220,66;CEMENTOS ARGOS;EQTY
ISA;13920,0;0,00;3238417880;233218;0,00;13940,0;13940,0;13800,0;13885,8;ISA INTERCONEXION ELECTRICA;EQTY
EXITO;14320,0;1,56;3084533580;217089;220,00;14120,0;14380,0;14120,0;14208,61;EXITO;EQTY
PFGRUPSURA;33220,0;0,42;2803142540;84586;140,00;33080,0;33280,0;32980,0;33139,56;GRUPO SURA;EQTY
PFDAVVNDA;36680,0;2,92;1281600380;35240;1040,00;35300,0;36680,0;35300,0;36367,77;BANCO DAVIVIENDA;EQTY
CORFICOLCF;20280,0;6,74;1112173600;56241;1280,00;19020,0;20280,0;19000,0;19775,14;CORFICOLOMBIANA;EQTY
CLH;4465,0;2,41;804407000;181426;105,00;4405,0;4500,0;4400,0;4433,8;CEMEX LATAM HOLDINGS;EQTY
GEB;1925,0;0,79;775288410;403430;15,00;1920,0;1925,0;1920,0;1921,74;GRUPO ENERGIA BOGOTA;EQTY
CNEC;10200,0;0,99;375231800;36880;100,00;10440,0;10440,0;10100,0;10174,4;CANACOL ENERGY LTD;EQTY
BVC;11600,0;-0,34;369135200;31822;-40,00;11600,0;11600,0;11600,0;11600,0;BOLSA DE VALORES DE COLOMBIA;EQTY
PFAVH;1740,0;1,16;185784160;105763;20,00;1760,0;1760,0;1740,0;1756,61;AVIANCA HOLDINGS S.A.;EQTY
PFCEMARGOS;6890,0;2,84;177415430;26127;190,00;6600,0;6890,0;6600,0;6790,5;CEMENTOS ARGOS;EQTY
CELSIA;4260,0;-0,58;170911025;40100;-25,00;4220,0;4290,0;4220,0;4262,12;CELSIA;EQTY
BOGOTA;59800,0;0,00;127534000;2134;0,00;59800,0;59800,0;59800,0;59762,89;BANCO DE BOGOTA;EQTY
MINEROS;2010,0;0,00;68009685;33794;0,00;2015,0;2015,0;2010,0;2012,48;MINEROS;EQTY
ETB;253,0;2,02;57202569;226847;5,00;252,0;253,0;252,0;252,16;ETB;EQTY
PFGRUPOARG;15740,0;1,55;45371560;2894;240,00;15740,0;15740,0;15740,0;15677,8;GRUPO ARGOS;EQTY
OCCIDENTE;38260,0;0,42;42659900;1115;160,00;38260,0;38260,0;38260,0;38260,0;BANCO DE OCCIDENTE;EQTY
GRUPOAVAL;1085,0;0,46;32859985;30719;5,00;1070,0;1085,0;1065,0;1069,7;GRUPO AVAL ACCIONES Y VALORES;EQTY
FABRICATO;6,0;0,00;15014160;2502360;0,00;6,0;6,0;6,0;6,0;FABRICATO;EQTY
PROMIGAS;5400,0;-3,57;12447000;2305;-200,00;5400,0;5400,0;5400,0;5400,0;PROMIGAS;EQTY
ENKA;9,77;30,09;10883780;1114000;2,26;9,77;9,77;9,77;9,77;ENKA DE COLOMBIA;EQTY
ELCONDOR;0,0;0,00;1619290;1433;0,00;0,0;0,0;0,0;1130,0;EL CONDOR;EQTY
CONCONCRET;0,0;0,00;1020840;2715;0,00;0,0;0,0;0,0;376,0;CONCONCRETO S.A;EQTY
PAZRIO;0,0;0,00;2982;497;0,00;0,0;0,0;0,0;6,0;ACER. PAZ DEL RIO;EQTY
