Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
ECOPETROL;3230,0;1,10;53751480190;16567735;35,00;3250,0;3280,0;3200,0;3244,35;ECOPETROL;EQTY
PFBCOLOM;37220,0;0,00;25101202340;674792;0,00;37200,0;37520,0;36800,0;37198,43;BANCO BANCOLOMBIA;EQTY
GRUPOSURA;35080,0;-2,01;16178296960;459539;-720,00;35860,0;35880,0;34960,0;35205,49;GRUPO SURA;EQTY
BCOLOMBIA;35900,0;-0,11;12388620100;345821;-40,00;35940,0;35960,0;35620,0;35823,79;BANCO BANCOLOMBIA;EQTY
GEB;2005,0;0,75;10654480370;5304614;15,00;1995,0;2015,0;1995,0;2008,53;GRUPO ENERGIA BOGOTA;EQTY
ISA;14080,0;0,28;5280893380;377208;40,00;13920,0;14080,0;13920,0;13999,95;ISA INTERCONEXION ELECTRICA;EQTY
CEMARGOS;8140,0;1,88;4784044530;592070;150,00;8000,0;8150,0;8000,0;8080,2;CEMENTOS ARGOS;EQTY
PFAVAL;1170,0;-1,27;3755630760;3222383;-15,00;1170,0;1180,0;1150,0;1165,48;GRUPO AVAL ACCIONES Y VALORES;EQTY
CELSIA;4395,0;-1,01;2809606780;637814;-45,00;4440,0;4440,0;4390,0;4405,06;CELSIA;EQTY
GRUPOARGOS;18180,0;-0,66;2675072520;147785;-120,00;18200,0;18300,0;17900,0;18101,11;GRUPO ARGOS;EQTY
PFGRUPSURA;33000,0;-2,94;2375449100;71580;-1000,00;33980,0;33980,0;32940,0;33185,93;GRUPO SURA;EQTY
NUTRESA;26100,0;-0,84;1581411560;60547;-220,00;26220,0;26220,0;26020,0;26118,74;GRUPO NUTRESA;EQTY
BVC;10800,0;0,56;1311618000;122120;60,00;10740,0;10800,0;10740,0;10740,4;BOLSA DE VALORES DE COLOMBIA;EQTY
CORFICOLCF;23400,0;-0,43;1257067880;53454;-100,00;23600,0;23640,0;23400,0;23516,82;CORFICOLOMBIANA;EQTY
PFDAVVNDA;37800,0;0,05;1066191160;28467;20,00;37220,0;37800,0;37220,0;37453,58;BANCO DAVIVIENDA;EQTY
EXITO;14620,0;-1,35;956963180;64859;-200,00;14820,0;14860,0;14600,0;14754,52;EXITO;EQTY
PFAVH;1860,0;-1,59;727284140;390610;-30,00;1935,0;1935,0;1850,0;1861,92;AVIANCA HOLDINGS S.A.;EQTY
CLH;4980,0;2,05;593571000;119674;100,00;4990,0;4990,0;4900,0;4959,9;CEMEX LATAM HOLDINGS;EQTY
PFGRUPOARG;14840,0;-1,46;417590360;27898;-220,00;15100,0;15100,0;14720,0;14968,47;GRUPO ARGOS;EQTY
GRUPOAVAL;1165,0;0,00;330396940;285622;0,00;1160,0;1165,0;1155,0;1156,76;GRUPO AVAL ACCIONES Y VALORES;EQTY
CNEC;10060,0;-1,37;278004340;27404;-140,00;10200,0;10200,0;10060,0;10144,66;CANACOL ENERGY LTD;EQTY
PFCEMARGOS;6630,0;0,00;277720070;41709;0,00;6630,0;6700,0;6630,0;6658,52;CEMENTOS ARGOS;EQTY
ETB;240,0;0,84;221765373;928731;2,00;238,0;240,0;234,0;238,78;ETB;EQTY
GRUBOLIVAR;51500,0;-0,92;116493000;2262;-480,00;51500,0;51500,0;51500,0;51500,0;GRUPO BOLIVAR;EQTY
ICOLCAP;15280,0;-0,74;107859226;7049;-114,50;15413,0;15413,0;15280,0;15301,35;FONDO BURSATIL ISHARES COLCAP;EQTY
PFCORFICOL;19300,0;-0,21;43392720;2246;-40,00;19340,0;19340,0;19300,0;19320,0;CORFICOLOMBIANA;EQTY
BOGOTA;63900,0;1,43;42008080;664;900,00;62920,0;63900,0;62900,0;63265,18;BANCO DE BOGOTA;EQTY
CONCONCRET;341,0;0,29;27414016;80568;1,00;342,0;342,0;341,0;340,26;CONCONCRETO S.A;EQTY
BBVACOL;270,0;0,37;18597199;68904;1,00;270,0;270,0;270,0;269,9;BBVA COLOMBIA;EQTY
