Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
NUTRESA;26120,0;0,62;101176147640;3905661;160,00;26000,0;26280,0;25900,0;25905,0;GRUPO NUTRESA;EQTY
ECOPETROL;3230,0;0,94;17356700950;5365227;30,00;3220,0;3250,0;3200,0;3235,04;ECOPETROL;EQTY
ICOLCAP;15512,0;0,60;8877490560;572016;92,00;15500,0;15530,0;15475,0;15519,65;FONDO BURSATIL ISHARES COLCAP;EQTY
PFBCOLOM;38180,0;-0,26;7454873120;194876;-100,00;38280,0;38620,0;38120,0;38254,44;BANCO BANCOLOMBIA;EQTY
PFAVAL;1210,0;0,41;7227020745;5953692;5,00;1210,0;1220,0;1210,0;1213,87;GRUPO AVAL ACCIONES Y VALORES;EQTY
GRUPOARGOS;17840,0;0,68;6949919400;387237;120,00;17740,0;18020,0;17740,0;17947,46;GRUPO ARGOS;EQTY
ISA;14340,0;0,42;6043578220;420978;60,00;14340,0;14440,0;14240,0;14356,04;ISA INTERCONEXION ELECTRICA;EQTY
CORFICOLCF;25120,0;0,48;5141508180;204995;120,00;25000,0;25160,0;24880,0;25081,14;CORFICOLOMBIANA;EQTY
GRUPOSURA;35000,0;0,46;4715413500;134917;160,00;35300,0;35300,0;34840,0;34950,48;GRUPO SURA;EQTY
BCOLOMBIA;37000,0;-0,11;4209452360;113708;-40,00;37000,0;37200,0;36920,0;37019,84;BANCO BANCOLOMBIA;EQTY
EXITO;14680,0;1,24;3344034140;228046;180,00;14580,0;14740,0;14580,0;14663,86;EXITO;EQTY
PFDAVVNDA;38300,0;0,26;1814028720;47270;100,00;38000,0;38520,0;38000,0;38375,9;BANCO DAVIVIENDA;EQTY
PFGRUPSURA;32700,0;0,86;1772134540;53889;280,00;33000,0;33020,0;32700,0;32884,9;GRUPO SURA;EQTY
CEMARGOS;7900,0;0,77;1402748150;177184;60,00;7970,0;7970,0;7900,0;7916,9;CEMENTOS ARGOS;EQTY
PFAVH;1855,0;3,06;1060581065;573406;55,00;1820,0;1870,0;1820,0;1849,62;AVIANCA HOLDINGS S.A.;EQTY
GEB;2055,0;0,49;968753635;472199;10,00;2045,0;2055,0;2045,0;2051,58;GRUPO ENERGIA BOGOTA;EQTY
CELSIA;4395,0;0,00;853821745;194281;0,00;4390,0;4400,0;4390,0;4394,78;CELSIA;EQTY
ETB;226,0;11,88;703037721;3252351;24,00;202,0;229,0;202,0;216,16;ETB;EQTY
PFGRUPOARG;14900,0;0,81;686854160;46178;120,00;14800,0;14900,0;14800,0;14874,06;GRUPO ARGOS;EQTY
PFCEMARGOS;6490,0;1,41;558979000;86244;90,00;6490,0;6490,0;6480,0;6481,37;CEMENTOS ARGOS;EQTY
BOGOTA;67980,0;0,00;439832380;6477;0,00;67960,0;67980,0;67500,0;67906,81;BANCO DE BOGOTA;EQTY
CONCONCRET;415,0;7,79;350653001;865415;30,00;397,0;415,0;397,0;405,18;CONCONCRETO S.A;EQTY
CLH;4670,0;1,30;146906350;31592;60,00;4625,0;4770,0;4625,0;4650,11;CEMEX LATAM HOLDINGS;EQTY
GRUPOAVAL;1220,0;0,41;143197925;117799;5,00;1215,0;1220,0;1210,0;1215,61;GRUPO AVAL ACCIONES Y VALORES;EQTY
MINEROS;2000,0;0,25;138075615;69013;5,00;2000,0;2010,0;2000,0;2000,72;MINEROS;EQTY
ELCONDOR;1205,0;-3,21;130707025;108320;-40,00;1200,0;1235,0;1200,0;1206,67;EL CONDOR;EQTY
BVC;12020,0;2,56;121574640;10209;300,00;11820,0;12020,0;11820,0;11908,57;BOLSA DE VALORES DE COLOMBIA;EQTY
PROMIGAS;5400,0;1,50;90433200;16748;80,00;5400,0;5400,0;5400,0;5399,64;PROMIGAS;EQTY
FABRICATO;7,5;-4,46;29287500;3905000;-0,35;7,5;7,5;7,5;7,5;FABRICATO;EQTY
PFCORFICOL;21000,0;0,00;23100000;1100;0,00;21000,0;21000,0;21000,0;21000,0;CORFICOLOMBIANA;EQTY
CNEC;10740,0;-0,74;23032620;2148;-80,00;10720,0;10740,0;10720,0;10722,82;CANACOL ENERGY LTD;EQTY
PROTECCION;105000,0;0,00;15225000;145;0,00;105000,0;105000,0;105000,0;105000,0;ADM DE FONDOS Y CES PROTECCION;EQTY
CARTON;6530,0;0,46;6530000;1000;30,00;6530,0;6530,0;6530,0;6530,0;CARTON COLOMBIA;EQTY
VALSIMESA;0,0;0,00;425820;94;0,00;0,0;0,0;0,0;4530,0;VALORES SIMESA;EQTY
