Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
CEMARGOS;7520,0;4,16;30906407620;4135995;300,00;7260,0;7570,0;7260,0;7472,54;CEMENTOS ARGOS;EQTY
PFBCOLOM;42140,0;1,44;16383366820;386548;600,00;41520,0;42680,0;41500,0;42383,78;BANCO BANCOLOMBIA;EQTY
ECOPETROL;2670,0;2,10;12812027030;4803630;55,00;2630,0;2680,0;2630,0;2667,16;ECOPETROL;EQTY
GRUPOARGOS;16760,0;8,69;10989312860;670051;1340,00;15780,0;16760,0;15780,0;16400,71;GRUPO ARGOS;EQTY
EXITO;17400,0;0,23;7134897360;410202;40,00;17400,0;17420,0;17340,0;17393,62;EXITO;EQTY
GEB;2110,0;-0,94;4631380275;2187964;-20,00;2115,0;2125,0;2105,0;2116,75;GRUPO ENERGIA BOGOTA;EQTY
CNEC;11500,0;0,35;3558928160;303984;40,00;11700,0;11780,0;11500,0;11707,62;CANACOL ENERGY LTD;EQTY
OCCIDENTE;37500,0;0,54;3170693600;85683;200,00;37000,0;37500,0;37000,0;37004,93;BANCO DE OCCIDENTE;EQTY
GRUPOSURA;32160,0;0,63;2928479200;90554;200,00;32460,0;32660,0;32060,0;32339,59;GRUPO SURA;EQTY
ISA;17060,0;-2,29;2736921100;157830;-400,00;17460,0;17840,0;17060,0;17340,94;ISA INTERCONEXION ELECTRICA;EQTY
BBVACOL;345,0;9,18;2159349820;6443492;29,00;335,0;345,0;335,0;335,12;BBVA COLOMBIA;EQTY
CORFICOLCF;26020,0;-0,69;2126686960;81254;-180,00;26200,0;26380,0;26020,0;26173,32;CORFICOLOMBIANA;EQTY
BCOLOMBIA;39500,0;2,86;2029445440;51674;1100,00;39320,0;39500,0;38720,0;39274,01;BANCO BANCOLOMBIA;EQTY
PFDAVVNDA;41200,0;-0,48;1501984740;36451;-200,00;41500,0;41500,0;41040,0;41205,58;BANCO DAVIVIENDA;EQTY
PFAVAL;1225,0;-0,41;1070666635;870498;-5,00;1235,0;1240,0;1225,0;1229,95;GRUPO AVAL ACCIONES Y VALORES;EQTY
PFGRUPOARG;13460,0;1,51;963288540;72398;200,00;13300,0;13480,0;13160,0;13305,46;GRUPO ARGOS;EQTY
NUTRESA;25040,0;-1,73;860577100;34258;-440,00;25500,0;25500,0;25040,0;25120,47;GRUPO NUTRESA;EQTY
ICOLCAP;15363,5;1,04;615372536,5;39952;158,50;15407,0;15470,0;15337,5;15402,8;FONDO BURSATIL ISHARES COLCAP;EQTY
PFBBVACOL;385,0;22,22;467036955;1213083;70,00;385,0;385,0;385,0;385,0;BBVA COLOMBIA;EQTY
PFGRUPSURA;29720,0;0,75;449371800;15003;220,00;30100,0;30240,0;29700,0;29952,13;GRUPO SURA;EQTY
PFAVH;1220,0;-0,81;347746040;285918;-10,00;1230,0;1230,0;1200,0;1216,24;AVIANCA HOLDINGS S.A.;EQTY
CELSIA;4285,0;-1,49;203743845;47363;-65,00;4300,0;4340,0;4280,0;4301,75;CELSIA;EQTY
CLH;4450,0;0,23;142567065;32070;10,00;4450,0;4460,0;4420,0;4445,5;CEMEX LATAM HOLDINGS;EQTY
BOGOTA;70220,0;0,03;126120440;1791;20,00;70500,0;70500,0;70220,0;70419,01;BANCO DE BOGOTA;EQTY
BVC;12020,0;-2,28;122265260;10053;-280,00;12240,0;12240,0;12020,0;12162,07;BOLSA DE VALORES DE COLOMBIA;EQTY
PROMIGAS;6950,0;-2,80;90430700;13011;-200,00;6950,0;6950,0;6950,0;6950,33;PROMIGAS;EQTY
GRUPOAVAL;1240,0;0,40;81791165;66745;5,00;1220,0;1240,0;1215,0;1225,43;GRUPO AVAL ACCIONES Y VALORES;EQTY
PFCEMARGOS;6360,0;0,00;59141360;9378;0,00;6160,0;6360,0;6160,0;6306,39;CEMENTOS ARGOS;EQTY
ELCONDOR;1175,0;-1,67;49236970;42367;-20,00;1145,0;1175,0;1145,0;1162,15;EL CONDOR;EQTY
CONCONCRET;506,0;-1,17;30704716;60309;-6,00;511,0;511,0;506,0;509,12;CONCONCRETO S.A;EQTY
MINEROS;3100,0;0,00;16652335;5350;0,00;3100,0;3100,0;3100,0;3112,59;MINEROS;EQTY
ETB;0,0;0,00;3847932;16236;0,00;0,0;0,0;0,0;237,0;ETB;EQTY
GRUBOLIVAR;0,0;0,00;2375400;37;0,00;0,0;0,0;0,0;64200,0;GRUPO BOLIVAR;EQTY
COLTEJER;0,0;0,00;40885;37;0,00;0,0;0,0;0,0;1105,0;COLTEJER;EQTY
