Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / Nombre
CEMARGOS;10860,0;0.37;29683364860,0;2820382,0;-40,0;10940,0;11000,0;10520,0;10524,59;CEMENTOS ARGOS
ICOLCAP;14638,5;0.4;3014322458,5;205533,0;-58,5;14667,0;14725,0;14638,5;14665,88;FONDO BURSATIL ISHARES COLCAP
ECOPETROL;1775,0;0.0;2810340765,0;1586700,0;0,0;1775,0;1775,0;1765,0;1771,19;ECOPETROL
HCOLSEL;13228,0;0.85;1653500000,0;125000,0;111,0;13228,0;13228,0;13228,0;13228,0;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P
CORFICOLCF;28940,0;0.21;1384116220,0;47899,0;60,0;28900,0;28940,0;28780,0;28896,56;CORFICOLOMBIANA
PFBCOLOM;29440,0;0.34;1295269260,0;43928,0;-100,0;29620,0;29620,0;29400,0;29486,19;BANCO BANCOLOMBIA
EEB;2090,0;0.24;1243642170,0;596013,0;5,0;2085,0;2090,0;2085,0;2086,6;GRUPO ENERGIA BOGOTA
PFAVAL;1275,0;0.0;929649225,0;729393,0;0,0;1280,0;1280,0;1270,0;1274,55;GRUPO AVAL ACCIONES Y VALORES
ISA;13540,0;0.59;642788560,0;47737,0;80,0;13500,0;13540,0;13400,0;13465,21;ISA INTERCONEXION ELECTRICA
PFDAVVNDA;30160,0;0.2;564770540,0;18906,0;60,0;29600,0;30260,0;29600,0;29872,56;BANCO DAVIVIENDA
EXITO;16280,0;0.61;501015640,0;30750,0;-100,0;16380,0;16380,0;16280,0;16293,19;EXITO
BCOLOMBIA;28780,0;0.76;447255800,0;15440,0;-220,0;29000,0;29000,0;28780,0;28967,34;BANCO BANCOLOMBIA
GRUPOARGOS;20400,0;0.2;377277840,0;18511,0;-40,0;20400,0;20420,0;20360,0;20381,28;GRUPO ARGOS
PFGRUPSURA;37960,0;0.37;373373300,0;9873,0;-140,0;38000,0;38000,0;37600,0;37817,61;GRUPO SURA
PFCEMARGOS;9610,0;0.93;357253300,0;37130,0;-90,0;9700,0;9700,0;9610,0;9621,69;CEMENTOS ARGOS
NUTRESA;27300,0;0.37;350335120,0;12898,0;100,0;27200,0;27300,0;27080,0;27161,97;GRUPO NUTRESA
GRUPOSURA;39280,0;0.31;323053920,0;8233,0;120,0;39160,0;39300,0;39100,0;39238,91;GRUPO SURA
PFGRUPOARG;18500,0;0.54;304183900,0;16558,0;100,0;18300,0;18500,0;18300,0;18370,81;GRUPO ARGOS
VALOREM;601,0;1.48;231988535,0;370729,0;-9,0;629,0;631,0;601,0;625,76;VALOREM S.A.
CLH;11240,0;0.72;179673000,0;15960,0;80,0;11280,0;11280,0;11240,0;11257,71;CEMEX LATAM HOLDINGS
PFAVH;2885,0;0.35;132416880,0;46039,0;10,0;2890,0;2890,0;2865,0;2876,19;AVIANCA HOLDINGS S.A.
BOGOTA;67020,0;0.03;119189040,0;1778,0;20,0;67020,0;67020,0;67020,0;67035,46;BANCO DE BOGOTA
CELSIA;4605,0;0.54;112009550,0;24317,0;-25,0;4600,0;4605,0;4600,0;4606,22;CELSIA
MINEROS;2515,0;1.18;92369420,0;36594,0;-30,0;2520,0;2550,0;2510,0;2524,17;MINEROS
GRUPOAVAL;1280,0;0.39;80101650,0;62587,0;-5,0;1285,0;1285,0;1280,0;1279,84;GRUPO AVAL ACCIONES Y VALORES
ETB;507,0;0.39;79189500,0;156679,0;-2,0;503,0;507,0;503,0;505,43;ETB
BVC;24,7;0.8;77335700,0;3131000,0;-0,2;24,7;24,7;24,7;24,7;BOLSA DE VALORES DE COLOMBIA
CARTON;5450,0;0.91;59485500,0;10956,0;-50,0;5500,0;5500,0;5400,0;5429,49;CARTON COLOMBIA
GRUBOLIVAR;54000,0;5.26;25380000,0;470,0;-3000,0;54000,0;54000,0;54000,0;54000,0;GRUPO BOLIVAR
CONCONCRET;1020,0;0.0;12996210,0;12842,0;0,0;1005,0;1020,0;1005,0;1012,01;CONCONCRETO S.A
VALSIMESA;2100,0;30.0;11058600,0;5266,0;-900,0;2100,0;2100,0;2100,0;2100,0;VALORES SIMESA
PFVILLAS;6390,0;20.79;9808650,0;1535,0;1100,0;6390,0;6390,0;6390,0;6390,0;BANCO AV VILLAS
CNEC;0,0;0.0;3676900,0;374,0;0,0;0,0;0,0;0,0;9831,28;CANACOL ENERGY LTD
PFCORFICOL;0,0;0.0;2310000,0;100,0;0,0;0,0;0,0;0,0;23100,0;CORFICOLOMBIANA
BBVACOL;0,0;0.0;1886138,0;7199,0;0,0;0,0;0,0;0,0;262,0;BBVA COLOMBIA
COLTEJER;0,0;0.0;3300,0;3,0;0,0;0,0;0,0;0,0;1100,0;COLTEJER
