Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / Nombre
ECOPETROL;3995,0;1.24;34428456250,0;8554499,0;-50,0;4060,0;4080,0;3975,0;4024,6;ECOPETROL
GRUPOSURA;39640,0;0.85;15362692820,0;385418,0;-340,0;39980,0;40120,0;39520,0;39859,82;GRUPO SURA
FABRICATO;58,0;0.85;15353695150,0;256674352,0;-0,5;59,5;61,0;58,0;59,82;FABRICATO
PREC;48900,0;1.73;15252038680,0;310533,0;-860,0;49800,0;49800,0;48800,0;49115,68;PACIFIC EXPLOR AND PROD CORP
ETB;676,0;4.79;10349134144,0;14874983,0;-34,0;720,0;730,0;672,0;695,74;ETB
ISA;13000,0;0.31;8941711300,0;685627,0;-40,0;13040,0;13100,0;13000,0;13041,66;ISA INTERCONEXION ELECTRICA
INVERARGOS;19700,0;0.61;7623448460,0;387396,0;120,0;19600,0;19900,0;19580,0;19678,7;GRUPO ARGOS
PFBCOLOM;29900,0;0.27;6426235380,0;214921,0;-80,0;29800,0;29980,0;29800,0;29900,45;BANCO BANCOLOMBIA
PFAVTA;5320,0;0.76;6377589700,0;1202103,0;40,0;5300,0;5320,0;5270,0;5305,36;AVIANCA HOLDINGS S.A.
CEMARGOS;11660,0;1.04;5990528040,0;516388,0;120,0;11620,0;11660,0;11500,0;11600,83;CEMENTOS ARGOS
CNEC;2290,0;0.44;5107027450,0;2247654,0;10,0;2295,0;2295,0;2255,0;2272,16;CANACOL ENERGY LTD
EXITO;26640,0;1.29;4053773760,0;153227,0;340,0;26400,0;26640,0;26380,0;26456,0;EXITO
ISAGEN;2495,0;0.0;3554101985,0;1436900,0;0,0;2475,0;2495,0;2455,0;2473,45;ISAGEN
PFDAVVNDA;22500,0;0.45;2976945200,0;132604,0;100,0;22400,0;22500,0;22400,0;22449,89;BANCO DAVIVIENDA
PFAVAL;1295,0;0.39;2969788380,0;2306710,0;5,0;1285,0;1295,0;1280,0;1287,46;GRUPO AVAL ACCIONES Y VALORES
CONCONCRET;1720,0;0.58;2216662645,0;1293676,0;-10,0;1690,0;1730,0;1690,0;1713,46;CONCONCRETO S.A
COLINVERS;5220,0;0.38;1753104420,0;336457,0;20,0;5190,0;5250,0;5170,0;5210,49;CELSIA
CORFICOLCF;34100,0;0.59;1617850860,0;47540,0;200,0;34000,0;34200,0;33900,0;34031,36;CORFICOLOMBIANA
BCOLOMBIA;29480,0;1.31;1589394220,0;53920,0;380,0;29300,0;29560,0;29300,0;29476,9;BANCO BANCOLOMBIA
GRUPOAVAL;1295,0;0.78;1568344765,0;1216423,0;10,0;1275,0;1295,0;1275,0;1289,31;GRUPO AVAL ACCIONES Y VALORES
TABLEMAC;12,5;2.46;1512834746,0;122352328,0;0,3;12,4;12,5;12,2;12,36;TABLEMAC
NUTRESA;24980,0;0.08;1299436660,0;52037,0;20,0;25200,0;25300,0;24860,0;24971,4;GRUPO NUTRESA
BVC;43,7;0.46;1255025038,4;28884690,0;-0,2;43,5;43,7;43,2;43,45;BOLSA DE VALORES DE COLOMBIA
OCCIDENTE;33900,0;1.19;1231382980,0;36309,0;400,0;34000,0;34000,0;33900,0;33913,99;BANCO DE OCCIDENTE
SIE;13660,0;2.09;946294920,0;69738,0;280,0;13200,0;13660,0;13200,0;13569,29;SOCIEDAD INVERSIONES ENERGIA
INTERBOLSA;2700,0;0.0;919172000,0;340450,0;0,0;2700,0;2700,0;2700,0;2699,87;INTERBOLSA S.A.
BOGOTA;52500,0;0.34;591515100,0;11242,0;180,0;52400,0;53000,0;52400,0;52616,54;BANCO DE BOGOTA
ENKA;12,9;1.53;536625875,0;41285064,0;-0,2;13,1;13,1;12,9;13,0;ENKA DE COLOMBIA
BIOMAX;1775,0;3.2;462890560,0;262842,0;55,0;1740,0;1780,0;1740,0;1761,1;BIOMAX BIOCOMBUSTIBLES S.A.
EEB;164000,0;2.19;299605820,0;1826,0;-3680,0;164140,0;164140,0;164000,0;164077,67;GRUPO ENERGIA BOGOTA
PFHELMBANK;365,0;1.35;183507094,0;499820,0;-5,0;370,0;370,0;365,0;367,15;HELM BANK S.A.
SDCORFIC;33000,0;1.91;168044740,0;5143,0;620,0;32440,0;33000,0;32420,0;32674,46;CORFICOLOMBIANA
PROMIGAS;29500,0;1.67;147500000,0;5000,0;-500,0;29500,0;29500,0;29500,0;29500,0;PROMIGAS
