Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / Nombre
PREC;49900,0;0.8;48738870360,0;967909,0;-400,0;50300,0;51100,0;49900,0;50354,81;PACIFIC EXPLOR AND PROD CORP
GRUPOSURA;38900,0;0.26;15189590500,0;388901,0;-100,0;38980,0;39380,0;38800,0;39057,73;GRUPO SURA
PFAVAL;1300,0;2.77;14859819775,0;11447890,0;35,0;1270,0;1305,0;1270,0;1298,04;GRUPO AVAL ACCIONES Y VALORES
ECOPETROL;3860,0;0.0;12851114555,0;3314680,0;0,0;3860,0;3895,0;3860,0;3877,03;ECOPETROL
PFDAVVNDA;22000,0;0.36;9096270980,0;412049,0;-80,0;22020,0;22200,0;22000,0;22075,7;BANCO DAVIVIENDA
PFBCOLOM;29700,0;0.34;8626757360,0;289968,0;-100,0;29800,0;29840,0;29560,0;29750,72;BANCO BANCOLOMBIA
CEMARGOS;11180,0;0.9;8624214260,0;770830,0;100,0;11100,0;11320,0;11080,0;11188,22;CEMENTOS ARGOS
PFAVTA;5200,0;0.38;7895429740,0;1510238,0;-20,0;5220,0;5260,0;5200,0;5227,94;AVIANCA HOLDINGS S.A.
FABRICATO;49,0;0.0;5165892781,8;103998151,0;0,0;49,1;51,0;49,0;49,67;FABRICATO
CNEC;2115,0;1.63;4405649450,0;2044574,0;-35,0;2170,0;2195,0;2115,0;2154,8;CANACOL ENERGY LTD
ISAGEN;2395,0;0.21;4175062780,0;1741181,0;5,0;2390,0;2400,0;2385,0;2397,83;ISAGEN
INVERARGOS;18860,0;0.11;3970314220,0;209729,0;-20,0;18880,0;19000,0;18860,0;18930,69;GRUPO ARGOS
CONCONCRET;1665,0;5.05;3608774780,0;2222543,0;80,0;1600,0;1670,0;1600,0;1623,71;CONCONCRETO S.A
ISA;12500,0;0.0;2466680720,0;198101,0;0,0;12500,0;12520,0;12400,0;12451,63;ISA INTERCONEXION ELECTRICA
BCOLOMBIA;29400,0;0.34;2145395560,0;73220,0;100,0;29280,0;29400,0;28640,0;29300,68;BANCO BANCOLOMBIA
EXITO;26200,0;1.5;2003617120,0;76162,0;-400,0;26580,0;26580,0;26200,0;26307,31;EXITO
CORFICOLCF;33700,0;0.77;1962863300,0;58135,0;-260,0;33900,0;33900,0;33700,0;33763,88;CORFICOLOMBIANA
GRUPOAVAL;1290,0;0.78;1912137830,0;1474098,0;10,0;1280,0;1300,0;1280,0;1297,16;GRUPO AVAL ACCIONES Y VALORES
PROENERGIA;8750,0;0.11;1558900000,0;178160,0;10,0;8750,0;8750,0;8750,0;8750,0;PROENERGIA INTERNACIONAL S.A.
NUTRESA;23620,0;0.51;1517156640,0;64586,0;120,0;23500,0;23620,0;23460,0;23490,49;GRUPO NUTRESA
