Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / Nombre
PREC;63640,0;2.32;81467488200,0;1288397,0;1440,0;62300,0;63700,0;62300,0;63231,67;PACIFIC EXPLOR AND PROD CORP
ECOPETROL;3965,0;0.25;32336983030,0;8150167,0;10,0;3955,0;3980,0;3955,0;3967,65;ECOPETROL
PFBCOLOM;27100,0;2.19;31642709780,0;1170261,0;580,0;26600,0;27120,0;26600,0;27039,02;BANCO BANCOLOMBIA
EXITO;25500,0;3.24;18756431660,0;742630,0;800,0;24700,0;25500,0;24700,0;25256,77;EXITO
CORFICOLCF;34280,0;2.57;14159129520,0;410950,0;860,0;33940,0;34540,0;33940,0;34454,63;CORFICOLOMBIANA
GRUPOSURA;35400,0;4.42;11047022020,0;316595,0;1500,0;34300,0;35400,0;34220,0;34893,23;GRUPO SURA
CNEC;3160,0;1.44;9609274430,0;3045262,0;45,0;3085,0;3175,0;3085,0;3155,48;CANACOL ENERGY LTD
CEMARGOS;11000,0;2.61;9547083620,0;872324,0;280,0;10800,0;11000,0;10700,0;10944,42;CEMENTOS ARGOS
EEB;169540,0;0.19;9220957940,0;54250,0;-320,0;169000,0;172500,0;169000,0;169971,57;GRUPO ENERGIA BOGOTA
ISA;12780,0;3.9;7448379820,0;590973,0;480,0;12240,0;12780,0;12240,0;12603,59;ISA INTERCONEXION ELECTRICA
TABLEMAC;10,5;2.94;6806640934,6;655254081,0;0,3;10,2;10,6;10,2;10,39;TABLEMAC
BCOLOMBIA;26900,0;3.46;6467627920,0;241052,0;900,0;26400,0;26960,0;26400,0;26830,84;BANCO BANCOLOMBIA
ISAGEN;2440,0;1.67;5209091030,0;2144052,0;40,0;2400,0;2440,0;2400,0;2429,55;ISAGEN
INVERARGOS;18560,0;2.65;5073715540,0;274810,0;480,0;18120,0;18560,0;18120,0;18462,63;GRUPO ARGOS
PFDAVVNDA;21820,0;0.09;4680929820,0;213067,0;-20,0;21880,0;22060,0;21820,0;21969,29;BANCO DAVIVIENDA
TGI;20460,0;0.0;3853006740,0;188319,0;20460,0;20460,0;20460,0;20460,0;20460,0;TRANSPORTADORA DE GAS DEL INTE
COLINVERS;5350,0;2.88;3484877130,0;655834,0;150,0;5200,0;5380,0;5200,0;5313,66;CELSIA
CHOCOLATES;23520,0;0.34;3373017980,0;142886,0;-80,0;23800,0;23800,0;23480,0;23606,36;GRUPO NUTRESA
GRUPOAVAL;1575,0;2.61;3298400405,0;2100246,0;40,0;1540,0;1590,0;1540,0;1570,48;GRUPO AVAL ACCIONES Y VALORES
MINEROS;6890,0;2.23;2916590280,0;425084,0;150,0;6760,0;6900,0;6760,0;6861,21;MINEROS
FABRICATO;31,2;2.63;2901285715,8;93487970,0;0,8;30,4;31,4;30,4;31,03;FABRICATO
BOGOTA;54500,0;0.96;1235938600,0;22732,0;520,0;54000,0;54500,0;54000,0;54369,99;BANCO DE BOGOTA
CONCONCRET;1580,0;0.0;1110511425,0;697681,0;0,0;1590,0;1605,0;1580,0;1591,72;CONCONCRETO S.A
INTERBOLSA;2825,0;0.89;961768005,0;338983,0;25,0;2830,0;2845,0;2825,0;2837,22;INTERBOLSA S.A.
BVC;42,0;0.0;826525289,8;19547025,0;0,0;42,2;42,5;42,0;42,28;BOLSA DE VALORES DE COLOMBIA
ETB;565,0;2.25;733518672,0;1288667,0;-13,0;565,0;576,0;560,0;569,21;ETB
BIOMAX;1940,0;0.52;567291665,0;291940,0;10,0;1960,0;1960,0;1930,0;1943,18;BIOMAX BIOCOMBUSTIBLES S.A.
ODINSA;8900,0;0.11;531799200,0;60258,0;10,0;8890,0;8900,0;8600,0;8825,37;ODINSA
ENKA;14,1;1.44;416160323,2;29516212,0;0,2;14,1;14,2;14,1;14,1;ENKA DE COLOMBIA
SIE;14360,0;0.28;328616260,0;22994,0;-40,0;14500,0;14500,0;14080,0;14291,39;SOCIEDAD INVERSIONES ENERGIA
PFCORFICOL;32300,0;0.0;178398480,0;5523,0;0,0;32300,0;32300,0;32300,0;32301,01;CORFICOLOMBIANA
PFHELMBANK;416,0;0.95;155495624,0;370839,0;-4,0;420,0;420,0;416,0;419,31;HELM BANK S.A.
BMC;2585,0;0.19;116125000,0;45000,0;5,0;2580,0;2585,0;2580,0;2580,56;BMC BOLSA MERCANTIL DE COL
SOCBOLIVAR;57040,0;2.46;100675600,0;1765,0;-1440,0;57040,0;57040,0;57040,0;57040,0;GRUPO BOLIVAR
PROENERGIA;9000,0;3.45;80100000,0;8900,0;300,0;9000,0;9000,0;9000,0;9000,0;PROENERGIA INTERNACIONAL S.A.
PROMIGAS;31000,0;0.0;54157000,0;1747,0;0,0;31000,0;31000,0;31000,0;31000,0;PROMIGAS
COLTEJER;0,83;0.0;47656329,12;57417264,0;0,0;0,83;0,83;0,83;0,83;COLTEJER
VALOREM;0,0;0.0;25517800,0;63291,0;0,0;0,0;0,0;0,0;403,18;VALOREM S.A.
SDCORFIC10;0,0;0.0;473500,0;14,0;0,0;0,0;0,0;0,0;33821,43;CORFICOLOMBIANA
