Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / Nombre
PREC;49840,0;1.26;26665018420,0;538646,0;620,0;49000,0;50200,0;48500,0;49503,79;PACIFIC EXPLOR AND PROD CORP
PFDAVVNDA;21400,0;1.9;10236024420,0;485634,0;400,0;20940,0;21400,0;20940,0;21077,65;BANCO DAVIVIENDA
ECOPETROL;3775,0;0.4;8448952965,0;2237988,0;15,0;3765,0;3795,0;3745,0;3775,24;ECOPETROL
PFBCOLOM;28520,0;2.66;7725292740,0;272224,0;740,0;27900,0;28700,0;27820,0;28378,44;BANCO BANCOLOMBIA
FABRICATO;48,1;2.12;4390700547,0;90408113,0;1,0;48,0;49,0;47,5;48,57;FABRICATO
GRUPOAVAL;1355,0;0.37;3785542325,0;2796389,0;5,0;1345,0;1360,0;1345,0;1353,73;GRUPO AVAL ACCIONES Y VALORES
EXITO;26380,0;0.84;3624793280,0;139104,0;220,0;26160,0;26400,0;25920,0;26058,15;EXITO
CNEC;2195,0;1.39;3430261505,0;1577884,0;30,0;2155,0;2200,0;2135,0;2173,96;CANACOL ENERGY LTD
GRUPOSURA;36380,0;0.22;2582889440,0;71189,0;80,0;36040,0;36380,0;36040,0;36282,14;GRUPO SURA
OCCIDENTE;34300,0;0.88;2550582300,0;74361,0;300,0;34300,0;34300,0;34300,0;34300,0;BANCO DE OCCIDENTE
BCOLOMBIA;27720,0;1.54;2320213100,0;84406,0;420,0;27300,0;28000,0;26920,0;27488,72;BANCO BANCOLOMBIA
ISA;12280,0;1.15;2130464840,0;175379,0;140,0;12080,0;12280,0;12000,0;12147,78;ISA INTERCONEXION ELECTRICA
CORFICOLCF;33500,0;0.53;2071297800,0;61794,0;-180,0;33500,0;33860,0;33500,0;33519,4;CORFICOLOMBIANA
ISAGEN;2375,0;1.28;1846203515,0;778780,0;30,0;2350,0;2380,0;2350,0;2370,64;ISAGEN
BOGOTA;53900,0;3.65;1833307860,0;35316,0;1900,0;51920,0;54000,0;51200,0;51911,54;BANCO DE BOGOTA
CEMARGOS;10740,0;0.0;1582066820,0;147858,0;0,0;10660,0;10800,0;10600,0;10699,91;CEMENTOS ARGOS
TABLEMAC;11,5;0.0;1514377155,8;131911833,0;0,0;11,5;11,5;11,3;11,48;TABLEMAC
INVERARGOS;18140,0;2.6;1407516100,0;78267,0;460,0;17680,0;18140,0;17680,0;17983,52;GRUPO ARGOS
CONCONCRET;1520,0;0.98;970260215,0;622279,0;-15,0;1555,0;1580,0;1520,0;1559,2;CONCONCRETO S.A
EEB;167480,0;0.31;630397840,0;3775,0;-520,0;167400,0;167480,0;166960,0;166992,81;GRUPO ENERGIA BOGOTA
NUTRESA;22660,0;1.16;525190460,0;23500,0;260,0;22220,0;22660,0;21980,0;22348,53;GRUPO NUTRESA
COLINVERS;4900,0;2.08;306955300,0;63067,0;100,0;4810,0;4900,0;4810,0;4867,13;CELSIA
ETB;620,0;0.0;279352222,0;458309,0;0,0;614,0;620,0;606,0;609,53;ETB
ENKA;13,0;0.78;228103500,0;17540000,0;0,1;13,0;13,0;13,0;13,0;ENKA DE COLOMBIA
BVC;40,6;0.5;210536788,4;5201128,0;0,2;40,4;40,6;40,4;40,48;BOLSA DE VALORES DE COLOMBIA
SIE;13700,0;0.58;191149600,0;13970,0;-80,0;13700,0;13700,0;13700,0;13682,86;SOCIEDAD INVERSIONES ENERGIA
PFCORFICOL;31500,0;0.63;160137600,0;5084,0;-200,0;31500,0;31500,0;31500,0;31498,35;CORFICOLOMBIANA
MINEROS;6400,0;0.78;114053200,0;17813,0;-50,0;6400,0;6410,0;6400,0;6402,81;MINEROS
VALOREM;370,0;3.9;76377990,0;206427,0;-15,0;370,0;370,0;370,0;370,0;VALOREM S.A.
INTERBOLSA;2770,0;0.0;74694000,0;27200,0;0,0;2650,0;2770,0;2650,0;2746,1;INTERBOLSA S.A.
PFHELMBANK;370,0;1.07;65168873,0;176614,0;-4,0;367,0;370,0;367,0;368,99;HELM BANK S.A.
PROMIGAS;30000,0;6.99;30000000,0;1000,0;1960,0;30000,0;30000,0;30000,0;30000,0;PROMIGAS
BIOMAX;1730,0;0.0;29107250,0;16825,0;0,0;1730,0;1730,0;1730,0;1730,0;BIOMAX BIOCOMBUSTIBLES S.A.
SOCBOLIVAR;55500,0;0.22;27750000,0;500,0;120,0;55500,0;55500,0;55500,0;55500,0;GRUPO BOLIVAR
BBVACOL;0,0;0.0;9003618,0;38477,0;0,0;0,0;0,0;0,0;234,0;BBVA COLOMBIA
ODINSA;0,0;0.0;4998640,0;586,0;0,0;0,0;0,0;0,0;8530,1;ODINSA
BMC;0,0;0.0;2795000,0;1000,0;0,0;0,0;0,0;0,0;2795,0;BMC BOLSA MERCANTIL DE COL
SDCORFIC;0,0;0.0;845000,0;26,0;0,0;0,0;0,0;0,0;32500,0;CORFICOLOMBIANA
COLTEJER;0,0;0.0;820,0;1000,0;0,0;0,0;0,0;0,0;0,82;COLTEJER
