Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / Nombre
PREC;58800,0;0.31;44759194860,0;770396,0;180,0;58700,0;58840,0;57580,0;58098,95;PACIFIC EXPLOR AND PROD CORP
PFBCOLOM;26000,0;2.18;26237387020,0;1000391,0;-580,0;26600,0;26840,0;26000,0;26227,13;BANCO BANCOLOMBIA
BCOLOMBIA;26140,0;1.13;11159838720,0;427442,0;-300,0;26560,0;26560,0;26020,0;26108,43;BANCO BANCOLOMBIA
TABLEMAC;10,1;6.88;10279039377,5;1054782620,0;0,65;9,45;10,2;9,37;9,75;TABLEMAC
ECOPETROL;3910,0;1.51;8699706970,0;2216602,0;-60,0;3955,0;3955,0;3910,0;3924,79;ECOPETROL
INVERARGOS;18180,0;0.44;5629563800,0;312839,0;80,0;18000,0;18200,0;17700,0;17995,08;GRUPO ARGOS
GRUPOSURA;34840,0;0.68;5257527260,0;150630,0;-240,0;35100,0;35100,0;34680,0;34903,59;GRUPO SURA
PFDAVVNDA;21680,0;0.09;5052688720,0;232737,0;20,0;21660,0;21800,0;21660,0;21709,86;BANCO DAVIVIENDA
EXITO;23480,0;0.09;4639139160,0;197713,0;-20,0;23500,0;23600,0;23400,0;23464,01;EXITO
CNEC;2930,0;0.69;3684815910,0;1274257,0;20,0;2930,0;2930,0;2850,0;2891,74;CANACOL ENERGY LTD
CEMARGOS;10500,0;1.55;3491844440,0;337441,0;160,0;10400,0;10500,0;10220,0;10348,01;CEMENTOS ARGOS
CORFICOLCF;34200,0;0.87;3318320040,0;96145,0;-300,0;34640,0;34760,0;34200,0;34513,7;CORFICOLOMBIANA
COLINVERS;5090,0;0.59;3286911030,0;644579,0;-30,0;5110,0;5170,0;5060,0;5099,31;CELSIA
ISA;12520,0;0.16;2885086760,0;230238,0;20,0;12540,0;12600,0;12400,0;12530,89;ISA INTERCONEXION ELECTRICA
CHOCOLATES;23300,0;2.59;2011781100,0;85463,0;-620,0;23500,0;23600,0;23300,0;23539,79;GRUPO NUTRESA
GRUPOAVAL;1495,0;1.97;1894047805,0;1257892,0;-30,0;1515,0;1525,0;1490,0;1505,73;GRUPO AVAL ACCIONES Y VALORES
BOGOTA;54880,0;0.0;1815879840,0;33621,0;0,0;54000,0;54880,0;54000,0;54010,29;BANCO DE BOGOTA
BIOMAX;1750,0;1.69;1585225965,0;894538,0;-30,0;1800,0;1800,0;1750,0;1772,12;BIOMAX BIOCOMBUSTIBLES S.A.
ISAGEN;2350,0;0.63;1549665845,0;658984,0;-15,0;2365,0;2365,0;2350,0;2351,6;ISAGEN
INTERBOLSA;2625,0;1.87;1150992520,0;438000,0;-50,0;2650,0;2670,0;2615,0;2627,84;INTERBOLSA S.A.
FABRICATO;30,0;0.99;1060681645,8;35041279,0;-0,3;30,2;30,3;30,0;30,27;FABRICATO
ENKA;14,1;0.71;730863641,8;52207151,0;0,1;14,2;14,2;13,9;14,0;ENKA DE COLOMBIA
CONCONCRET;1540,0;0.65;719442455,0;471522,0;-10,0;1530,0;1540,0;1515,0;1525,79;CONCONCRETO S.A
EEB;177000,0;1.12;554520040,0;3159,0;-2000,0;178500,0;178500,0;174500,0;175536,57;GRUPO ENERGIA BOGOTA
SIE;12700,0;2.61;533735200,0;41754,0;-340,0;13100,0;13100,0;12700,0;12782,85;SOCIEDAD INVERSIONES ENERGIA
BVC;39,0;1.02;343729026,0;8790414,0;-0,4;39,1;39,3;39,0;39,1;BOLSA DE VALORES DE COLOMBIA
BMC;2575,0;0.58;341726000,0;132700,0;-15,0;2575,0;2575,0;2575,0;2575,18;BMC BOLSA MERCANTIL DE COL
MINEROS;6950,0;1.42;327687800,0;47017,0;-100,0;7010,0;7010,0;6940,0;6969,56;MINEROS
PFCORFICOL;33100,0;0.0;292851000,0;8872,0;0,0;33000,0;33100,0;33000,0;33008,45;CORFICOLOMBIANA
BBVACOL;280,0;0.0;258250720,0;922324,0;0,0;280,0;280,0;280,0;280,0;BBVA COLOMBIA
ETB;585,0;0.85;154449422,0;262640,0;-5,0;590,0;590,0;585,0;588,07;ETB
PROENERGIA;8010,0;2.32;80100000,0;10000,0;-190,0;8010,0;8010,0;8010,0;8010,0;PROENERGIA INTERNACIONAL S.A.
OCCIDENTE;36500,0;0.27;72966000,0;2002,0;-100,0;36500,0;36500,0;36500,0;36446,55;BANCO DE OCCIDENTE
PFHELMBANK;425,0;0.47;53238000,0;126600,0;-2,0;425,0;425,0;425,0;420,52;HELM BANK S.A.
VALOREM;0,0;0.0;10634112,0;26064,0;0,0;0,0;0,0;0,0;408,0;VALOREM S.A.
COLTEJER;0,0;0.0;2650800,05;3193735,0;0,0;0,0;0,0;0,0;0,83;COLTEJER
ODINSA;0,0;0.0;1333500,0;150,0;0,0;0,0;0,0;0,0;8890,0;ODINSA
SDCORFIC10;0,0;0.0;364540,0;11,0;0,0;0,0;0,0;0,0;33140,0;CORFICOLOMBIANA
VILLAS;0,0;0.0;102200,0;14,0;0,0;0,0;0,0;0,0;7300,0;BANCO AV VILLAS
