Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / Nombre
ECOPETROL;4255,0;0.83;46576649860,0;10992480,0;35,0;0,0;4260,0;0,0;4237,14;ECOPETROL
PFBCOLOM;29320,0;0.27;15614085040,0;532848,0;80,0;28980,0;29400,0;28980,0;29303,08;BANCO BANCOLOMBIA
PREC;35340,0;0.17;14589988660,0;413191,0;-60,0;0,0;0,0;34900,0;35310,52;PACIFIC EXPLOR AND PROD CORP
PFGRUPSURA;33100,0;0.61;10309718980,0;312932,0;200,0;32740,0;33100,0;32740,0;32945,56;GRUPO SURA
EXITO;24880,0;1.55;8416564120,0;339538,0;380,0;24580,0;24900,0;24500,0;24788,28;EXITO
BCOLOMBIA;28900,0;0.35;6973701140,0;242415,0;100,0;28800,0;28900,0;28120,0;28767,61;BANCO BANCOLOMBIA
NUTRESA;21380,0;0.47;6711599280,0;315807,0;100,0;0,0;0,0;21200,0;21252,22;GRUPO NUTRESA
CORFICOLCF;33800,0;0.12;5709174400,0;170294,0;40,0;0,0;33800,0;0,0;33525,4;CORFICOLOMBIANA
GRUPOSURA;31900,0;0.31;3963348580,0;124151,0;-100,0;31800,0;32180,0;31800,0;31923,61;GRUPO SURA
FABRICATO;82,5;0.61;3395931904,0;40920122,0;0,5;0,0;83,5;82,5;82,99;FABRICATO
CNEC;1190,0;0.42;2866549360,0;2403980,0;5,0;1185,0;1210,0;1175,0;1192,42;CANACOL ENERGY LTD
PFDAVVNDA;20100,0;0.0;2592722220,0;128735,0;0,0;0,0;20220,0;20100,0;20139,99;BANCO DAVIVIENDA
ENKA;9,35;5.36;2139024908,4;217800087,0;-0,53;9,88;9,88;9,35;9,82;ENKA DE COLOMBIA
ISA;11680,0;2.28;1932998080,0;169798,0;260,0;0,0;11680,0;0,0;11384,1;ISA INTERCONEXION ELECTRICA
EEB;1145,0;0.44;1593692200,0;1401510,0;5,0;1140,0;1145,0;1130,0;1137,13;GRUPO ENERGIA BOGOTA
INTERBOLSA;2260,0;2.16;1226268660,0;532641,0;-50,0;2305,0;2305,0;2260,0;2302,24;INTERBOLSA S.A.
CEMARGOS;10820,0;0.0;1088035580,0;100178,0;0,0;10820,0;10900,0;10800,0;10861,02;CEMENTOS ARGOS
ISAGEN;2110,0;1.69;1017251410,0;483664,0;35,0;0,0;2115,0;2075,0;2103,22;ISAGEN
PFAVAL;1210,0;0.0;742712455,0;614974,0;0,0;1200,0;1210,0;1200,0;1207,71;GRUPO AVAL ACCIONES Y VALORES
BVC;27,1;2.26;576615418,3;21695362,0;0,6;26,5;27,1;26,3;26,58;BOLSA DE VALORES DE COLOMBIA
COLINVERS;4050,0;0.37;487885930,0;120523,0;15,0;4045,0;4050,0;4045,0;4048,07;CELSIA
PMGC;30500,0;0.46;403218820,0;13263,0;-140,0;30280,0;30600,0;30200,0;30401,78;PETROMINERALES LTD
GRUPOAVAL;1210,0;0.82;333042180,0;277178,0;-10,0;1190,0;1210,0;1190,0;1201,55;GRUPO AVAL ACCIONES Y VALORES
INVERARGOS;16900,0;0.59;319111600,0;19182,0;-100,0;0,0;16900,0;0,0;16635,99;GRUPO ARGOS
PFAVTA;3165,0;1.93;289523270,0;91887,0;60,0;3150,0;3165,0;3150,0;3150,86;AVIANCA HOLDINGS S.A.
ICOLCAP;15840,0;0.25;207534600,0;13130,0;40,0;15770,0;15840,0;15770,0;15806,14;FONDO BURSATIL ISHARES COLCAP
PFHELMBANK;304,0;1.67;199390406,0;655358,0;5,0;303,0;309,0;303,0;304,25;HELM BANK S.A.
COLTEJER;0,8;0.0;183964309,08;242949241,0;0,0;0,75;0,8;0,74;0,76;COLTEJER
ETB;460,0;2.45;165834087,0;361275,0;11,0;460,0;460,0;458,0;459,02;ETB
PFCORFICOL;0,0;0.37;156192000,0;4881,0;-120,0;0,0;0,0;0,0;0,0;CORFICOLOMBIANA
CONCONCRET;1350,0;3.57;117180125,0;89120,0;-50,0;1325,0;1350,0;1260,0;1314,86;CONCONCRETO S.A
MINEROS;5090,0;1.8;98921610,0;19478,0;90,0;5070,0;5090,0;5070,0;5078,63;MINEROS
SIE;10680,0;3.89;87618400,0;8330,0;400,0;10480,0;10680,0;10480,0;10518,42;SOCIEDAD INVERSIONES ENERGIA
BOGOTA;48000,0;0.42;83455200,0;1741,0;200,0;47820,0;48000,0;47820,0;47935,21;BANCO DE BOGOTA
TABLEMAC;0,0;0.21;40139333,25;4230975,0;0,02;0,0;0,0;0,0;9,49;TABLEMAC
OCCIDENTE;29000,0;0.0;22533000,0;777,0;0,0;29000,0;29000,0;29000,0;29000,0;BANCO DE OCCIDENTE
CARTON;0,0;0.0;16975000,0;2500,0;0,0;0,0;0,0;0,0;6790,0;CARTON COLOMBIA
SANTANDER;4850,0;0.0;14550000,0;3000,0;0,0;4850,0;4850,0;4850,0;4850,0;BCO. CORPBANCA
SDCORFIC;0,0;0.0;14064440,0;442,0;0,0;0,0;0,0;0,0;31820,0;CORFICOLOMBIANA
PFBBVACOL;0,0;0.0;6016806,0;24966,0;0,0;0,0;0,0;0,0;241,0;BBVA COLOMBIA
POPULAR;0,0;0.0;4169946,0;9246,0;0,0;0,0;0,0;0,0;451,0;BANCO POPULAR
ODINSA;0,0;0.0;3504720,0;409,0;0,0;0,0;0,0;0,0;8569,0;ODINSA
BMC;0,0;0.0;2475000,0;1000,0;0,0;0,0;0,0;0,0;2475,0;BMC BOLSA MERCANTIL DE COL
