Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / Nombre
PREC;47540,0;2.46;69102193320,0;1466168,0;1140,0;46200,0;47600,0;46200,0;47131,16;PACIFIC EXPLOR AND PROD CORP
ECOPETROL;4135,0;0.12;28931645805,0;6981323,0;5,0;4135,0;4160,0;4130,0;4144,15;ECOPETROL
BOGOTA;50500,0;0.56;11281607580,0;223427,0;280,0;50740,0;50740,0;50240,0;50493,48;BANCO DE BOGOTA
ISA;12300,0;0.0;9594037200,0;777096,0;0,0;12180,0;12400,0;12180,0;12346,01;ISA INTERCONEXION ELECTRICA
INVERARGOS;18180,0;0.98;9494886380,0;516543,0;-180,0;18360,0;18400,0;18140,0;18381,6;GRUPO ARGOS
PFBCOLOM;29020,0;1.83;7857677320,0;266963,0;-540,0;29560,0;29700,0;29020,0;29433,58;BANCO BANCOLOMBIA
ISAGEN;2310,0;0.87;7831126885,0;3399821,0;20,0;2290,0;2315,0;2290,0;2303,39;ISAGEN
NUTRESA;22800,0;0.09;6871300660,0;299807,0;-20,0;22780,0;23000,0;22720,0;22919,08;GRUPO NUTRESA
FABRICATO;73,0;0.0;4780769767,5;65257924,0;0,0;73,5;74,0;72,5;73,26;FABRICATO
EXITO;23900,0;0.33;3266049300,0;135679,0;-80,0;23980,0;24200,0;23900,0;24071,89;EXITO
CNEC;1495,0;2.61;3148604800,0;2089545,0;-40,0;1530,0;1535,0;1490,0;1506,84;CANACOL ENERGY LTD
GRUPOSURA;34500,0;0.58;2434906200,0;70312,0;-200,0;34700,0;34700,0;34500,0;34630,02;GRUPO SURA
ETB;655,0;1.08;2382435912,0;3644024,0;7,0;630,0;666,0;630,0;653,79;ETB
ICOLCAP;16855,0;0.69;2228078060,0;132070,0;115,0;16800,0;16900,0;16800,0;16870,43;FONDO BURSATIL ISHARES COLCAP
PFAVAL;1200,0;0.0;2157674520,0;1800190,0;0,0;1190,0;1205,0;1190,0;1198,58;GRUPO AVAL ACCIONES Y VALORES
PFDAVVNDA;20480,0;1.89;1874531620,0;92065,0;380,0;20180,0;20480,0;20180,0;20360,96;BANCO DAVIVIENDA
TABLEMAC;10,5;1.94;1760516840,9;170440643,0;0,2;10,3;10,5;10,3;10,33;TABLEMAC
PMGC;55020,0;1.04;1610292480,0;28972,0;-580,0;55700,0;55900,0;55020,0;55580,99;PETROMINERALES LTD
MINEROS;5860,0;0.34;1477542200,0;252149,0;20,0;5860,0;5860,0;5860,0;5859,8;MINEROS
CORFICOLCF;34840,0;1.08;1375915620,0;39036,0;-380,0;35280,0;35280,0;34840,0;35247,35;CORFICOLOMBIANA
CEMARGOS;11200,0;0.71;1342971700,0;119066,0;-80,0;11260,0;11300,0;11200,0;11279,22;CEMENTOS ARGOS
BCOLOMBIA;28680,0;1.65;1264862860,0;43582,0;-480,0;29140,0;29140,0;28680,0;29022,6;BANCO BANCOLOMBIA
PFAVTA;4705,0;0.21;1060740560,0;225551,0;-10,0;4620,0;4730,0;4620,0;4702,89;AVIANCA HOLDINGS S.A.
EEB;1420,0;0.0;519986050,0;366220,0;0,0;1420,0;1420,0;1420,0;1419,87;GRUPO ENERGIA BOGOTA
COLTEJER;0,99;1.0;506585559,76;502352612,0;-0,01;1,01;1,01;0,99;1,01;COLTEJER
BIOMAX;1520,0;0.33;456065390,0;299888,0;-5,0;1520,0;1530,0;1510,0;1520,79;BIOMAX BIOCOMBUSTIBLES S.A.
GRUPOAVAL;1200,0;0.0;328179855,0;274244,0;0,0;1190,0;1205,0;1190,0;1196,67;GRUPO AVAL ACCIONES Y VALORES
ENKA;11,0;0.0;162610810,6;14991880,0;0,0;10,8;11,0;10,8;10,85;ENKA DE COLOMBIA
INTERBOLSA;2285,0;1.08;155991970,0;68493,0;-25,0;2270,0;2310,0;2260,0;2277,49;INTERBOLSA S.A.
COLINVERS;4780,0;0.42;140058740,0;29229,0;-20,0;4755,0;4850,0;4755,0;4791,77;CELSIA
CONCONCRET;1500,0;0.0;136939850,0;91332,0;0,0;1500,0;1500,0;1500,0;1499,36;CONCONCRETO S.A
VALOREM;325,0;2.11;97371031,0;296149,0;-7,0;335,0;335,0;325,0;328,79;VALOREM S.A.
PFCORFICOL;33960,0;0.0;84900000,0;2500,0;0,0;33960,0;33960,0;33960,0;33960,0;CORFICOLOMBIANA
BVC;36,6;1.88;54900000,0;1500000,0;-0,7;36,6;36,6;36,6;36,6;BOLSA DE VALORES DE COLOMBIA
PAZRIO;39,0;2.01;29931603,0;767477,0;-0,8;39,0;39,0;39,0;39,0;ACER. PAZ DEL RIO
BBVACOL;230,0;0.0;17062320,0;74184,0;0,0;230,0;230,0;230,0;230,0;BBVA COLOMBIA
VALSIMESA;0,0;0.0;12334120,0;6106,0;0,0;0,0;0,0;0,0;2020,0;VALORES SIMESA
PFHELMBANK;0,0;0.0;3660000,0;11500,0;0,0;0,0;0,0;0,0;318,26;HELM BANK S.A.
CORFERIAS;0,0;0.0;2660400,0;2217,0;0,0;0,0;0,0;0,0;1200,0;CORFERIAS
BMC;0,0;0.0;2525000,0;1000,0;0,0;0,0;0,0;0,0;2525,0;BMC BOLSA MERCANTIL DE COL
ODINSA;0,0;0.0;1305000,0;150,0;0,0;0,0;0,0;0,0;8700,0;ODINSA
POPULAR;0,0;0.0;315690,0;510,0;0,0;0,0;0,0;0,0;619,0;BANCO POPULAR
