Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / Nombre
ECOPETROL;4265,0;0.95;19518425155,0;4586979,0;40,0;4195,0;4275,0;4195,0;4255,18;ECOPETROL
PFBCOLOM;28740,0;3.43;11083444280,0;384579,0;-1020,0;29440,0;29480,0;28500,0;28819,68;BANCO BANCOLOMBIA
PFGRUPSURA;33200,0;0.3;4953351140,0;148962,0;-100,0;33280,0;33320,0;33100,0;33252,45;GRUPO SURA
EXITO;25360,0;0.63;2709943340,0;107004,0;-160,0;25500,0;25500,0;25200,0;25325,63;EXITO
PREC;35220,0;2.26;2633032780,0;75923,0;780,0;34920,0;35220,0;34400,0;34680,3;PACIFIC EXPLOR AND PROD CORP
GRUPOSURA;32160,0;0.74;2292170660,0;71407,0;-240,0;32380,0;32380,0;32000,0;32100,08;GRUPO SURA
FABRICATO;83,0;0.61;1885092529,5;22728751,0;0,5;83,0;83,0;82,5;82,94;FABRICATO
BCOLOMBIA;28560,0;1.52;1704504040,0;60113,0;-440,0;28620,0;28620,0;28020,0;28355,0;BANCO BANCOLOMBIA
EEB;1140,0;1.33;1563520315,0;1382614,0;15,0;1120,0;1140,0;1110,0;1130,84;GRUPO ENERGIA BOGOTA
PFAVAL;1240,0;0.81;1017160045,0;829306,0;10,0;1235,0;1240,0;1220,0;1226,52;GRUPO AVAL ACCIONES Y VALORES
PFDAVVNDA;20540,0;0.58;853129120,0;41751,0;-120,0;20320,0;20540,0;20320,0;20433,74;BANCO DAVIVIENDA
POPULAR;520,0;4.21;851208800,0;1636940,0;21,0;520,0;520,0;520,0;520,0;BANCO POPULAR
ISA;11400,0;0.7;741364360,0;65381,0;-80,0;11400,0;11400,0;11220,0;11339,14;ISA INTERCONEXION ELECTRICA
NUTRESA;21380,0;1.93;694362540,0;32399,0;-420,0;21700,0;21700,0;21320,0;21431,6;GRUPO NUTRESA
INVERARGOS;17000,0;0.35;686043800,0;40385,0;-60,0;16900,0;17040,0;16900,0;16987,59;GRUPO ARGOS
TABLEMAC;9,99;1.42;550127638,48;55092577,0;0,14;9,98;10,1;9,91;9,99;TABLEMAC
ISAGEN;2125,0;0.93;509665680,0;239849,0;-20,0;2125,0;2125,0;2125,0;2124,94;ISAGEN
CEMARGOS;10800,0;0.0;414374960,0;38556,0;0,0;10700,0;10800,0;10600,0;10747,35;CEMENTOS ARGOS
CORFICOLCF;34300,0;0.58;411463660,0;12012,0;-200,0;34380,0;34380,0;34180,0;34254,38;CORFICOLOMBIANA
GRUPOAVAL;1200,0;0.0;275251215,0;228771,0;0,0;1200,0;1210,0;1200,0;1203,17;GRUPO AVAL ACCIONES Y VALORES
ETB;465,0;1.09;198285350,0;427990,0;5,0;465,0;465,0;462,0;463,29;ETB
PFAVTA;3255,0;0.15;117778110,0;36130,0;5,0;3290,0;3290,0;3255,0;3259,84;AVIANCA HOLDINGS S.A.
PFCORFICOL;32400,0;0.92;95320800,0;2942,0;-300,0;32400,0;32400,0;32400,0;32400,0;CORFICOLOMBIANA
PMGC;31980,0;2.17;89458940,0;2823,0;680,0;31320,0;32140,0;31320,0;31689,32;PETROMINERALES LTD
BOGOTA;49920,0;0.04;89227020,0;1787,0;20,0;49940,0;49940,0;49920,0;49931,18;BANCO DE BOGOTA
BVC;26,4;1.54;63101640,0;2388300,0;0,4;26,4;26,4;26,4;26,42;BOLSA DE VALORES DE COLOMBIA
CONCONCRET;1370,0;0.0;60186840,0;43932,0;0,0;1370,0;1370,0;1370,0;1370,0;CONCONCRETO S.A
CNEC;1185,0;1.25;37344990,0;31435,0;-15,0;1185,0;1185,0;1185,0;1188,01;CANACOL ENERGY LTD
COLINVERS;3955,0;0.0;35607650,0;9000,0;0,0;3955,0;3955,0;3955,0;3956,41;CELSIA
SIE;10680,0;0.0;17910360,0;1677,0;0,0;10680,0;10680,0;10680,0;10680,0;SOCIEDAD INVERSIONES ENERGIA
PROENERGIA;8500,0;5.59;17000000,0;2000,0;450,0;8500,0;8500,0;8500,0;8500,0;PROENERGIA INTERNACIONAL S.A.
PROMIGAS;0,0;0.0;10838500,0;409,0;0,0;0,0;0,0;0,0;26500,0;PROMIGAS
OCCIDENTE;0,0;0.0;5862000,0;201,0;0,0;0,0;0,0;0,0;29164,18;BANCO DE OCCIDENTE
SDCORFIC;0,0;0.0;5741120,0;176,0;0,0;0,0;0,0;0,0;32620,0;CORFICOLOMBIANA
BMC;0,0;0.0;2580000,0;1000,0;0,0;0,0;0,0;0,0;2580,0;BMC BOLSA MERCANTIL DE COL
BIOMAX;0,0;0.0;1821820,0;1274,0;0,0;0,0;0,0;0,0;1430,0;BIOMAX BIOCOMBUSTIBLES S.A.
COLTEJER;0,0;0.0;1596947,56;2000000,0;0,0;0,0;0,0;0,0;0,8;COLTEJER
ODINSA;0,0;0.0;1290000,0;150,0;0,0;0,0;0,0;0,0;8600,0;ODINSA
