Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / Nombre
PFBCOLOM;22600,0;7.52;12267159300,0;556273,0;1580,0;21380,0;22600,0;21380,0;22052,41;BANCO BANCOLOMBIA
EXITO;13620,0;0.74;11526707740,0;861203,0;100,0;13220,0;13700,0;12900,0;13384,43;EXITO
GRUPOSURA;33740,0;2.24;11492512620,0;342520,0;740,0;32540,0;33820,0;32540,0;33552,82;GRUPO SURA
PFDAVVNDA;21500,0;2.38;10338208940,0;482867,0;500,0;21120,0;21780,0;21100,0;21410,05;BANCO DAVIVIENDA
CLH;9650,0;3.21;10043245230,0;1047653,0;300,0;9500,0;9700,0;9350,0;9586,42;CEMEX LATAM HOLDINGS
ECOPETROL;1160,0;0.85;6601603535,0;5691581,0;-10,0;1165,0;1180,0;1145,0;1159,89;ECOPETROL
ISAGEN;2860,0;0.18;5640675405,0;1965973,0;5,0;2865,0;2900,0;2850,0;2869,15;ISAGEN
PFGRUPSURA;32700,0;0.8;5021170960,0;153483,0;260,0;32440,0;32980,0;32440,0;32714,83;GRUPO SURA
PFAVAL;1095,0;3.3;4859167340,0;4510548,0;35,0;1065,0;1095,0;1060,0;1077,29;GRUPO AVAL ACCIONES Y VALORES
PROTECCION;71000,0;2.74;4121408000,0;58048,0;-2000,0;71000,0;71000,0;71000,0;71000,0;ADM DE FONDOS Y CES PROTECCION
ICOLCAP;11332,0;2.04;4007628000,0;354000,0;227,0;11311,0;11332,0;11311,0;11320,98;FONDO BURSATIL ISHARES COLCAP
NUTRESA;21500,0;4.37;3161804760,0;150285,0;900,0;20700,0;21500,0;20600,0;21038,72;GRUPO NUTRESA
CEMARGOS;9200,0;0.33;2961237730,0;319101,0;30,0;9170,0;9310,0;9170,0;9279,94;CEMENTOS ARGOS
CORFICOLCF;36020,0;1.85;2820534460,0;77765,0;-680,0;36680,0;37600,0;36020,0;36269,97;CORFICOLOMBIANA
PFCEMARGOS;8990,0;0.22;2401971840,0;266023,0;-20,0;8740,0;9100,0;8740,0;9029,19;CEMENTOS ARGOS
DACORFICOL;35860,0;0.39;2327523160,0;64449,0;-140,0;35680,0;38500,0;35680,0;36114,19;CORFICOLOMBIANA
PFGRUPOARG;14900,0;2.05;2128856920,0;143105,0;300,0;14260,0;15100,0;14260,0;14876,19;GRUPO ARGOS
ISA;7000,0;0.14;1846621620,0;264828,0;10,0;6700,0;7000,0;6700,0;6972,91;ISA INTERCONEXION ELECTRICA
PREC;3740,0;20.84;1663565040,0;483432,0;645,0;3300,0;3740,0;3190,0;3441,16;PACIFIC EXPLOR AND PROD CORP
GRUPOARGOS;15980,0;2.3;1384988120,0;87049,0;360,0;15620,0;15980,0;15620,0;15910,44;GRUPO ARGOS
BCOLOMBIA;21500,0;7.5;1361515800,0;65189,0;1500,0;20600,0;21560,0;20600,0;20885,67;BANCO BANCOLOMBIA
PFAVH;1640,0;5.13;1152599480,0;718734,0;80,0;1560,0;1640,0;1555,0;1603,65;AVIANCA HOLDINGS S.A.
CNEC;6300,0;8.06;1129815830,0;189741,0;470,0;5830,0;6400,0;5780,0;5954,52;CANACOL ENERGY LTD
ENKA;10,5;0.0;439950000,0;41900000,0;0,0;10,5;10,5;10,5;10,5;ENKA DE COLOMBIA
ETB;494,0;0.2;236874778,0;480346,0;1,0;492,0;495,0;492,0;493,13;ETB
FABRICATO;13,2;1.54;214561041,4;16388858,0;0,2;13,0;13,2;13,0;13,09;FABRICATO
CELSIA;2650,0;8.61;204891395,0;78758,0;210,0;2440,0;2650,0;2440,0;2601,53;CELSIA
BOGOTA;59000,0;2.54;179623260,0;3097,0;1460,0;57880,0;59000,0;57880,0;57999,12;BANCO DE BOGOTA
GRUPOAVAL;1085,0;5.34;174853745,0;165091,0;55,0;1055,0;1085,0;1055,0;1059,14;GRUPO AVAL ACCIONES Y VALORES
SDCORFIC;35120,0;7.58;173942120,0;4936,0;-2880,0;35240,0;35240,0;35120,0;35239,49;CORFICOLOMBIANA
EEB;1700,0;0.29;138426905,0;81459,0;5,0;1685,0;1700,0;1685,0;1699,34;GRUPO ENERGIA BOGOTA
CONCONCRET;1075,0;1.38;72719765,0;67201,0;-15,0;1065,0;1090,0;1065,0;1082,12;CONCONCRETO S.A
ELCONDOR;1090,0;0.0;64566300,0;59111,0;0,0;1100,0;1100,0;1090,0;1092,29;EL CONDOR
PFCARPAK;1875,0;9.97;61247525,0;35346,0;170,0;1700,0;1875,0;1700,0;1732,8;CARVAJAL EMPAQUES S.A.
HCOLSEL;10120,0;0.2;38607800,0;3815,0;20,0;10120,0;10120,0;10120,0;10120,0;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P
BVC;16,8;1.2;32950716,0;1973495,0;0,2;16,5;16,8;16,5;16,7;BOLSA DE VALORES DE COLOMBIA
PFCORFICOL;30500,0;0.0;12200000,0;400,0;0,0;30500,0;30500,0;30500,0;30500,0;CORFICOLOMBIANA
