Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / Nombre
ECOPETROL;4755,0;0.53;30831997915,0;6475270,0;25,0;4730,0;4780,0;4730,0;4761,5;ECOPETROL
PFBCOLOM;28160,0;0.79;23248965360,0;826206,0;220,0;28080,0;28180,0;28000,0;28139,43;BANCO BANCOLOMBIA
PREC;46540,0;0.26;21970938500,0;470507,0;120,0;46740,0;46880,0;46540,0;46696,31;PACIFIC EXPLOR AND PROD CORP
PMGC;37800,0;0.27;8444632980,0;221811,0;100,0;38000,0;38440,0;37800,0;38071,3;PETROMINERALES LTD
GRUPOSURA;31700,0;2.26;6342283160,0;200799,0;700,0;31180,0;31700,0;31180,0;31585,23;GRUPO SURA
FABRICATO;88,5;1.12;5724956060,0;64282227,0;-1,0;90,5;90,5;87,5;89,06;FABRICATO
INVERARGOS;16700,0;0.72;5042553200,0;301571,0;120,0;16500,0;16800,0;16500,0;16720,95;GRUPO ARGOS
NUTRESA;22480,0;1.26;4987110240,0;222258,0;280,0;22200,0;22580,0;22200,0;22438,38;GRUPO NUTRESA
BVC;32,6;4.15;4813703045,2;149492556,0;1,3;32,0;32,8;31,6;32,2;BOLSA DE VALORES DE COLOMBIA
PFAVTA;4300,0;5.65;4464930275,0;1062436,0;230,0;4090,0;4325,0;4090,0;4202,54;AVIANCA HOLDINGS S.A.
EXITO;25020,0;0.4;4375315160,0;174832,0;100,0;25000,0;25080,0;24980,0;25025,83;EXITO
PFAVAL;1230,0;0.0;4025164885,0;3233939,0;0,0;1250,0;1255,0;1230,0;1244,66;GRUPO AVAL ACCIONES Y VALORES
CNEC;1620,0;5.19;3968395610,0;2479136,0;80,0;1570,0;1625,0;1570,0;1600,72;CANACOL ENERGY LTD
PFGRUPSURA;32980,0;1.29;3506646180,0;106641,0;420,0;32600,0;33000,0;32600,0;32882,72;GRUPO SURA
BOGOTA;49420,0;1.06;2294091580,0;46731,0;520,0;48960,0;49440,0;48940,0;49091,43;BANCO DE BOGOTA
CEMARGOS;10980,0;0.0;1852086880,0;168383,0;0,0;10900,0;11020,0;10900,0;10999,25;CEMENTOS ARGOS
EEB;1095,0;0.0;1618267190,0;1483490,0;0,0;1090,0;1095,0;1080,0;1090,85;GRUPO ENERGIA BOGOTA
COLINVERS;4500,0;0.9;1555784170,0;345997,0;40,0;4455,0;4510,0;4455,0;4496,53;CELSIA
ISA;11120,0;0.18;1426022080,0;127909,0;20,0;11140,0;11200,0;11100,0;11148,72;ISA INTERCONEXION ELECTRICA
ISAGEN;2165,0;0.46;1363371740,0;629855,0;10,0;2170,0;2175,0;2160,0;2164,58;ISAGEN
BIOMAX;1580,0;1.86;1239331230,0;776414,0;-30,0;1610,0;1625,0;1580,0;1596,22;BIOMAX BIOCOMBUSTIBLES S.A.
VALOREM;367,0;22.33;1159222155,0;3183557,0;67,0;317,0;379,0;317,0;364,13;VALOREM S.A.
PFDAVVNDA;20100,0;0.1;1084371700,0;53924,0;-20,0;20100,0;20160,0;20080,0;20109,26;BANCO DAVIVIENDA
CORFICOLCF;34380,0;0.23;933495340,0;27153,0;80,0;34460,0;34500,0;34300,0;34379,09;CORFICOLOMBIANA
GRUPOAVAL;1225,0;0.82;874957525,0;707523,0;10,0;1235,0;1245,0;1225,0;1236,65;GRUPO AVAL ACCIONES Y VALORES
ICOLCAP;16700,0;0.88;668000000,0;40000,0;145,0;16700,0;16700,0;16700,0;16700,0;FONDO BURSATIL ISHARES COLCAP
BCOLOMBIA;27600,0;0.0;521199160,0;18870,0;0,0;27600,0;27800,0;27500,0;27620,52;BANCO BANCOLOMBIA
ODINSA;8800,0;0.11;516801890,0;58793,0;10,0;8790,0;8800,0;8790,0;8790,19;ODINSA
TABLEMAC;10,3;1.98;503290643,9;49311013,0;0,2;10,1;10,3;10,1;10,21;TABLEMAC
PFHELMBANK;350,0;4.37;402201927,0;1129557,0;-16,0;366,0;366,0;350,0;356,07;HELM BANK S.A.
INTERBOLSA;2415,0;0.21;282864485,0;117137,0;5,0;2415,0;2415,0;2415,0;2414,82;INTERBOLSA S.A.
SOCBOLIVAR;51180,0;0.0;255900000,0;5000,0;0,0;51180,0;51180,0;51180,0;51180,0;GRUPO BOLIVAR
ETB;483,0;0.63;250385382,0;520595,0;3,0;476,0;483,0;476,0;480,96;ETB
