Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
ECOPETROL;2990,0;0,00;21432267460;7169678;0,00;2990,0;3010,0;2970,0;2989,29;ECOPETROL;EQTY
ICOLCAP;16120,0;-0,33;16348432150;1006215;-54,00;16230,0;16280,0;16120,0;16247,45;FONDO BURSATIL ISHARES COLCAP;EQTY
CORFICOLCF;27800,0;-0,71;9200156260;327664;-200,00;28200,0;28400,0;27800,0;28078,02;CORFICOLOMBIANA;EQTY
BOGOTA;80000,0;1,94;8390712400;105709;1520,00;78500,0;80480,0;78500,0;79375,57;BANCO DE BOGOTA;EQTY
PFBCOLOM;43280,0;-1,37;8082950960;184931;-600,00;44040,0;44260,0;43280,0;43707,93;BANCO BANCOLOMBIA;EQTY
HCOLSEL;14774,0;0,79;7351004000;498000;116,00;14748,0;14774,0;14748,0;14761,05;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
PFAVAL;1290,0;-1,90;5641156190;4322173;-25,00;1315,0;1320,0;1290,0;1305,17;GRUPO AVAL ACCIONES Y VALORES;EQTY
GRUPOSURA;33040,0;-1,02;5150760820;155004;-340,00;33380,0;33500,0;33040,0;33229,86;GRUPO SURA;EQTY
GEB;2195,0;0,00;3413753535;1551128;0,00;2195,0;2210,0;2195,0;2200,82;GRUPO ENERGIA BOGOTA;EQTY
PFAVH;1460,0;8,96;3099433510;2171187;120,00;1360,0;1460,0;1360,0;1427,53;AVIANCA HOLDINGS S.A.;EQTY
NUTRESA;25340,0;-0,71;2805764700;109466;-180,00;25240,0;25780,0;25240,0;25631,38;GRUPO NUTRESA;EQTY
ISA;18500,0;-2,73;2307114580;123215;-520,00;19100,0;19100,0;18500,0;18724,3;ISA INTERCONEXION ELECTRICA;EQTY
PFGRUPSURA;30000,0;-0,99;2182511740;72200;-300,00;30600,0;30600,0;30000,0;30228,69;GRUPO SURA;EQTY
CEMARGOS;7520,0;-2,34;1848745750;244259;-180,00;7690,0;7690,0;7510,0;7568,79;CEMENTOS ARGOS;EQTY
GRUPOARGOS;17400,0;-2,25;1423998920;81198;-400,00;17680,0;18000,0;17400,0;17537,36;GRUPO ARGOS;EQTY
PFDAVVNDA;41980,0;-0,05;1410775160;33744;-20,00;41500,0;41980,0;41500,0;41808,18;BANCO DAVIVIENDA;EQTY
BCOLOMBIA;39000,0;-3,18;1401770380;35527;-1280,00;40200,0;40400,0;39000,0;39456,48;BANCO BANCOLOMBIA;EQTY
GRUPOAVAL;1290,0;-0,77;900654070;695687;-10,00;1300,0;1315,0;1275,0;1294,63;GRUPO AVAL ACCIONES Y VALORES;EQTY
PFCEMARGOS;6200,0;0,98;673349620;108625;60,00;6200,0;6200,0;6180,0;6198,85;CEMENTOS ARGOS;EQTY
CLH;4280,0;-1,38;622742550;144593;-60,00;4350,0;4350,0;4265,0;4306,87;CEMEX LATAM HOLDINGS;EQTY
CNEC;11940,0;-0,83;408598060;34152;-100,00;12060,0;12060,0;11900,0;11964,1;CANACOL ENERGY LTD;EQTY
MINEROS;3430,0;-1,86;353944525;103237;-65,00;3450,0;3450,0;3415,0;3428,47;MINEROS;EQTY
PFGRUPOARG;13500,0;-0,59;219006820;16227;-80,00;13700,0;13700,0;13180,0;13496,45;GRUPO ARGOS;EQTY
CELSIA;4460,0;-0,67;181779950;40920;-30,00;4450,0;4480,0;4415,0;4442,33;CELSIA;EQTY
PFCORFICOL;23120,0;-4,86;165283640;7092;-1180,00;24700,0;24900,0;23120,0;23305,65;CORFICOLOMBIANA;EQTY
PROMIGAS;8010,0;-2,32;121194410;14841;-190,00;8200,0;8200,0;8010,0;8166,19;PROMIGAS;EQTY
BVC;11400,0;-0,87;116449720;10204;-100,00;11500,0;11500,0;11400,0;11412,16;BOLSA DE VALORES DE COLOMBIA;EQTY
ETB;230,0;4,55;100624036;442262;10,00;225,0;230,0;225,0;227,52;ETB;EQTY
CONCONCRET;479,0;1,91;21319938;44594;9,00;479,0;479,0;479,0;478,09;CONCONCRETO S.A;EQTY
GRUBOLIVAR;0,0;0,00;4884000;66;0,00;0,0;0,0;0,0;74000,0;GRUPO BOLIVAR;EQTY
FABRICATO;0,0;0,00;1109061;201700;0,00;0,0;0,0;0,0;5,5;FABRICATO;EQTY
COLTEJER;0,0;0,00;1005;1;0,00;0,0;0,0;0,0;1005,0;COLTEJER;EQTY
