Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
GRUPOSURA;37160,0;0,70;18850879840;506947;260,00;36900,0;37500,0;36900,0;37185,11;GRUPO SURA;EQTY
ECOPETROL;3565,0;0,42;18557941225;5239193;15,00;3515,0;3570,0;3510,0;3542,14;ECOPETROL;EQTY
PFBCOLOM;42120,0;1,99;16491105820;395474;820,00;41120,0;42120,0;40800,0;41699,6;BANCO BANCOLOMBIA;EQTY
CEMARGOS;8100,0;0,00;12517978260;1538408;0,00;8110,0;8190,0;8060,0;8136,97;CEMENTOS ARGOS;EQTY
ISA;16100,0;-1,83;9011288580;554803;-300,00;16400,0;16440,0;16100,0;16242,32;ISA INTERCONEXION ELECTRICA;EQTY
CORFICOLCF;26300,0;-0,98;8775852160;332272;-260,00;26380,0;26640,0;26300,0;26411,65;CORFICOLOMBIANA;EQTY
PFDAVVNDA;37800,0;-2,07;8353812100;217790;-800,00;38500,0;38520,0;37800,0;38357,19;BANCO DAVIVIENDA;EQTY
PFGRUPOARG;15700,0;2,35;7844701120;502733;360,00;15340,0;15720,0;15280,0;15604,11;GRUPO ARGOS;EQTY
ICOLCAP;16473,5;1,06;6369432959;387656;172,50;16250,0;16480,0;16250,0;16430,63;FONDO BURSATIL ISHARES COLCAP;EQTY
GRUPOARGOS;18700,0;-0,21;6174786420;333385;-40,00;18720,0;18760,0;18420,0;18521,49;GRUPO ARGOS;EQTY
EXITO;14840,0;-1,72;5750813780;385242;-260,00;15100,0;15220,0;14840,0;14927,8;EXITO;EQTY
NUTRESA;26400,0;-1,12;5618056520;211817;-300,00;26700,0;26740,0;26400,0;26523,16;GRUPO NUTRESA;EQTY
GEB;2115,0;-1,63;4872940090;2311608;-35,00;2150,0;2150,0;2080,0;2108,03;GRUPO ENERGIA BOGOTA;EQTY
BCOLOMBIA;41300,0;2,23;3969737900;96959;900,00;40400,0;41460,0;40000,0;40942,44;BANCO BANCOLOMBIA;EQTY
PFAVAL;1220,0;-1,21;3884174065;3171475;-15,00;1230,0;1240,0;1220,0;1224,72;GRUPO AVAL ACCIONES Y VALORES;EQTY
PFGRUPSURA;35600,0;1,71;2048811440;58009;600,00;35000,0;35600,0;35000,0;35318,85;GRUPO SURA;EQTY
CLH;4750,0;0,85;1985434195;415341;40,00;4750,0;4820,0;4750,0;4780,25;CEMEX LATAM HOLDINGS;EQTY
BOGOTA;67520,0;-0,56;1823149920;26792;-380,00;68480,0;68500,0;67520,0;68048,3;BANCO DE BOGOTA;EQTY
PFCEMARGOS;6730,0;1,05;1436110480;214204;70,00;6700,0;6800,0;6670,0;6704,41;CEMENTOS ARGOS;EQTY
PFAVH;1630,0;-2,40;1189759745;730203;-40,00;1665,0;1665,0;1605,0;1629,35;AVIANCA HOLDINGS S.A.;EQTY
CELSIA;4595,0;-0,11;912279545;197928;-5,00;4595,0;4645,0;4595,0;4609,15;CELSIA;EQTY
PROMIGAS;5400,0;-1,28;851010210;157587;-70,00;5430,0;5430,0;5400,0;5400,26;PROMIGAS;EQTY
CNEC;10520,0;-0,75;475716820;45350;-80,00;10520,0;10520,0;10460,0;10489,9;CANACOL ENERGY LTD;EQTY
CONCONCRET;450,0;2,27;352329276;771618;10,00;461,0;470,0;450,0;456,61;CONCONCRETO S.A;EQTY
MINEROS;2120,0;3,41;331375290;160032;70,00;2075,0;2120,0;2065,0;2070,68;MINEROS;EQTY
GRUBOLIVAR;51440,0;-0,12;289840000;5630;-60,00;51500,0;51500,0;51440,0;51481,35;GRUPO BOLIVAR;EQTY
ETB;226,0;4,15;209790384;930684;9,00;217,0;233,0;217,0;225,42;ETB;EQTY
ELCONDOR;1200,0;-1,64;207331020;170266;-20,00;1230,0;1230,0;1200,0;1217,69;EL CONDOR;EQTY
GRUPOAVAL;1225,0;-0,41;169873405;138668;-5,00;1230,0;1230,0;1215,0;1225,04;GRUPO AVAL ACCIONES Y VALORES;EQTY
BVC;11880,0;-0,17;81217680;6838;-20,00;11880,0;11880,0;11880,0;11877,4;BOLSA DE VALORES DE COLOMBIA;EQTY
TERPEL;10000,0;-4,76;78640000;7864;-500,00;10000,0;10000,0;10000,0;10000,0;ORGANIZACION TERPEL;EQTY
FABRICATO;7,3;-1,35;31390000;4300000;-0,10;7,3;7,3;7,3;7,3;FABRICATO;EQTY
HCOLSEL;14829,5;1,21;10084060;680;178,00;14829,5;14829,5;14829,5;14829,5;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
PFCORFICOL;22440,0;1,36;8527200;380;300,00;22440,0;22440,0;22440,0;22440,0;CORFICOLOMBIANA;EQTY
BBVACOL;0,0;0,00;1405221;5073;0,00;0,0;0,0;0,0;277,0;BBVA COLOMBIA;EQTY
