Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
ECOPETROL;2900,0;-1,53;32109758115;10997570;-45,00;2945,0;2960,0;2895,0;2919,71;ECOPETROL;EQTY
PFAVAL;1290,0;-0,77;21941222790;17009358;-10,00;1280,0;1300,0;1280,0;1289,95;GRUPO AVAL ACCIONES Y VALORES;EQTY
EXITO;17620,0;0,23;10597958420;602694;40,00;17640,0;17640,0;17560,0;17584,31;EXITO;EQTY
CEMARGOS;7580,0;-0,79;9177537460;1211766;-60,00;7610,0;7650,0;7530,0;7573,69;CEMENTOS ARGOS;EQTY
PFBCOLOM;42180,0;-0,52;6845317220;162480;-220,00;42880,0;42880,0;41900,0;42130,21;BANCO BANCOLOMBIA;EQTY
GRUPOARGOS;17860,0;-0,78;6660212520;373024;-140,00;18020,0;18040,0;17700,0;17854,65;GRUPO ARGOS;EQTY
GEB;2175,0;-0,23;5307551220;2440048;-5,00;2185,0;2185,0;2170,0;2175,18;GRUPO ENERGIA BOGOTA;EQTY
ISA;19300,0;0,31;5066036460;263754;60,00;19200,0;19300,0;19160,0;19207,43;ISA INTERCONEXION ELECTRICA;EQTY
BVC;11920,0;-0,17;4510366660;377757;-20,00;11940,0;11940,0;11920,0;11939,86;BOLSA DE VALORES DE COLOMBIA;EQTY
PFAVH;1325,0;4,33;2997754045;2303060;55,00;1290,0;1325,0;1265,0;1301,64;AVIANCA HOLDINGS S.A.;EQTY
GRUPOSURA;33800,0;0,48;2772623460;82233;160,00;33640,0;33800,0;33540,0;33716,68;GRUPO SURA;EQTY
ICOLCAP;15963,5;-0,46;2536304218;158738;-74,50;16034,5;16034,5;15940,0;15977,93;FONDO BURSATIL ISHARES COLCAP;EQTY
NUTRESA;25300,0;-0,71;2288255120;90104;-180,00;25380,0;25480,0;25300,0;25395,71;GRUPO NUTRESA;EQTY
BCOLOMBIA;39860,0;0,35;1516493520;38222;140,00;39680,0;39860,0;39500,0;39675,93;BANCO BANCOLOMBIA;EQTY
PFDAVVNDA;41400,0;-1,62;1397399180;33449;-680,00;42000,0;42080,0;41260,0;41777,01;BANCO DAVIVIENDA;EQTY
PFGRUPSURA;31300,0;-0,32;1114125400;35806;-100,00;31180,0;31300,0;30900,0;31115,61;GRUPO SURA;EQTY
CORFICOLCF;26220,0;0,00;1054195580;40268;0,00;26220,0;26340,0;26000,0;26179,49;CORFICOLOMBIANA;EQTY
HCOLSEL;14537,0;0,12;872641500;60000;17,00;14549,0;14549,0;14519,0;14544,03;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
BOGOTA;74000,0;0,00;789403220;10669;0,00;74000,0;74000,0;73000,0;73990,37;BANCO DE BOGOTA;EQTY
MINEROS;3200,0;1,91;718272380;228613;60,00;3140,0;3200,0;3140,0;3141,87;MINEROS;EQTY
PROMIGAS;7450,0;-0,13;209570610;28158;-10,00;7440,0;7450,0;7440,0;7442,67;PROMIGAS;EQTY
CELSIA;4350,0;-0,80;199247680;45674;-35,00;4390,0;4390,0;4350,0;4362,39;CELSIA;EQTY
CNEC;11740,0;-0,34;197394360;16805;-40,00;11760,0;11760,0;11720,0;11746,17;CANACOL ENERGY LTD;EQTY
CLH;4445,0;0,79;170372320;38729;35,00;4390,0;4445,0;4365,0;4399,09;CEMEX LATAM HOLDINGS;EQTY
PFGRUPOARG;13880,0;-0,43;161700420;11653;-60,00;13880,0;13880,0;13840,0;13876,29;GRUPO ARGOS;EQTY
PFCORFICOL;22600,0;0,00;60952200;2697;0,00;22600,0;22600,0;22600,0;22600,0;CORFICOLOMBIANA;EQTY
ELCONDOR;1200,0;2,13;55178720;46604;25,00;1180,0;1200,0;1180,0;1183,99;EL CONDOR;EQTY
PFCEMARGOS;6250,0;-0,79;44314130;7113;-50,00;6220,0;6250,0;6220,0;6230,02;CEMENTOS ARGOS;EQTY
CONCONCRET;503,0;-1,37;36116860;71674;-7,00;505,0;505,0;503,0;503,9;CONCONCRETO S.A;EQTY
TERPEL;10700,0;0,00;32100000;3000;0,00;10700,0;10700,0;10700,0;10700,0;ORGANIZACION TERPEL;EQTY
ETB;239,0;2,14;9457264;39681;5,00;239,0;239,0;239,0;238,33;ETB;EQTY
GRUPOAVAL;0,0;0,00;8967470;7061;0,00;0,0;0,0;0,0;1270,0;GRUPO AVAL ACCIONES Y VALORES;EQTY
GRUBOLIVAR;0,0;0,00;1358000;20;0,00;0,0;0,0;0,0;67900,0;GRUPO BOLIVAR;EQTY
