Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
ECOPETROL;3135,0;-1,26;28461753805;9138499;-40,00;3170,0;3170,0;3080,0;3114,49;ECOPETROL;EQTY
HCOLSEL;13770,0;-1,71;27490700000;2000000;-240,00;13750,0;13778,0;13736,0;13745,35;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
PFBCOLOM;37440,0;-1,68;16533917620;441260;-640,00;37780,0;37840,0;37280,0;37469,79;BANCO BANCOLOMBIA;EQTY
GRUPOSURA;34400,0;-1,43;7667566640;222840;-500,00;34560,0;34580,0;34180,0;34408,39;GRUPO SURA;EQTY
PFDAVVNDA;37200,0;-1,74;6102800080;163193;-660,00;37400,0;37600,0;37080,0;37396,21;BANCO DAVIVIENDA;EQTY
BCOLOMBIA;36140,0;-2,17;5121315560;141667;-800,00;36360,0;36360,0;36040,0;36150,38;BANCO BANCOLOMBIA;EQTY
ISA;14200,0;0,42;4338312600;306796;60,00;14000,0;14260,0;14000,0;14140,71;ISA INTERCONEXION ELECTRICA;EQTY
GEB;2045,0;-0,49;4098768870;2000527;-10,00;2050,0;2055,0;2045,0;2048,84;GRUPO ENERGIA BOGOTA;EQTY
GRUPOARGOS;17580,0;-1,24;2867077060;162764;-220,00;17700,0;17800,0;17260,0;17614,93;GRUPO ARGOS;EQTY
CEMARGOS;7730,0;-1,15;2703731270;350359;-90,00;7820,0;7820,0;7660,0;7717,03;CEMENTOS ARGOS;EQTY
NUTRESA;25860,0;-0,54;2585926120;100094;-140,00;25820,0;25980,0;25600,0;25834,98;GRUPO NUTRESA;EQTY
EXITO;14300,0;0,00;2366891140;165477;0,00;14280,0;14380,0;14200,0;14303,44;EXITO;EQTY
PFAVAL;1190,0;0,42;1575843095;1325633;5,00;1180,0;1200,0;1175,0;1188,75;GRUPO AVAL ACCIONES Y VALORES;EQTY
PFGRUPSURA;32140,0;-1,41;1293062580;40143;-460,00;32160,0;32740,0;32080,0;32211,41;GRUPO SURA;EQTY
CORFICOLCF;24480,0;-0,97;1096379460;44620;-240,00;24720,0;24900,0;24480,0;24571,48;CORFICOLOMBIANA;EQTY
CLH;4505,0;-2,07;903402830;200223;-95,00;4510,0;4630,0;4500,0;4511,98;CEMEX LATAM HOLDINGS;EQTY
PFAVH;1730,0;-0,29;901363285;514533;-5,00;1725,0;1760,0;1725,0;1751,81;AVIANCA HOLDINGS S.A.;EQTY
BOGOTA;65540,0;-1,86;568679340;8488;-1240,00;67600,0;67600,0;65540,0;66998,04;BANCO DE BOGOTA;EQTY
CNEC;10700,0;0,94;422523560;39923;100,00;10500,0;10700,0;10240,0;10583,46;CANACOL ENERGY LTD;EQTY
CELSIA;4365,0;0,00;382869390;87833;0,00;4360,0;4365,0;4320,0;4359,06;CELSIA;EQTY
CONCONCRET;341,0;3,96;291252848;864609;13,00;321,0;350,0;321,0;336,86;CONCONCRETO S.A;EQTY
ELCONDOR;1200,0;8,11;229902540;196205;90,00;1115,0;1200,0;1115,0;1171,75;EL CONDOR;EQTY
ICOLCAP;15184,0;-1,53;186732559;12297;-236,00;15259,0;15259,0;15177,0;15185,21;FONDO BURSATIL ISHARES COLCAP;EQTY
BVC;11720,0;-0,34;173204640;14739;-40,00;11760,0;11780,0;11720,0;11751,45;BOLSA DE VALORES DE COLOMBIA;EQTY
BMC;1200,0;4,35;168000000;140000;50,00;1200,0;1200,0;1200,0;1200,0;BMC BOLSA MERCANTIL DE COL;EQTY
ETB;194,0;-6,28;155274824;782506;-13,00;202,0;202,0;194,0;198,43;ETB;EQTY
PFCEMARGOS;6450,0;0,00;152071550;23579;0,00;6450,0;6450,0;6450,0;6449,45;CEMENTOS ARGOS;EQTY
PFCORFICOL;21000,0;0,10;95467300;4556;20,00;20620,0;21000,0;20620,0;20954,19;CORFICOLOMBIANA;EQTY
MINEROS;1935,0;-3,25;84641220;43350;-65,00;1980,0;1980,0;1935,0;1952,51;MINEROS;EQTY
FABRICATO;7,85;6,37;77426992,5;10329999;0,47;7,32;7,85;7,32;7,5;FABRICATO;EQTY
PFGRUPOARG;14600,0;0,55;67032200;4597;80,00;14520,0;14600,0;14520,0;14581,73;GRUPO ARGOS;EQTY
GRUPOAVAL;1205,0;1,26;64541980;54469;15,00;1180,0;1205,0;1175,0;1184,93;GRUPO AVAL ACCIONES Y VALORES;EQTY
PROMIGAS;5300,0;1,92;12885080;2431;100,00;5300,0;5300,0;5300,0;5300,32;PROMIGAS;EQTY
GRUBOLIVAR;0,0;0,00;2908140;57;0,00;0,0;0,0;0,0;51020,0;GRUPO BOLIVAR;EQTY
ENKA;0,0;0,00;1046400;130800;0,00;0,0;0,0;0,0;8,0;ENKA DE COLOMBIA;EQTY
