Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
BVC;12000,0;-0,17;7441308000;620109;-20,00;12000,0;12000,0;12000,0;12000,0;BOLSA DE VALORES DE COLOMBIA;EQTY
PFGRUPSURA;31240,0;1,03;3123838560;100233;320,00;31160,0;31240,0;31000,0;31165,77;GRUPO SURA;EQTY
GRUPOARGOS;18000,0;0,00;2422723520;134997;0,00;17900,0;18000,0;17800,0;17946,5;GRUPO ARGOS;EQTY
ECOPETROL;2735,0;-0,18;1987809585;729983;-5,00;2715,0;2740,0;2710,0;2723,09;ECOPETROL;EQTY
PFDAVVNDA;41460,0;-0,43;1460998760;35576;-180,00;41040,0;41460,0;41000,0;41066,98;BANCO DAVIVIENDA;EQTY
PFAVAL;1280,0;-0,39;1134945965;885834;-5,00;1285,0;1285,0;1275,0;1281,22;GRUPO AVAL ACCIONES Y VALORES;EQTY
CEMARGOS;7640,0;-0,52;1034713640;135179;-40,00;7630,0;7680,0;7600,0;7654,4;CEMENTOS ARGOS;EQTY
ISA;18500,0;1,76;814264360;44219;320,00;18180,0;18500,0;18180,0;18414,35;ISA INTERCONEXION ELECTRICA;EQTY
PFGRUPOARG;14000,0;0,72;754029660;54075;100,00;13920,0;14100,0;13900,0;13944,15;GRUPO ARGOS;EQTY
PFBCOLOM;42600,0;-0,33;679259480;15941;-140,00;42520,0;42660,0;42520,0;42610,84;BANCO BANCOLOMBIA;EQTY
BCOLOMBIA;39260,0;-0,81;553566000;14100;-320,00;39260,0;39260,0;39260,0;39260,0;BANCO BANCOLOMBIA;EQTY
EXITO;17540,0;-0,23;527135340;30053;-40,00;17540,0;17540,0;17540,0;17540,19;EXITO;EQTY
GRUPOSURA;33500,0;0,00;494245700;14758;0,00;33180,0;33680,0;33180,0;33490,02;GRUPO SURA;EQTY
NUTRESA;25820,0;-0,08;350701100;13569;-20,00;25960,0;25960,0;25820,0;25845,76;GRUPO NUTRESA;EQTY
CLH;4405,0;0,23;347402715;78225;10,00;4450,0;4450,0;4405,0;4441,07;CEMEX LATAM HOLDINGS;EQTY
CELSIA;4350,0;1,40;212758550;49482;60,00;4295,0;4350,0;4290,0;4299,72;CELSIA;EQTY
PFAVH;1180,0;6,31;180759890;152233;70,00;1180,0;1200,0;1175,0;1187,39;AVIANCA HOLDINGS S.A.;EQTY
CNEC;12200,0;0,66;132584800;10869;80,00;12200,0;12200,0;12200,0;12198,44;CANACOL ENERGY LTD;EQTY
GEB;2120,0;0,24;88300120;41651;5,00;2120,0;2120,0;2120,0;2120,0;GRUPO ENERGIA BOGOTA;EQTY
CONCONCRET;505,0;-1,94;76978453;152435;-10,00;505,0;505,0;505,0;504,99;CONCONCRETO S.A;EQTY
ICOLCAP;15814,5;0,76;59985248;3795;119,00;15828,5;15828,5;15692,5;15806,39;FONDO BURSATIL ISHARES COLCAP;EQTY
PROMIGAS;7200,0;0,28;58270000;8100;20,00;7200,0;7200,0;7200,0;7193,83;PROMIGAS;EQTY
MINEROS;3100,0;0,00;41540000;13400;0,00;3100,0;3100,0;3100,0;3100,0;MINEROS;EQTY
CORFICOLCF;26440,0;0,53;26632300;1015;140,00;25840,0;26460,0;25840,0;26238,72;CORFICOLOMBIANA;EQTY
FABRICATO;5,4;-5,26;8100000;1500000;-0,30;5,4;5,4;5,4;5,4;FABRICATO;EQTY
ETB;0,0;0,00;7596140;32324;0,00;0,0;0,0;0,0;235,0;ETB;EQTY
GRUPOAVAL;0,0;0,00;4031250;3225;0,00;0,0;0,0;0,0;1250,0;GRUPO AVAL ACCIONES Y VALORES;EQTY
GRUBOLIVAR;0,0;0,00;1860000;30;0,00;0,0;0,0;0,0;62000,0;GRUPO BOLIVAR;EQTY
