Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
ECOPETROL;3165,0;1,44;24147667415;7656986;45,00;3100,0;3175,0;3100,0;3153,68;ECOPETROL;EQTY
PFBCOLOM;37120,0;0,00;21830728160;588508;0,00;37120,0;37220,0;36700,0;37095,04;BANCO BANCOLOMBIA;EQTY
ICOLCAP;15312,0;0,16;12983363435;851130;25,00;15252,0;15312,0;15174,0;15254,27;FONDO BURSATIL ISHARES COLCAP;EQTY
PFAVAL;1180,0;0,43;6911178090;5855694;5,00;1185,0;1190,0;1175,0;1180,25;GRUPO AVAL ACCIONES Y VALORES;EQTY
GEB;2040,0;0,00;5626103965;2766337;0,00;2040,0;2040,0;2025,0;2033,77;GRUPO ENERGIA BOGOTA;EQTY
GRUPOSURA;34940,0;-0,17;4433753040;127050;-60,00;34800,0;35400,0;34780,0;34897,7;GRUPO SURA;EQTY
CEMARGOS;8110,0;-0,25;4363285400;537577;-20,00;8190,0;8190,0;8020,0;8116,58;CEMENTOS ARGOS;EQTY
ISA;14040,0;0,43;3165100700;225657;60,00;13980,0;14040,0;13980,0;14026,16;ISA INTERCONEXION ELECTRICA;EQTY
NUTRESA;26560,0;1,76;2791878880;106690;460,00;26040,0;26560,0;26040,0;26168,14;GRUPO NUTRESA;EQTY
BCOLOMBIA;35800,0;-0,50;2670460100;74404;-180,00;35640,0;36100,0;35620,0;35891,35;BANCO BANCOLOMBIA;EQTY
PFGRUPSURA;33000,0;-0,12;2340439300;70739;-40,00;33560,0;33560,0;33000,0;33085,56;GRUPO SURA;EQTY
EXITO;14460,0;-0,96;2296726200;158860;-140,00;14760,0;14760,0;14340,0;14457,55;EXITO;EQTY
GRUPOARGOS;18140,0;1,23;2292720740;127565;220,00;18100,0;18140,0;17740,0;17972,96;GRUPO ARGOS;EQTY
PFDAVVNDA;37900,0;0,42;2000224960;52794;160,00;37500,0;38260,0;37400,0;37887,35;BANCO DAVIVIENDA;EQTY
CORFICOLCF;24720,0;0,90;1916506440;78059;220,00;24700,0;24720,0;24400,0;24552,02;CORFICOLOMBIANA;EQTY
BOGOTA;64040,0;1,46;638397280;10029;920,00;63200,0;64260,0;63200,0;63655,13;BANCO DE BOGOTA;EQTY
PFGRUPOARG;14940,0;0,67;529814800;35589;100,00;14840,0;14940,0;14840,0;14887,04;GRUPO ARGOS;EQTY
PFCEMARGOS;6670,0;1,06;364761550;54925;70,00;6800,0;6800,0;6600,0;6641,08;CEMENTOS ARGOS;EQTY
CELSIA;4400,0;0,00;324212885;73884;0,00;4400,0;4400,0;4365,0;4388,13;CELSIA;EQTY
MINEROS;1920,0;6,67;238846350;125817;120,00;1800,0;1950,0;1800,0;1898,36;MINEROS;EQTY
CLH;4945,0;-1,10;217769825;44017;-55,00;4980,0;4980,0;4880,0;4947,4;CEMEX LATAM HOLDINGS;EQTY
BMC;1150,0;4,55;172500000;150000;50,00;1150,0;1150,0;1150,0;1150,0;BMC BOLSA MERCANTIL DE COL;EQTY
BVC;11020,0;2,04;160640900;14634;220,00;10900,0;11020,0;10900,0;10977,24;BOLSA DE VALORES DE COLOMBIA;EQTY
CONCONCRET;307,0;0,00;160289263;519864;0,00;307,0;307,0;307,0;308,33;CONCONCRETO S.A;EQTY
CNEC;10520,0;1,35;143212540;13625;140,00;10500,0;10520,0;10500,0;10511,01;CANACOL ENERGY LTD;EQTY
ETB;216,0;0,00;142729565;662399;0,00;217,0;217,0;213,0;215,47;ETB;EQTY
GRUPOAVAL;1175,0;1,29;91902190;78511;15,00;1155,0;1175,0;1155,0;1170,56;GRUPO AVAL ACCIONES Y VALORES;EQTY
ELCONDOR;1075,0;-0,92;67517335;63267;-10,00;1030,0;1075,0;1030,0;1067,18;EL CONDOR;EQTY
PFAVH;1840,0;-1,08;66410910;35960;-20,00;1860,0;1860,0;1840,0;1846,8;AVIANCA HOLDINGS S.A.;EQTY
