Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
CEMARGOS;8090,0;1,13;66173378030;8265150;90,00;8040,0;8100,0;8000,0;8006,31;CEMENTOS ARGOS;EQTY
ECOPETROL;3425,0;1,93;35473018370;10507730;65,00;3370,0;3425,0;3350,0;3375,9;ECOPETROL;EQTY
PFBCOLOM;43000,0;1,42;13464664320;314704;600,00;42200,0;43160,0;41960,0;42785,17;BANCO BANCOLOMBIA;EQTY
PFDAVVNDA;39900,0;2,20;10026347640;253597;860,00;39080,0;39900,0;39080,0;39536,54;BANCO DAVIVIENDA;EQTY
BCOLOMBIA;41420,0;1,32;6078843020;147288;540,00;40880,0;41720,0;40760,0;41271,81;BANCO BANCOLOMBIA;EQTY
PFAVAL;1275,0;3,24;4971756590;3956888;40,00;1245,0;1275,0;1240,0;1256,48;GRUPO AVAL ACCIONES Y VALORES;EQTY
GRUPOSURA;36520,0;0,88;3568839360;98141;320,00;36360,0;36520,0;36140,0;36364,41;GRUPO SURA;EQTY
ISA;15820,0;-0,38;3094063380;194947;-60,00;16000,0;16000,0;15600,0;15871,31;ISA INTERCONEXION ELECTRICA;EQTY
EXITO;14280,0;-1,11;2632125240;183807;-160,00;14440,0;14540,0;14220,0;14320,05;EXITO;EQTY
GRUPOARGOS;17920,0;0,45;2586711100;144199;80,00;18000,0;18000,0;17760,0;17938,48;GRUPO ARGOS;EQTY
BOGOTA;66800,0;1,21;1927957560;28827;800,00;66500,0;67000,0;66500,0;66880,27;BANCO DE BOGOTA;EQTY
PFGRUPOARG;15000,0;0,40;1825704620;121841;60,00;14780,0;15000,0;14780,0;14984,32;GRUPO ARGOS;EQTY
GEB;2110,0;0,48;1803248980;855777;10,00;2100,0;2115,0;2095,0;2107,15;GRUPO ENERGIA BOGOTA;EQTY
CELSIA;4560,0;-0,33;1322674735;290505;-15,00;4570,0;4570,0;4515,0;4553,02;CELSIA;EQTY
PFAVH;1625,0;-0,31;1146550775;698461;-5,00;1645,0;1655,0;1625,0;1641,54;AVIANCA HOLDINGS S.A.;EQTY
CORFICOLCF;25440,0;-0,63;979839680;38465;-160,00;25620,0;25780,0;25300,0;25473,54;CORFICOLOMBIANA;EQTY
PFGRUPSURA;34780,0;1,22;815087860;23515;420,00;34360,0;34780,0;34300,0;34662,46;GRUPO SURA;EQTY
GRUPOAVAL;1250,0;2,88;678923990;546101;35,00;1220,0;1250,0;1200,0;1243,22;GRUPO AVAL ACCIONES Y VALORES;EQTY
ICOLCAP;16343,0;0,57;646965226;39778;92,50;16255,0;16343,0;16255,0;16264,4;FONDO BURSATIL ISHARES COLCAP;EQTY
NUTRESA;26160,0;-0,08;377693860;14461;-20,00;26120,0;26180,0;25920,0;26118,1;GRUPO NUTRESA;EQTY
GRUBOLIVAR;51380,0;-0,16;207424020;4037;-80,00;51380,0;51380,0;51380,0;51380,73;GRUPO BOLIVAR;EQTY
ETB;273,0;5,81;189044120;708318;15,00;260,0;273,0;260,0;266,89;ETB;EQTY
CLH;4580,0;-0,43;129115195;28409;-20,00;4550,0;4600,0;4530,0;4544,87;CEMEX LATAM HOLDINGS;EQTY
PFCEMARGOS;6820,0;1,94;70977640;10426;130,00;6810,0;6820,0;6810,0;6807,75;CEMENTOS ARGOS;EQTY
HCOLSEL;14630,0;0,76;43890000;3000;110,00;14630,0;14630,0;14630,0;14630,0;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
CNEC;10320,0;0,19;31434720;3046;20,00;10320,0;10320,0;10320,0;10320,0;CANACOL ENERGY LTD;EQTY
MINEROS;2200,0;-0,45;27346000;12430;-10,00;2200,0;2200,0;2200,0;2200,0;MINEROS;EQTY
CONCONCRET;440,0;-2,22;20881028;47338;-10,00;440,0;440,0;440,0;441,1;CONCONCRETO S.A;EQTY
GASNATURAL;78000,0;5,69;19734000;253;4200,00;78000,0;78000,0;78000,0;78000,0;VANTI S.A. ESP;EQTY
TERPEL;10040,0;0,00;10040000;1000;0,00;10040,0;10040,0;10040,0;10040,0;ORGANIZACION TERPEL;EQTY
PROMIGAS;0,0;0,00;6587850;1187;0,00;0,0;0,0;0,0;5550,0;PROMIGAS;EQTY
BVC;0,0;0,00;4285860;357;0,00;0,0;0,0;0,0;12005,21;BOLSA DE VALORES DE COLOMBIA;EQTY
PAZRIO;0,0;0,00;812273;116039;0,00;0,0;0,0;0,0;7,0;ACER. PAZ DEL RIO;EQTY
PFCORFICOL;0,0;0,00;445600;20;0,00;0,0;0,0;0,0;22280,0;CORFICOLOMBIANA;EQTY
