Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
ECOPETROL;3320,0;-2,50;36286855490;10879006;-85,00;3385,0;3385,0;3315,0;3335,49;ECOPETROL;EQTY
PFBCOLOM;42220,0;-0,89;18332835880;435581;-380,00;41920,0;42500,0;41560,0;42088,24;BANCO BANCOLOMBIA;EQTY
ICOLCAP;16311,0;-0,39;9829371568,5;601277;-64,00;16367,0;16370,0;16301,5;16347,49;FONDO BURSATIL ISHARES COLCAP;EQTY
PFDAVVNDA;39780,0;-1,04;9119597800;228589;-420,00;39860,0;40000,0;39020,0;39895,17;BANCO DAVIVIENDA;EQTY
CEMARGOS;8120,0;-0,12;7965756910;983813;-10,00;8160,0;8160,0;8050,0;8096,82;CEMENTOS ARGOS;EQTY
GRUPOSURA;36220,0;-1,42;7637645760;208691;-520,00;36580,0;36780,0;36220,0;36597,87;GRUPO SURA;EQTY
HCOLSEL;14678,0;-0,86;6609510000;450000;-127,50;14693,0;14695,0;14678,0;14687,8;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
ISA;16220,0;-0,49;5298680140;326959;-80,00;16080,0;16380,0;16020,0;16205,95;ISA INTERCONEXION ELECTRICA;EQTY
PFAVAL;1315,0;1,15;3642058575;2799802;15,00;1300,0;1315,0;1285,0;1300,83;GRUPO AVAL ACCIONES Y VALORES;EQTY
CORFICOLCF;25500,0;0,24;3566617580;140510;60,00;25360,0;25500,0;25360,0;25383,37;CORFICOLOMBIANA;EQTY
GEB;2150,0;0,94;2857291165;1333434;20,00;2125,0;2160,0;2125,0;2142,81;GRUPO ENERGIA BOGOTA;EQTY
BCOLOMBIA;41200,0;-0,48;2702206660;65760;-200,00;41000,0;41360,0;41000,0;41091,95;BANCO BANCOLOMBIA;EQTY
EXITO;14200,0;-0,56;2689691520;189576;-80,00;14300,0;14340,0;14100,0;14187,93;EXITO;EQTY
GRUPOARGOS;18040,0;-1,85;2252657800;123714;-340,00;18360,0;18480,0;18040,0;18208,59;GRUPO ARGOS;EQTY
NUTRESA;26100,0;-0,23;1389446880;53205;-60,00;26160,0;26160,0;26020,0;26114,97;GRUPO NUTRESA;EQTY
CELSIA;4600,0;-0,86;856863395;184803;-40,00;4620,0;4680,0;4555,0;4636,63;CELSIA;EQTY
PROMIGAS;6000,0;1,69;734863280;122458;100,00;6110,0;6110,0;6000,0;6000,94;PROMIGAS;EQTY
BOGOTA;66600,0;-0,60;602897780;9035;-400,00;67020,0;67020,0;66560,0;66729,14;BANCO DE BOGOTA;EQTY
CLH;4450,0;-1,77;509372820;113908;-80,00;4495,0;4500,0;4450,0;4471,79;CEMEX LATAM HOLDINGS;EQTY
PFGRUPSURA;34400,0;-1,38;362345080;10475;-480,00;34740,0;34740,0;34400,0;34591,42;GRUPO SURA;EQTY
PFGRUPOARG;15500,0;0,39;352310020;23081;60,00;15320,0;15600,0;15000,0;15264,07;GRUPO ARGOS;EQTY
PFAVH;1615,0;0,62;313348600;195352;10,00;1615,0;1625,0;1590,0;1604,02;AVIANCA HOLDINGS S.A.;EQTY
PFCEMARGOS;7000,0;0,00;203379640;29092;0,00;6990,0;7000,0;6980,0;6990,91;CEMENTOS ARGOS;EQTY
GRUPOAVAL;1300,0;0,00;126812550;97440;0,00;1300,0;1305,0;1300,0;1301,44;GRUPO AVAL ACCIONES Y VALORES;EQTY
CNEC;10200,0;-3,77;72350400;7088;-400,00;10200,0;10200,0;10200,0;10207,45;CANACOL ENERGY LTD;EQTY
BVC;12100,0;0,00;38921020;3214;0,00;12100,0;12160,0;12100,0;12109,84;BOLSA DE VALORES DE COLOMBIA;EQTY
BBVACOL;319,0;3,91;27434000;86000;12,00;319,0;319,0;319,0;319,0;BBVA COLOMBIA;EQTY
MINEROS;2210,0;0,23;14884340;6738;5,00;2210,0;2210,0;2210,0;2209,01;MINEROS;EQTY
CONCONCRET;0,0;0,00;7782294;16354;0,00;0,0;0,0;0,0;475,86;CONCONCRETO S.A;EQTY
ETB;0,0;0,00;2445480;8960;0,00;0,0;0,0;0,0;272,93;ETB;EQTY
ELCONDOR;0,0;0,00;1144800;954;0,00;0,0;0,0;0,0;1200,0;EL CONDOR;EQTY
