Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
PFBCOLOM;34100,0;0,00;15471830620;453430;0,00;34100,0;34300,0;33940,0;34121,76;BANCO BANCOLOMBIA;EQTY
GRUPOSURA;32680,0;0,55;13340686860;408587;180,00;32500,0;32760,0;32500,0;32650,79;GRUPO SURA;EQTY
ECOPETROL;2930,0;0,00;12764676955;4357159;0,00;2920,0;2945,0;2910,0;2929,59;ECOPETROL;EQTY
ISA;13880,0;-2,39;8340790380;595485;-340,00;14060,0;14180,0;13860,0;14006,72;ISA INTERCONEXION ELECTRICA;EQTY
EXITO;12940,0;0,15;6255881580;482789;20,00;12960,0;13020,0;12900,0;12957,8;EXITO;EQTY
EEB;1810,0;0,28;5783529475;3200806;5,00;1800,0;1810,0;1800,0;1806,9;GRUPO ENERGIA BOGOTA;EQTY
CORFICOLCF;16000,0;-1,84;5037177000;314424;-300,00;16320,0;16320,0;15900,0;16020,33;CORFICOLOMBIANA;EQTY
PFAVAL;1070,0;0,00;3925000610;3648207;0,00;1080,0;1080,0;1060,0;1075,87;GRUPO AVAL ACCIONES Y VALORES;EQTY
NUTRESA;23800,0;-0,08;3232174340;135719;-20,00;23840,0;23960,0;23800,0;23815,19;GRUPO NUTRESA;EQTY
BCOLOMBIA;33500,0;0,00;2899980960;86760;0,00;33500,0;33500,0;33220,0;33425,32;BANCO BANCOLOMBIA;EQTY
PFGRUPOARG;13980,0;1,01;2629339900;190616;140,00;13900,0;14000,0;13720,0;13793,91;GRUPO ARGOS;EQTY
ICOLCAP;14125,0;0,36;2604936693;184432;50,50;14135,0;14135,0;14103,5;14124,1;FONDO BURSATIL ISHARES COLCAP;EQTY
CEMARGOS;7050,0;0,00;2457929260;348711;0,00;7020,0;7050,0;7020,0;7048,61;CEMENTOS ARGOS;EQTY
GRUPOARGOS;17300,0;0,58;2325287740;134962;100,00;17200,0;17300,0;17140,0;17229,2;GRUPO ARGOS;EQTY
PFDAVVNDA;34300,0;-1,15;1596175760;46538;-400,00;34280,0;34400,0;34240,0;34298,33;BANCO DAVIVIENDA;EQTY
PFGRUPSURA;31000,0;0,00;1276195060;41168;0,00;31060,0;31060,0;30740,0;30999,69;GRUPO SURA;EQTY
CELSIA;4000,0;1,52;1275079580;321908;60,00;3940,0;4000,0;3940,0;3961,01;CELSIA;EQTY
PFAVH;1830,0;2,23;855880045;471562;40,00;1800,0;1830,0;1800,0;1814,99;AVIANCA HOLDINGS S.A.;EQTY
CNEC;10220,0;-0,39;683574700;66414;-40,00;10280,0;10300,0;10220,0;10292,63;CANACOL ENERGY LTD;EQTY
TERPEL;9600,0;0,00;505017600;52606;0,00;9600,0;9600,0;9600,0;9600,0;ORGANIZACION TERPEL;EQTY
CLH;4100,0;-5,86;487686840;115196;-255,00;4355,0;4400,0;4100,0;4233,54;CEMEX LATAM HOLDINGS;EQTY
PFCEMARGOS;5700,0;1,79;462766900;81265;100,00;5660,0;5700,0;5660,0;5694,54;CEMENTOS ARGOS;EQTY
BOGOTA;57080,0;-1,55;338750900;5858;-900,00;57980,0;58000,0;57040,0;57827,06;BANCO DE BOGOTA;EQTY
GRUBOLIVAR;52400,0;0,00;257284000;4910;0,00;52400,0;52400,0;52400,0;52400,0;GRUPO BOLIVAR;EQTY
PROMIGAS;5400,0;1,89;202500500;37552;100,00;5380,0;5400,0;5380,0;5392,54;PROMIGAS;EQTY
GRUPOAVAL;1075,0;-0,92;107475750;100225;-10,00;1075,0;1075,0;1070,0;1072,34;GRUPO AVAL ACCIONES Y VALORES;EQTY
FABRICATO;6,0;-7,69;15426168;2571028;-0,50;6,0;6,0;6,0;6,0;FABRICATO;EQTY
CONCONCRET;361,0;0,28;14859109;40881;1,00;361,0;361,0;361,0;363,47;CONCONCRETO S.A;EQTY
ELCONDOR;1060,0;0,00;12508000;11800;0,00;1060,0;1060,0;1060,0;1060,0;EL CONDOR;EQTY
ETB;0,0;0,00;8585469;33956;0,00;0,0;0,0;0,0;252,84;ETB;EQTY
VALSIMESA;0,0;0,00;1057500;235;0,00;0,0;0,0;0,0;4500,0;VALORES SIMESA;EQTY
