Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / Nombre
ECOPETROL;5520,0;0.55;16882987200,0;3075932,0;30,0;5490,0;5520,0;5440,0;5488,74;ECOPETROL
PFGRUPSURA;38320,0;0.21;8881861200,0;231936,0;-80,0;38420,0;38420,0;38020,0;38294,45;GRUPO SURA
PFAVAL;1305,0;1.16;7428261680,0;5712459,0;15,0;1295,0;1305,0;1290,0;1300,36;GRUPO AVAL ACCIONES Y VALORES
GRUPOSURA;37480,0;0.0;6974285080,0;187411,0;0,0;37120,0;37480,0;37000,0;37213,85;GRUPO SURA
PFBCOLOM;30580,0;1.26;6867544460,0;225448,0;380,0;30120,0;30600,0;30120,0;30461,77;BANCO BANCOLOMBIA
CLH;12060,0;1.69;5756530420,0;474246,0;200,0;11900,0;12240,0;11900,0;12138,28;CEMEX LATAM HOLDINGS
PREC;41140,0;1.44;5518288060,0;133477,0;-600,0;41780,0;41800,0;41060,0;41342,61;PACIFIC EXPLOR AND PROD CORP
EXITO;36460,0;2.7;4814206580,0;134333,0;960,0;35220,0;36460,0;35000,0;35837,86;EXITO
EEB;1380,0;0.36;3707298545,0;2678664,0;5,0;1380,0;1400,0;1370,0;1384,01;GRUPO ENERGIA BOGOTA
INVERARGOS;21000,0;1.87;2662060300,0;126398,0;-400,0;21160,0;21300,0;20900,0;21060,94;GRUPO ARGOS
CEMARGOS;10800,0;0.93;2604374900,0;243076,0;100,0;10460,0;10800,0;10460,0;10714,24;CEMENTOS ARGOS
BCOLOMBIA;29960,0;0.94;2245410720,0;75365,0;280,0;29800,0;29980,0;29560,0;29793,81;BANCO BANCOLOMBIA
ISA;9670,0;0.73;2017879750,0;209620,0;70,0;9580,0;9670,0;9520,0;9626,37;ISA INTERCONEXION ELECTRICA
CORFICOLCF;35840,0;1.43;1919139620,0;54108,0;-520,0;35660,0;35840,0;35000,0;35468,69;CORFICOLOMBIANA
ICOLCAP;18415,0;0.14;1867283100,0;101400,0;25,0;18416,5;18416,5;18415,0;18415,02;FONDO BURSATIL ISHARES COLCAP
NUTRESA;25400,0;1.11;1362505240,0;54097,0;280,0;25100,0;25400,0;25080,0;25186,34;GRUPO NUTRESA
PFDAVVNDA;23480,0;0.09;1355563580,0;58030,0;20,0;23240,0;23480,0;23100,0;23359,7;BANCO DAVIVIENDA
PFINVARGOS;21460,0;0.85;1019383940,0;47812,0;180,0;21000,0;21460,0;20920,0;21320,67;GRUPO ARGOS
ISAGEN;2555,0;0.2;958638295,0;378586,0;-5,0;2505,0;2555,0;2505,0;2532,15;ISAGEN
GRUPOAVAL;1280,0;0.39;902815855,0;700761,0;5,0;1290,0;1295,0;1280,0;1288,34;GRUPO AVAL ACCIONES Y VALORES
PMGC;14960,0;1.45;704605620,0;47223,0;-220,0;15180,0;15180,0;14700,0;14920,81;PETROMINERALES LTD
CNEC;5850,0;0.86;411430110,0;71848,0;50,0;5690,0;5850,0;5690,0;5726,4;CANACOL ENERGY LTD
TABLEMAC;8,2;1.8;397874759,28;48482609,0;-0,15;8,22;8,22;8,2;8,21;TABLEMAC
PFAVTA;4510,0;0.11;363773145,0;80979,0;-5,0;4480,0;4510,0;4480,0;4492,19;AVIANCA HOLDINGS S.A.
BOGOTA;54480,0;0.55;249724800,0;4590,0;300,0;54300,0;54480,0;54300,0;54406,27;BANCO DE BOGOTA
CELSIA;5280,0;0.38;198441990,0;37514,0;-20,0;5310,0;5310,0;5280,0;5289,81;CELSIA
ELCONDOR;1560,0;0.64;187200000,0;120000,0;-10,0;1560,0;1560,0;1560,0;1560,0;EL CONDOR
BIOMAX;1440,0;2.86;166284280,0;115576,0;40,0;1440,0;1440,0;1420,0;1438,74;BIOMAX BIOCOMBUSTIBLES S.A.
BVC;30,8;0.65;153604760,0;5010510,0;0,2;30,7;30,8;30,6;30,66;BOLSA DE VALORES DE COLOMBIA
ODINSA;8380,0;0.6;90992520,0;10870,0;50,0;8380,0;8380,0;8380,0;8370,98;ODINSA
ETB;398,0;0.51;68159335,0;170361,0;2,0;398,0;398,0;398,0;400,09;ETB
CONCONCRET;1330,0;1.14;59860970,0;45490,0;15,0;1310,0;1330,0;1310,0;1315,91;CONCONCRETO S.A
PAZRIO;0,0;0.0;11918800,0;744925,0;0,0;0,0;0,0;0,0;16,0;ACER. PAZ DEL RIO
PROTECCION;0,0;0.0;7994000,0;140,0;0,0;0,0;0,0;0,0;57100,0;ADM DE FONDOS Y CES PROTECCION
ENKA;0,0;0.0;7255000,0;1000000,0;0,0;0,0;0,0;0,0;7,25;ENKA DE COLOMBIA
PFHELMBANK;0,0;0.0;3361056,0;7136,0;0,0;0,0;0,0;0,0;471,0;HELM BANK S.A.
PFCARPAK;0,0;0.0;2832900,0;570,0;0,0;0,0;0,0;0,0;4970,0;CARVAJAL EMPAQUES S.A.
