Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / Nombre
PFHELMBANK;515,0;0.96;16019020275,0;31104891,0;-5,0;515,0;517,0;513,0;515,0;HELM BANK S.A.
EXITO;32200,0;1.26;7048722840,0;220756,0;400,0;31820,0;32300,0;31740,0;31929,93;EXITO
BOGOTA;70000,0;0.34;6138810360,0;87852,0;240,0;69780,0;70000,0;69400,0;69876,73;BANCO DE BOGOTA
CEMARGOS;8770,0;1.62;6125031980,0;705192,0;140,0;8620,0;8770,0;8620,0;8685,62;CEMENTOS ARGOS
ECOPETROL;4300,0;0.58;5126616005,0;1189234,0;-25,0;4330,0;4330,0;4300,0;4310,86;ECOPETROL
PFCEMARGOS;8740,0;0.58;5083966710,0;583368,0;50,0;8680,0;8790,0;8660,0;8714,85;CEMENTOS ARGOS
GRUPOSURA;36540,0;0.76;4761276420,0;130102,0;-280,0;36520,0;36600,0;36500,0;36596,49;GRUPO SURA
TABLEMAC;7,2;0.55;4726896912,65;674359889,0;-0,04;7,04;7,2;7,0;7,01;TABLEMAC
PREC;36400,0;1.11;4438271680,0;121862,0;400,0;35700,0;36800,0;35700,0;36420,47;PACIFIC EXPLOR AND PROD CORP
PFAVAL;1385,0;1.07;3409310510,0;2458960,0;-15,0;1400,0;1400,0;1375,0;1386,48;GRUPO AVAL ACCIONES Y VALORES
ICOLCAP;16990,0;0.64;2978194000,0;175300,0;-110,0;16980,0;16990,0;16980,0;16989,13;FONDO BURSATIL ISHARES COLCAP
CORFICOLCF;37040,0;0.33;2250281300,0;60548,0;120,0;36800,0;37300,0;36800,0;37165,25;CORFICOLOMBIANA
GRUPOARGOS;21000,0;1.69;1935612960,0;91338,0;-360,0;21160,0;21360,0;21000,0;21191,76;GRUPO ARGOS
PFBCOLOM;27720,0;0.07;1808799860,0;65436,0;20,0;27640,0;27740,0;27520,0;27642,27;BANCO BANCOLOMBIA
NUTRESA;25600,0;1.54;1321944500,0;51292,0;-400,0;25900,0;25900,0;25600,0;25772,92;GRUPO NUTRESA
CELSIA;5370,0;0.19;1234223700,0;230069,0;-10,0;5380,0;5380,0;5350,0;5364,58;CELSIA
PFGRUPSURA;37860,0;0.37;1009565360,0;26690,0;140,0;37720,0;37860,0;37720,0;37825,6;GRUPO SURA
PFAVH;4025,0;0.37;802710180,0;199584,0;-15,0;4020,0;4025,0;4010,0;4021,92;AVIANCA HOLDINGS S.A.
ISAGEN;2720,0;0.91;729577295,0;265661,0;-25,0;2750,0;2780,0;2720,0;2746,27;ISAGEN
PFDAVVNDA;23640,0;0.25;719502840,0;30623,0;-60,0;23280,0;23640,0;23280,0;23495,5;BANCO DAVIVIENDA
CLH;14800,0;0.54;699183840,0;47389,0;-80,0;14880,0;14880,0;14500,0;14754,14;CEMEX LATAM HOLDINGS
PMGC;10940,0;4.87;595599460,0;53739,0;-560,0;11340,0;11340,0;10940,0;11083,19;PETROMINERALES LTD
ISA;8350,0;1.76;518903980,0;61999,0;-150,0;8460,0;8460,0;8330,0;8369,55;ISA INTERCONEXION ELECTRICA
MINEROS;3000,0;5.21;415063305,0;134324,0;-165,0;3165,0;3165,0;3000,0;3090,02;MINEROS
PFGRUPOARG;21300,0;1.43;341855000,0;16050,0;300,0;21300,0;21300,0;21300,0;21299,38;GRUPO ARGOS
GRUPOAVAL;1380,0;0.36;244905885,0;176837,0;-5,0;1390,0;1390,0;1380,0;1384,92;GRUPO AVAL ACCIONES Y VALORES
CNEC;6400,0;0.47;205303640,0;32345,0;30,0;6320,0;6400,0;6320,0;6347,31;CANACOL ENERGY LTD
BCOLOMBIA;26800,0;0.37;194930460,0;7274,0;-100,0;26700,0;26820,0;26700,0;26798,25;BANCO BANCOLOMBIA
CARTON;0,0;0.0;78000000,0;20000,0;0,0;0,0;0,0;0,0;3900,0;CARTON COLOMBIA
EEB;1450,0;1.05;75337500,0;52515,0;15,0;1420,0;1450,0;1420,0;1434,59;GRUPO ENERGIA BOGOTA
BVC;25,5;0.0;49411069,5;1937689,0;0,0;25,5;25,5;25,5;25,5;BOLSA DE VALORES DE COLOMBIA
PFCARPAK;4120,0;1.44;43529720,0;10570,0;-60,0;4120,0;4120,0;4120,0;4118,23;CARVAJAL EMPAQUES S.A.
ELCONDOR;0,0;0.0;18734380,0;14086,0;0,0;0,0;0,0;0,0;1330,0;EL CONDOR
PROMIGAS;0,0;0.0;11400000,0;2000,0;0,0;0,0;0,0;0,0;5700,0;PROMIGAS
ETB;0,0;0.0;11234654,0;28391,0;0,0;0,0;0,0;0,0;395,71;ETB
PAZRIO;0,0;0.0;9577800,0;1020000,0;0,0;0,0;0,0;0,0;9,39;ACER. PAZ DEL RIO
ENKA;0,0;0.0;9450000,0;1500000,0;0,0;0,0;0,0;0,0;6,3;ENKA DE COLOMBIA
SIE;0,0;0.0;6255000,0;695,0;0,0;0,0;0,0;0,0;9000,0;SOCIEDAD INVERSIONES ENERGIA
CONCONCRET;0,0;0.0;6178880,0;5254,0;0,0;0,0;0,0;0,0;1176,03;CONCONCRETO S.A
SDCORFIC;0,0;0.0;5478840,0;152,0;0,0;0,0;0,0;0,0;36045,0;CORFICOLOMBIANA
ODINSA;0,0;0.0;4840000,0;550,0;0,0;0,0;0,0;0,0;8800,0;ODINSA
SDPROMIGAS;0,0;0.0;3755000,0;1000,0;0,0;0,0;0,0;0,0;3755,0;PROMIGAS
BBVACOL;0,0;0.0;2146248,0;9172,0;0,0;0,0;0,0;0,0;234,0;BBVA COLOMBIA
VALOREM;0,0;0.0;1705252,0;6134,0;0,0;0,0;0,0;0,0;278,0;VALOREM S.A.
COLTEJER;0,0;0.0;61500,0;41,0;0,0;0,0;0,0;0,0;1500,0;COLTEJER
