Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
PFBCOLOM;30420,0;-2,75;23522369300;771454;-860,00;31100,0;31280,0;30040,0;30490,96;BANCO BANCOLOMBIA;EQTY
GRUPOSURA;31800,0;-1,18;20075979600;627635;-380,00;32120,0;32260,0;31800,0;31986,71;GRUPO SURA;EQTY
ICOLCAP;13270,0;-2,00;16219660000;1220000;-271,00;13347,0;13347,0;13239,0;13294,8;FONDO BURSATIL ISHARES COLCAP;EQTY
ECOPETROL;2615,0;-7,10;16045151985;5934871;-200,00;2790,0;2790,0;2615,0;2703,54;ECOPETROL;EQTY
BCOLOMBIA;30360,0;-3,00;9281362520;305634;-940,00;31000,0;31000,0;30120,0;30367,57;BANCO BANCOLOMBIA;EQTY
GRUPOARGOS;16240,0;-1,81;8488420340;519724;-300,00;16460,0;16560,0;16240,0;16332,55;GRUPO ARGOS;EQTY
CORFICOLCF;16020,0;-4,19;8421122960;505034;-700,00;16540,0;16760,0;16020,0;16674,37;CORFICOLOMBIANA;EQTY
PFAVAL;949,0;-2,67;6031531519;6333985;-26,00;979,0;979,0;946,0;952,25;GRUPO AVAL ACCIONES Y VALORES;EQTY
ISA;13700,0;-2,70;5351799460;388990;-380,00;14100,0;14160,0;13500,0;13758,19;ISA INTERCONEXION ELECTRICA;EQTY
PFDAVVNDA;30580,0;-1,42;4462680680;142814;-440,00;31400,0;31420,0;30580,0;31248,2;BANCO DAVIVIENDA;EQTY
HCOLSEL;12142,0;-4,09;2941825925;242525;-518,00;12137,0;12142,0;12108,0;12129,99;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
EXITO;12200,0;0,00;2774255380;227229;0,00;12220,0;12260,0;12160,0;12209,07;EXITO;EQTY
NUTRESA;23380,0;-1,02;2289764320;97652;-240,00;23500,0;23580,0;23380,0;23448,21;GRUPO NUTRESA;EQTY
CEMARGOS;6820,0;-2,57;2219752110;322303;-180,00;6980,0;6980,0;6820,0;6887,16;CEMENTOS ARGOS;EQTY
PFGRUPSURA;29680,0;-1,40;1445404340;48665;-420,00;29640,0;30300,0;29640,0;29701,11;GRUPO SURA;EQTY
PFGRUPOARG;13340,0;1,83;847081040;64381;240,00;12520,0;13340,0;12520,0;13157,31;GRUPO ARGOS;EQTY
PFCEMARGOS;5500,0;-1,08;772448580;138057;-60,00;5510,0;5640,0;5500,0;5595,14;CEMENTOS ARGOS;EQTY
EEB;1740,0;-2,25;576508860;329703;-40,00;1775,0;1775,0;1735,0;1748,57;GRUPO ENERGIA BOGOTA;EQTY
ETB;260,0;0,00;505902584;1945093;0,00;260,0;261,0;260,0;260,09;ETB;EQTY
PFAVH;1710,0;1,48;475193870;288817;25,00;1660,0;1710,0;1620,0;1645,31;AVIANCA HOLDINGS S.A.;EQTY
OCCIDENTE;37500,0;-3,85;420237500;11073;-1500,00;38000,0;38000,0;37500,0;37951,55;BANCO DE OCCIDENTE;EQTY
CELSIA;3875,0;0,52;343618675;87902;20,00;3950,0;3950,0;3855,0;3909,11;CELSIA;EQTY
MINEROS;2000,0;-2,20;323218235;161344;-45,00;2000,0;2035,0;2000,0;2003,29;MINEROS;EQTY
CLH;3850,0;-3,02;248125330;64193;-120,00;3890,0;3900,0;3840,0;3865,3;CEMEX LATAM HOLDINGS;EQTY
BOGOTA;56000,0;1,82;234429880;4256;1000,00;55100,0;56000,0;54980,0;55082,21;BANCO DE BOGOTA;EQTY
CONCONCRET;350,0;2,94;212675568;595532;10,00;350,0;370,0;350,0;357,12;CONCONCRETO S.A;EQTY
ELCONDOR;1015,0;1,60;174139030;171242;16,00;1000,0;1055,0;1000,0;1016,92;EL CONDOR;EQTY
GRUPOAVAL;1030,0;4,99;105208920;107574;49,00;953,0;1030,0;953,0;978,01;GRUPO AVAL ACCIONES Y VALORES;EQTY
BVC;12000,0;-0,83;80952680;6744;-100,00;12000,0;12020,0;11980,0;12003,66;BOLSA DE VALORES DE COLOMBIA;EQTY
CNEC;9450,0;-1,66;69208920;7292;-160,00;9530,0;9530,0;9450,0;9491,08;CANACOL ENERGY LTD;EQTY
TERPEL;9500,0;-1,04;65141200;6797;-100,00;9600,0;9600,0;9500,0;9583,82;ORGANIZACION TERPEL;EQTY
PROMIGAS;5400,0;0,00;29155420;5497;0,00;5400,0;5400,0;5400,0;5303,88;PROMIGAS;EQTY
GRUBOLIVAR;51900,0;-0,19;10380000;200;-100,00;51900,0;51900,0;51900,0;51900,0;GRUPO BOLIVAR;EQTY
VALSIMESA;0,0;0,00;1212180;267;0,00;0,0;0,0;0,0;4540,0;VALORES SIMESA;EQTY
