Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
ECOPETROL;3690,0;-1,73;50214795385;13411134;-65,00;3750,0;3815,0;3665,0;3744,26;ECOPETROL;EQTY
PFAVAL;1100,0;2,80;29888411015;27506750;30,00;1070,0;1100,0;1070,0;1086,58;GRUPO AVAL ACCIONES Y VALORES;EQTY
PFBCOLOM;29800,0;0,74;10015450520;334800;220,00;29780,0;30220,0;29720,0;29914,73;BANCO BANCOLOMBIA;EQTY
GRUPOSURA;32000,0;0,76;5705976320;179173;240,00;31760,0;32440,0;31660,0;31846,18;GRUPO SURA;EQTY
NUTRESA;22860,0;0,70;4597820340;199719;160,00;22860,0;23580,0;22860,0;23021,45;GRUPO NUTRESA;EQTY
BCOLOMBIA;29800,0;1,29;3837686960;128570;380,00;29420,0;30480,0;29420,0;29849,01;BANCO BANCOLOMBIA;EQTY
HCOLSEL;12763,0;1,17;3828900000;300000;147,50;12763,0;12763,0;12763,0;12763,0;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
GRUPOARGOS;14900,0;-1,06;3700524200;246505;-160,00;15060,0;15400,0;14900,0;15011,96;GRUPO ARGOS;EQTY
ICOLCAP;14184,5;0,23;2888314104;202767;33,00;14302,0;14302,0;14184,0;14244,5;FONDO BURSATIL ISHARES COLCAP;EQTY
PFDAVVNDA;30760,0;0,46;2515114320;80215;140,00;31500,0;31640,0;30760,0;31354,66;BANCO DAVIVIENDA;EQTY
CEMARGOS;7030,0;0,14;2432881110;344785;10,00;7020,0;7150,0;7000,0;7056,23;CEMENTOS ARGOS;EQTY
ISA;11740,0;-2,17;2358949240;199255;-260,00;12000,0;12020,0;11740,0;11838,85;ISA INTERCONEXION ELECTRICA;EQTY
EEB;1935,0;0,52;1603510940;831192;10,00;1930,0;1935,0;1915,0;1929,17;GRUPO ENERGIA BOGOTA;EQTY
PFGRUPSURA;30200,0;1,00;863527600;28613;300,00;29920,0;30320,0;29920,0;30179,55;GRUPO SURA;EQTY
EXITO;13500,0;-3,16;784367800;56875;-440,00;13900,0;13920,0;13500,0;13791,08;EXITO;EQTY
BOGOTA;66060,0;-0,27;687691480;10385;-180,00;66260,0;66320,0;66060,0;66219,69;BANCO DE BOGOTA;EQTY
PFGRUPOARG;12800,0;-2,14;661870000;50558;-280,00;13300,0;13300,0;12800,0;13091,3;GRUPO ARGOS;EQTY
CELSIA;4020,0;0,00;569420365;141629;0,00;4015,0;4025,0;4005,0;4020,51;CELSIA;EQTY
BVC;13200,0;0,15;453481860;34375;20,00;13080,0;13280,0;13080,0;13192,2;BOLSA DE VALORES DE COLOMBIA;EQTY
CORFICOLCF;20420,0;0,59;400678800;19661;120,00;20720,0;20720,0;20280,0;20379,37;CORFICOLOMBIANA;EQTY
CLH;5000,0;-4,76;295654350;57999;-250,00;5250,0;5250,0;5000,0;5097,58;CEMEX LATAM HOLDINGS;EQTY
TERPEL;9800,0;0,00;270803400;27633;0,00;9800,0;9800,0;9800,0;9800,0;ORGANIZACION TERPEL;EQTY
PFAVH;2015,0;-3,82;226211290;111421;-80,00;2060,0;2060,0;2015,0;2030,24;AVIANCA HOLDINGS S.A.;EQTY
PROMIGAS;5810,0;-4,75;223275580;36664;-290,00;6090,0;6100,0;5810,0;6089,78;PROMIGAS;EQTY
ETB;236,0;-7,45;171495903;695961;-19,00;251,0;254,0;236,0;246,42;ETB;EQTY
ENKA;6,5;-7,14;58088646;8527254;-0,50;6,8;7,0;6,5;6,81;ENKA DE COLOMBIA;EQTY
MINEROS;1850,0;-1,33;57194600;30916;-25,00;1850,0;1850,0;1850,0;1850,0;MINEROS;EQTY
GRUPOAVAL;1070,0;-0,47;51880200;47888;-5,00;1065,0;1095,0;1065,0;1083,37;GRUPO AVAL ACCIONES Y VALORES;EQTY
CONCONCRET;280,0;-6,67;36812788;130487;-20,00;280,0;280,0;280,0;282,12;CONCONCRETO S.A;EQTY
PFCEMARGOS;6120,0;0,00;23990400;3920;0,00;6120,0;6120,0;6120,0;6120,0;CEMENTOS ARGOS;EQTY
ELCONDOR;1000,0;0,00;8684000;8684;0,00;1000,0;1000,0;1000,0;1000,0;EL CONDOR;EQTY
CNEC;0,0;0,00;1041880;122;0,00;0,0;0,0;0,0;8540,0;CANACOL ENERGY LTD;EQTY
