Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / Nombre
ECOPETROL;3025,0;2.73;41855894965,0;13700566,0;-85,0;3100,0;3105,0;3025,0;3055,05;ECOPETROL
BCOLOMBIA;32600,0;0.31;16346263060,0;501276,0;100,0;32780,0;32780,0;32600,0;32609,31;BANCO BANCOLOMBIA
GRUPOSURA;37060,0;0.05;11818486700,0;318762,0;20,0;37040,0;37460,0;37020,0;37076,21;GRUPO SURA
PFBCOLOM;32660,0;0.79;11732801600,0;358487,0;-260,0;32820,0;32900,0;32640,0;32728,67;BANCO BANCOLOMBIA
ICOLCAP;15462,0;0.17;9921079344,0;643781,0;27,0;15389,0;15468,0;15380,0;15410,64;FONDO BURSATIL ISHARES COLCAP
NUTRESA;25860,0;0.0;7923271500,0;306033,0;0,0;26080,0;26080,0;25800,0;25890,25;GRUPO NUTRESA
ISA;14260,0;1.57;6911297740,0;491680,0;220,0;13920,0;14260,0;13920,0;14056,5;ISA INTERCONEXION ELECTRICA
CLH;8120,0;0.98;5189603960,0;639834,0;-80,0;8340,0;8340,0;8100,0;8110,86;CEMEX LATAM HOLDINGS
PFAVAL;1225,0;0.41;5173991180,0;4241727,0;5,0;1205,0;1225,0;1205,0;1219,78;GRUPO AVAL ACCIONES Y VALORES
PFDAVVNDA;33100,0;0.3;5077450660,0;153735,0;100,0;32760,0;33400,0;32760,0;33027,29;BANCO DAVIVIENDA
PFCEMARGOS;7940,0;3.12;4684014710,0;602472,0;240,0;7800,0;7940,0;7700,0;7774,66;CEMENTOS ARGOS
EEB;2050,0;0.0;3397239260,0;1657210,0;0,0;2050,0;2050,0;2045,0;2049,98;GRUPO ENERGIA BOGOTA
GRUPOARGOS;18800,0;0.21;2391418460,0;126718,0;40,0;18760,0;19000,0;18760,0;18871,97;GRUPO ARGOS
PFGRUPSURA;35700,0;0.85;1512470960,0;42418,0;300,0;35500,0;35700,0;35180,0;35656,35;GRUPO SURA
CEMARGOS;9200,0;3.25;1246638530,0;136315,0;290,0;8880,0;9240,0;8880,0;9145,28;CEMENTOS ARGOS
PFGRUPOARG;16820,0;1.08;1189522620,0;70837,0;180,0;16700,0;16840,0;16520,0;16792,39;GRUPO ARGOS
EXITO;16020,0;0.75;1017091480,0;63716,0;120,0;15900,0;16020,0;15900,0;15962,89;EXITO
PFAVH;2750,0;0.9;804853660,0;292493,0;-25,0;2760,0;2775,0;2725,0;2751,7;AVIANCA HOLDINGS S.A.
BOGOTA;69700,0;0.0;760788360,0;10921,0;0,0;69500,0;69700,0;69500,0;69662,88;BANCO DE BOGOTA
CELSIA;4575,0;1.33;709460535,0;155357,0;60,0;4550,0;4575,0;4540,0;4566,65;CELSIA
CNEC;9330,0;1.17;599451780,0;64225,0;-110,0;9360,0;9360,0;9320,0;9333,62;CANACOL ENERGY LTD
CORFICOLCF;23880,0;0.08;555048640,0;23252,0;-20,0;23900,0;23900,0;23800,0;23871,01;CORFICOLOMBIANA
GRUPOAVAL;1205,0;2.43;195437180,0;160166,0;-30,0;1225,0;1230,0;1205,0;1220,22;GRUPO AVAL ACCIONES Y VALORES
HCOLSEL;13988,5;0.38;182034000,0;13000,0;53,5;14020,0;14020,0;13988,5;14002,62;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P
PROMIGAS;7800,0;0.39;118968000,0;15280,0;30,0;7770,0;7800,0;7770,0;7785,86;PROMIGAS
PROTECCION;110000,0;0.0;93500000,0;850,0;0,0;110000,0;110000,0;110000,0;110000,0;ADM DE FONDOS Y CES PROTECCION
GASNATURAL;75000,0;1.34;86250000,0;1150,0;-1020,0;75000,0;75000,0;75000,0;75000,0;VANTI S.A. ESP
BVC;10840,0;0.55;53205560,0;4883,0;-60,0;10960,0;10960,0;10840,0;10896,08;BOLSA DE VALORES DE COLOMBIA
ETB;384,0;1.54;34563058,0;89754,0;-6,0;385,0;387,0;384,0;385,09;ETB
BBVACOL;270,0;0.75;34136910,0;126433,0;2,0;270,0;270,0;270,0;270,0;BBVA COLOMBIA
FABRICATO;7,7;1.28;31435129,2;4140249,0;-0,1;7,55;7,7;7,55;7,59;FABRICATO
CONCONCRET;790,0;0.0;23232905,0;29630,0;0,0;780,0;790,0;780,0;784,1;CONCONCRETO S.A
VALOREM;909,0;0.0;16964667,0;18663,0;0,0;909,0;909,0;909,0;909,0;VALOREM S.A.
ENKA;7,5;1.35;15000000,0;2000000,0;0,1;7,5;7,5;7,5;7,5;ENKA DE COLOMBIA
