Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
ECOPETROL;3250,0;0,31;20259682205;6182160;10,00;3260,0;3330,0;3215,0;3277,12;ECOPETROL;EQTY
CEMARGOS;7010,0;0,14;6011039600;854611;10,00;7100,0;7100,0;7000,0;7033,66;CEMENTOS ARGOS;EQTY
PFAVAL;1135,0;0,00;4260158620;3717513;0,00;1160,0;1165,0;1130,0;1145,97;GRUPO AVAL ACCIONES Y VALORES;EQTY
GRUPOSURA;31600,0;0,64;3612452640;114578;200,00;31700,0;31700,0;31400,0;31528,33;GRUPO SURA;EQTY
PFBCOLOM;32000,0;2,24;2460367360;77145;700,00;31860,0;32040,0;31560,0;31892,77;BANCO BANCOLOMBIA;EQTY
ISA;13220,0;3,77;2153402860;163043;480,00;12780,0;13280,0;12780,0;13207,58;ISA INTERCONEXION ELECTRICA;EQTY
EXITO;14420,0;0,84;1862495780;130035;120,00;14360,0;14480,0;14300,0;14323,03;EXITO;EQTY
EEB;1890,0;0,53;1611108835;854796;10,00;1930,0;1930,0;1875,0;1884,79;GRUPO ENERGIA BOGOTA;EQTY
PFDAVVNDA;33500,0;-2,05;1474742660;43952;-700,00;33180,0;33600,0;33180,0;33553,48;BANCO DAVIVIENDA;EQTY
CNEC;9400,0;3,52;1266011460;136267;320,00;9140,0;9500,0;9140,0;9290,67;CANACOL ENERGY LTD;EQTY
CLH;5450,0;6,45;986543320;184602;330,00;5200,0;5450,0;5200,0;5344,16;CEMEX LATAM HOLDINGS;EQTY
PFCEMARGOS;5760,0;-0,69;732422660;126628;-40,00;5800,0;5800,0;5760,0;5784,05;CEMENTOS ARGOS;EQTY
CORFICOLCF;20940,0;-3,32;704456240;33498;-720,00;21780,0;21780,0;20500,0;21029,8;CORFICOLOMBIANA;EQTY
BCOLOMBIA;31620,0;3,06;585674580;18710;940,00;30620,0;31620,0;30620,0;31302,76;BANCO BANCOLOMBIA;EQTY
NUTRESA;23000,0;0,09;569531180;24838;20,00;23000,0;23000,0;22800,0;22929,83;GRUPO NUTRESA;EQTY
GRUPOARGOS;15620,0;1,43;237908220;15221;220,00;15740,0;15740,0;15620,0;15630,26;GRUPO ARGOS;EQTY
CELSIA;4270,0;1,67;171092615;39690;70,00;4335,0;4335,0;4270,0;4310,72;CELSIA;EQTY
PFAVH;2095,0;0,72;170364470;81475;15,00;2090,0;2095,0;2090,0;2091,0;AVIANCA HOLDINGS S.A.;EQTY
BOGOTA;64020,0;0,03;153886000;2404;20,00;64000,0;64020,0;64000,0;64012,48;BANCO DE BOGOTA;EQTY
CONCONCRET;290,0;-0,34;134326774;456519;-1,00;294,0;297,0;290,0;294,24;CONCONCRETO S.A;EQTY
MINEROS;2000,0;0,00;125095275;62355;0,00;1995,0;2020,0;1995,0;2006,18;MINEROS;EQTY
PFGRUPSURA;29960,0;1,42;86505940;2928;420,00;29140,0;29960,0;29140,0;29544,38;GRUPO SURA;EQTY
ETB;274,0;0,37;68208472;249229;1,00;271,0;275,0;271,0;273,68;ETB;EQTY
ICOLCAP;14197,0;0,91;42226382;2979;128,00;14209,0;14209,0;14197,0;14174,68;FONDO BURSATIL ISHARES COLCAP;EQTY
TERPEL;9450,0;3,73;40326560;4396;340,00;9120,0;9450,0;9010,0;9173,47;ORGANIZACION TERPEL;EQTY
FABRICATO;6,12;-10,00;31386868;5090140;-0,68;6,2;6,2;6,12;6,17;FABRICATO;EQTY
GRUPOAVAL;1135,0;0,00;27474140;24212;0,00;1135,0;1135,0;1135,0;1134,73;GRUPO AVAL ACCIONES Y VALORES;EQTY
PFGRUPOARG;13300,0;0,00;20976140;1607;0,00;12800,0;13300,0;12800,0;13052,98;GRUPO ARGOS;EQTY
BBVACOL;266,0;-4,66;19130212;71946;-13,00;266,0;266,0;266,0;265,9;BBVA COLOMBIA;EQTY
VALSIMESA;4150,0;-1,19;10591600;2551;-50,00;4150,0;4150,0;4150,0;4151,94;VALORES SIMESA;EQTY
PROMIGAS;0,0;0,00;8863800;1544;0,00;0,0;0,0;0,0;5740,8;PROMIGAS;EQTY
OCCIDENTE;0,0;0,00;3309600;84;0,00;0,0;0,0;0,0;39400,0;BANCO DE OCCIDENTE;EQTY
BVC;0,0;0,00;1285020;99;0,00;0,0;0,0;0,0;12980,0;BOLSA DE VALORES DE COLOMBIA;EQTY
COLTEJER;0,0;0,00;990;2;0,00;0,0;0,0;0,0;495,0;COLTEJER;EQTY
