Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / Nombre
ECOPETROL;3140,0;1.45;40051908000,0;12711478,0;45,0;3100,0;3180,0;3100,0;3150,85;ECOPETROL
PFDAVVNDA;34420,0;0.29;33274505780,0;967336,0;-100,0;34120,0;34860,0;33500,0;34398,91;BANCO DAVIVIENDA
PFBCOLOM;33440,0;1.07;27935055800,0;835919,0;-360,0;33500,0;33600,0;33220,0;33418,38;BANCO BANCOLOMBIA
PFAVAL;1200,0;0.84;10285500750,0;8622458,0;10,0;1175,0;1200,0;1170,0;1192,87;GRUPO AVAL ACCIONES Y VALORES
BCOLOMBIA;33420,0;0.42;7591914080,0;227513,0;-140,0;33360,0;33420,0;33200,0;33369,14;BANCO BANCOLOMBIA
CORFICOLCF;24380,0;1.08;7219068960,0;298724,0;260,0;24120,0;24380,0;24100,0;24166,35;CORFICOLOMBIANA
GRUPOARGOS;19320,0;0.84;4392024820,0;227279,0;160,0;19440,0;19440,0;19200,0;19324,38;GRUPO ARGOS
GRUPOSURA;36600,0;0.55;3695626660,0;101230,0;200,0;36400,0;36600,0;36400,0;36507,23;GRUPO SURA
ISA;13660,0;0.59;3232533780,0;236570,0;80,0;13500,0;13720,0;13500,0;13664,17;ISA INTERCONEXION ELECTRICA
ICOLCAP;15498,0;0.4;3163404832,5;203765,0;62,5;15525,0;15525,0;15498,0;15524,77;FONDO BURSATIL ISHARES COLCAP
HCOLSEL;14008,0;0.06;2338985800,0;166975,0;-9,0;14008,0;14008,0;14008,0;14008,0;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P
PFGRUPSURA;35560,0;0.28;1630814740,0;45690,0;100,0;35200,0;35840,0;35200,0;35693,03;GRUPO SURA
EXITO;16220,0;1.38;1611488320,0;100084,0;220,0;16000,0;16220,0;15960,0;16101,36;EXITO
EEB;2025,0;0.25;1442912000,0;714251,0;5,0;2020,0;2025,0;2020,0;2020,17;GRUPO ENERGIA BOGOTA
NUTRESA;26700,0;0.0;1309409200,0;49066,0;0,0;26700,0;26780,0;26600,0;26686,69;GRUPO NUTRESA
PFAVH;2200,0;2.44;968896555,0;437783,0;-55,0;2230,0;2235,0;2195,0;2213,19;AVIANCA HOLDINGS S.A.
CEMARGOS;9160,0;0.66;710764760,0;77544,0;60,0;9200,0;9200,0;9100,0;9165,95;CEMENTOS ARGOS
PFCORFICOL;20300,0;0.5;552105400,0;27207,0;100,0;20220,0;20300,0;20200,0;20292,77;CORFICOLOMBIANA
CNEC;9700,0;0.0;405913780,0;42050,0;0,0;9700,0;9760,0;9600,0;9653,12;CANACOL ENERGY LTD
CELSIA;4510,0;0.22;243428750,0;54172,0;10,0;4495,0;4510,0;4490,0;4493,63;CELSIA
CLH;6850,0;0.72;177579510,0;26002,0;-50,0;6850,0;6850,0;6800,0;6829,46;CEMEX LATAM HOLDINGS
GRUPOAVAL;1190,0;0.0;173980735,0;146619,0;0,0;1190,0;1190,0;1185,0;1186,62;GRUPO AVAL ACCIONES Y VALORES
BBVACOL;277,0;1.07;154386983,0;557354,0;-3,0;277,0;277,0;277,0;277,0;BBVA COLOMBIA
PFGRUPOARG;17560,0;0.68;112822480,0;6429,0;-120,0;17500,0;17640,0;17500,0;17548,99;GRUPO ARGOS
BOGOTA;68960,0;0.03;101234060,0;1468,0;-20,0;68960,0;68980,0;68960,0;68960,53;BANCO DE BOGOTA
PFCEMARGOS;8130,0;0.37;81251440,0;10007,0;30,0;7920,0;8160,0;7920,0;8119,46;CEMENTOS ARGOS
ETB;365,0;1.11;77797482,0;216400,0;4,0;358,0;365,0;357,0;359,51;ETB
PROMIGAS;7250,0;1.68;39295000,0;5420,0;120,0;7250,0;7250,0;7250,0;7250,0;PROMIGAS
BVC;11800,0;0.34;35314960,0;3000,0;40,0;11760,0;11800,0;11760,0;11771,65;BOLSA DE VALORES DE COLOMBIA
TERPEL;9800,0;2.0;15800000,0;1600,0;-200,0;10000,0;10000,0;9800,0;9875,0;ORGANIZACION TERPEL
ENKA;7,5;0.0;9200926,5;1236800,0;0,0;7,5;7,5;7,5;7,44;ENKA DE COLOMBIA
GRUBOLIVAR;0,0;0.0;5017900,0;95,0;0,0;0,0;0,0;0,0;52820,0;GRUPO BOLIVAR
CONCONCRET;0,0;0.0;4219990,0;7259,0;0,0;0,0;0,0;0,0;581,35;CONCONCRETO S.A
VILLAS;0,0;0.0;490110,0;102,0;0,0;0,0;0,0;0,0;4805,0;BANCO AV VILLAS
