Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / Nombre
ISAGEN;3500,0;0.57;12421874975,0;3550288,0;20,0;3500,0;3550,0;3455,0;3498,84;ISAGEN
PFBCOLOM;20760,0;2.08;8478833180,0;402621,0;-440,0;21100,0;21440,0;20600,0;21059,09;BANCO BANCOLOMBIA
ECOPETROL;1035,0;2.36;6344253355,0;6077752,0;-25,0;1035,0;1065,0;1030,0;1043,85;ECOPETROL
NUTRESA;22480,0;0.09;4142025460,0;185027,0;-20,0;22420,0;22480,0;22360,0;22386,06;GRUPO NUTRESA
GRUPOSURA;32520,0;4.63;2918682680,0;87918,0;-1580,0;33920,0;34100,0;32520,0;33197,78;GRUPO SURA
CLH;10100,0;2.88;2794048100,0;277103,0;-300,0;10040,0;10300,0;10040,0;10083,07;CEMEX LATAM HOLDINGS
CELSIA;3000,0;1.35;2525314680,0;864147,0;40,0;2900,0;3040,0;2810,0;2922,32;CELSIA
PFDAVVNDA;21100,0;1.49;2336795240,0;110088,0;-320,0;21140,0;21400,0;21100,0;21226,61;BANCO DAVIVIENDA
EXITO;12600,0;1.25;2115456760,0;169167,0;-160,0;12680,0;12680,0;12400,0;12505,14;EXITO
ISA;7180,0;1.41;1305724500,0;182049,0;100,0;7020,0;7180,0;7000,0;7172,38;ISA INTERCONEXION ELECTRICA
PFGRUPSURA;33180,0;1.48;1252726600,0;37500,0;-500,0;33600,0;34180,0;33180,0;33406,04;GRUPO SURA
CEMARGOS;9010,0;7.11;1081111900,0;118809,0;-690,0;9580,0;9580,0;9010,0;9099,58;CEMENTOS ARGOS
PFAVAL;1015,0;1.46;1039172805,0;1017033,0;-15,0;1080,0;1080,0;1015,0;1021,77;GRUPO AVAL ACCIONES Y VALORES
GRUPOARGOS;15600,0;3.7;976031240,0;62460,0;-600,0;16140,0;16140,0;15560,0;15626,5;GRUPO ARGOS
DACORFICOL;36620,0;1.29;960341000,0;25993,0;-480,0;37000,0;37000,0;36620,0;36946,14;CORFICOLOMBIANA
PFGRUPOARG;14700,0;0.81;810933000,0;55148,0;-120,0;14800,0;14800,0;14700,0;14704,67;GRUPO ARGOS
ICOLCAP;11322,0;0.86;679320000,0;60000,0;-98,0;11322,0;11322,0;11322,0;11322,0;FONDO BURSATIL ISHARES COLCAP
CORFICOLCF;36500,0;4.95;539591940,0;14709,0;-1900,0;37980,0;37980,0;36500,0;36684,47;CORFICOLOMBIANA
PFAVH;1550,0;2.82;530605900,0;342074,0;-45,0;1575,0;1575,0;1535,0;1551,14;AVIANCA HOLDINGS S.A.
CNEC;5760,0;0.86;457498340,0;79895,0;-50,0;5800,0;5800,0;5560,0;5726,24;CANACOL ENERGY LTD
BCOLOMBIA;20100,0;0.89;453221680,0;22582,0;-180,0;20020,0;20600,0;19900,0;20070,04;BANCO BANCOLOMBIA
TGLSC;45000,0;1.1;446099200,0;9866,0;-500,0;46000,0;46000,0;44980,0;45215,81;TECNOGLASS INC
ETB;517,0;4.26;247117476,0;470380,0;-23,0;538,0;538,0;517,0;525,36;ETB
PFCEMARGOS;8900,0;4.2;212110530,0;23618,0;-390,0;9180,0;9180,0;8900,0;8980,88;CEMENTOS ARGOS
EEB;1745,0;0.58;134661870,0;77676,0;10,0;1720,0;1745,0;1720,0;1733,64;GRUPO ENERGIA BOGOTA
PREC;3490,0;2.65;131758110,0;38351,0;90,0;3350,0;3490,0;3350,0;3435,58;PACIFIC EXPLOR AND PROD CORP
PFCORFICOL;32500,0;0.73;97500000,0;3000,0;-240,0;32500,0;32500,0;32500,0;32500,0;CORFICOLOMBIANA
TERPEL;8400,0;9.29;42011600,0;5000,0;-860,0;8400,0;8400,0;8400,0;8402,32;ORGANIZACION TERPEL
BOGOTA;59000,0;0.85;39174900,0;670,0;500,0;57220,0;59000,0;57220,0;58470,0;BANCO DE BOGOTA
GRUPOAVAL;1035,0;1.47;26068515,0;25502,0;15,0;1020,0;1035,0;1020,0;1022,21;GRUPO AVAL ACCIONES Y VALORES
CARTON;4600,0;0.0;23000000,0;5000,0;0,0;4600,0;4600,0;4600,0;4600,0;CARTON COLOMBIA
PFCARPAK;1790,0;3.76;22007325,0;12385,0;-70,0;1790,0;1790,0;1790,0;1776,93;CARVAJAL EMPAQUES S.A.
SDCORFIC;35300,0;0.0;14543600,0;412,0;0,0;35300,0;35300,0;35300,0;35300,0;CORFICOLOMBIANA
POPULAR;0,0;0.0;1732500,0;3500,0;0,0;0,0;0,0;0,0;495,0;BANCO POPULAR
